
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 2010 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	14	30	68	671	1,024	16	58	204	1,403	1,719	8	14	44	381	398						
NEW ENGLAND	-	1	5	23	55	-	1	3	23	30	-	1	5	13	31						
Conn.	-	0	2	14	12	-	0	2	7	8	-	1	4	13	23						
Maine	-	0	1	4	1	-	0	2	9	7	-	0	1	-	-						
Mass.	-	0	4	-	32	-	0	2	-	12	-	0	1	-	7						
N.H.	-	0	1	-	5	-	0	2	5	3	-	0	0	-	-						
R.I.	-	0	4	5	3	-	0	0	-	U	-	0	0	-	U						
Vt.	-	0	0	-	2	-	0	1	2	-	-	0	0	-	1						
MID. ATLANTIC	1	4	10	94	143	1	5	10	141	200	1	2	5	54	49						
N.J.	-	0	4	10	41	-	1	4	32	63	-	0	2	5	3						
N.Y. (Upstate)	1	1	3	27	25	-	1	6	27	34	1	1	3	31	25						
N.Y. City	-	1	5	30	41	1	1	4	44	35	-	0	1	-	1						
Pa.	-	1	6	27	36	-	1	5	38	68	-	0	3	18	20						
E.N. CENTRAL	-	4	14	89	165	-	8	15	217	251	1	2	6	78	56						
Ill.	-	1	11	16	73	-	2	6	45	60	-	0	1	1	3						
Ind.	-	0	2	8	13	-	1	5	26	42	-	0	2	13	12						
Mich.	-	1	4	28	39	-	2	6	55	77	1	1	6	57	19						
Ohio	-	0	4	17	24	-	2	6	61	59	-	0	3	5	19						
Wis.	-	0	3	20	16	-	1	3	30	13	-	0	1	2	3						
W.N. CENTRAL	-	1	10	24	60	-	3	15	68	66	-	0	11	12	6						
Iowa	-	0	3	4	19	-	1	3	10	17	-	0	4	1	3						
Kans.	-	0	2	7	6	-	0	2	4	4	-	0	0	-	1						
Minn.	-	0	8	1	12	-	0	13	2	10	-	0	9	3	-						
Mo.	-	0	3	11	10	-	1	5	42	24	-	0	1	7	-						
Nebr.	-	0	3	1	11	-	0	2	9	10	-	0	1	1	2						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	2	-	0	1	1	1	-	0	1	-	-						
S. ATLANTIC	4	7	14	151	217	5	16	40	398	459	-	3	7	69	92						
Del.	-	0	1	5	3	-	1	2	16	18	U	0	0	U	U						
D.C.	-	0	1	1	1	-	0	2	2	7	-	0	1	2	-						
Fla.	3	3	8	64	99	4	5	11	157	161	-	1	4	25	20						
Ga.	1	1	3	18	25	1	3	7	81	71	-	0	2	6	24						
Md.	-	0	4	11	23	-	1	6	29	44	-	0	2	13	12						
N.C.	-	0	4	11	25	-	1	4	4	62	-	0	4	9	12						
S.C.	-	1	4	22	25	-	1	4	27	24	-	0	0	-	1						
Va.	-	1	3	18	16	-	2	14	50	47	-	0	2	8	7						
W. Va.	-	0	2	1	-	-	0	19	32	25	-	0	3	6	16						
E.S. CENTRAL	1	1	3	19	25	2	6	13	153	176	3	2	7	69	56						
Ala.	1	0	1	5	6	-	1	5	30	50	-	0	2	2	5						
Ky.	-	0	2	9	4	1	2	6	52	42	2	1	5	48	35						
Miss.	-	0	1	-	7	-	0	3	15	15	-	0	0	-	U						
Tenn.	-	0	2	5	8	1	2	6	56	69	1	0	4	19	16						
W.S. CENTRAL	3	3	19	75	102	6	9	109	207	290	3	1	14	30	29						
Ark.	-	0	3	-	5	-	1	4	25	37	-	0	1	-	1						
La.	-	0	2	6	2	-	1	5	20	33	-	0	1	3	4						
Okla.	-	0	3	-	1	1	1	19	36	50	1	0	12	14	4						
Tex.	3	2	18	69	94	5	5	87	126	170	2	0	4	13	20						
MOUNTAIN	3	3	8	80	78	-	2	6	53	78	-	1	4	21	30						
Ariz.	2	1	5	42	32	-	0	2	19	31	-	0	0	-	U						
Colo.	1	1	4	13	24	-	0	2	2	14	-	0	2	2	18						
Idaho	-	0	2	5	2	-	0	1	4	5	-	0	2	7	2						
Mont.	-	0	1	4	4	-	0	1	1	-	-	0	0	-	1						
Nev.	-	0	2	6	7	-	0	3	21	15	-	0	1	2	2						
N. Mex.	-	0	1	3	6	-	0	1	2	5	-	0	2	6	5						
Utah	-	0	2	4	3	-	0	1	4	4	-	0	1	4	2						
Wyo.	-	0	3	3	-	-	0	0	-	4	-	0	0	-	-						
PACIFIC	2	5	16	116	179	2	6	20	143	169	-	1	6	35	49						
Alaska	-	0	0	-	2	-	0	1	1	2	-	0	2	-	U						
Calif.	1	4	15	93	135	1	4	16	98	121	-	0	4	16	25						
Hawaii	-	0	2	-	7	-	0	1	-	4	-	0	0	-	U						
Oreg.	-	0	2	11	9	-	1	4	23	24	-	0	3	8	12						
Wash.	1	0	2	12	26	1	1	4	21	18	-	0	6	11	12						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
