
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 6, 2011 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	23	7	109	406	432	12	16	45	285	1,251	2	1	13	52	69						
NEW ENGLAND	-	0	2	3	3	-	2	16	81	63	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	25	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	10	13	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	49	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	7	9	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	6	12	15	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	4	1	7	36	63	10	4	27	141	148	-	0	2	5	8						
N.J.	-	0	2	-	43	-	0	3	-	51	-	0	0	-	1						
N.Y. (Upstate)	4	0	7	32	15	10	3	25	123	89	-	0	2	5	5						
N.Y. City	-	0	1	4	4	-	0	5	18	8	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	2						
E.N. CENTRAL	-	0	3	14	30	-	1	13	7	392	-	0	4	22	38						
Ill.	-	0	2	7	10	-	0	2	2	2	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	17	14						
Mich.	-	0	1	3	1	-	0	1	-	2	-	0	1	1	-						
Ohio	-	0	1	4	5	-	0	1	2	1	-	0	1	1	-						
Wis.	-	0	1	-	14	-	0	13	3	387	-	0	3	1	21						
W.N. CENTRAL	3	1	17	114	101	-	1	20	18	594	1	0	11	13	8						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	6	-	0	0	-	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	584	-	0	11	-	-						
Mo.	3	0	17	111	94	-	0	5	17	9	1	0	7	12	8						
Nebr.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	5	3	30	137	158	1	1	7	29	40	-	0	1	3	2						
Del.	-	0	2	12	14	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	13	6	-	0	1	3	2	-	0	0	-	-						
Ga.	1	0	3	12	18	-	0	1	6	1	-	0	1	1	1						
Md.	1	0	3	17	16	1	0	1	2	12	-	0	1	-	1						
N.C.	2	0	17	38	46	-	0	6	14	13	-	0	0	-	-						
S.C.	-	0	1	-	3	-	0	1	-	-	-	0	0	-	-						
Va.	1	1	8	45	53	-	0	1	3	8	-	0	1	1	-						
W. Va.	-	0	1	-	2	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	3	0	7	43	61	1	0	2	9	14	1	0	1	5	8						
Ala.	-	0	3	-	10	-	0	1	3	6	N	0	0	N	N						
Ky.	-	0	2	9	10	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	-	3	-	0	1	-	1	-	0	0	-	1						
Tenn.	3	0	5	34	38	1	0	1	6	7	1	0	1	5	6						
W.S. CENTRAL	8	0	87	59	15	-	0	9	-	-	-	0	0	-	1						
Ark.	4	0	10	26	1	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	4	0	82	32	11	-	0	7	-	-	-	0	0	-	-						
Tex.	-	0	1	1	2	-	0	1	-	-	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


