
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	51	164	2	7	106	171	101	299													
NEW ENGLAND	2	11	-	-	39	57	18	21													
Maine	1	-	-	-	2	-	2	3													
N.H.	-	1	-	-	-	-	-	-													
Vt.	1	-	-	-	11	11	3	6													
Mass.	-	6	-	-	26	46	4	7													
R.I.	-	-	-	-	-	-	2	3													
Conn.	-	4	-	-	-	-	7	2													
MID. ATLANTIC	9	25	-	-	1	5	27	22													
Upstate N.Y.	3	3	-	-	1	2	22	13													
N.Y. City	1	5	-	-	-	3	-	-													
N.J.	-	14	-	-	-	-	-	7													
Pa.	5	3	-	-	-	-	5	2													
E.N. CENTRAL	12	20	-	-	21	29	1	3													
Ohio	11	5	-	-	18	19	-	-													
Ind.	-	-	-	-	-	-	1	-													
Ill.	-	5	-	-	-	-	-	-													
Mich.	1	6	-	-	3	2	-	1													
Wis.	-	4	-	-	-	8	-	2													
W.N. CENTRAL	2	5	-	-	11	12	2	15													
Minn.	-	-	-	-	-	-	-	4													
Iowa	-	2	-	-	2	2	2	4													
Mo.	1	3	-	-	9	6	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	1	-	-	-	-	-	-	5													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	4	-	1													
S. ATLANTIC	6	22	-	-	5	6	39	53													
Del.	-	-	-	-	1	-	-	-													
Md.	1	4	-	-	2	3	-	8													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	1	-	-	-	-	12	6													
W. Va.	-	-	-	-	-	-	3	5													
N.C.	1	6	-	-	-	1	21	12													
S.C.	-	2	-	-	2	2	3	3													
Ga.	4	6	-	-	-	-	-	15													
Fla.	-	3	-	-	-	-	-	4													
E.S. CENTRAL	1	4	-	-	2	4	2	106													
Ky.	-	-	-	-	1	-	-	-													
Tenn.	-	1	-	-	1	2	1	106													
Ala.	1	3	-	-	-	1	1	-													
Miss.	-	-	-	-	-	1	-	-													
W.S. CENTRAL	4	47	-	-	2	-	5	45													
Ark.	2	-	-	-	2	-	-	-													
La.	1	5	-	-	-	-	-	-													
Okla.	-	3	-	-	-	-	5	4													
Tex.	1	39	-	-	-	-	-	41													
MOUNTAIN	2	9	-	-	20	34	5	15													
Mont.	-	-	-	-	-	-	-	1													
Idaho	-	3	-	-	4	3	-	-													
Wyo.	-	-	-	-	-	-	-	5													
Colo.	2	3	-	-	10	30	-	-													
N. Mex.	-	2	-	-	5	-	-	-													
Ariz.	-	-	-	-	-	1	5	9													
Utah	-	1	-	-	1	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	13	21	2	7	5	24	2	19													
Wash.	1	-	-	-	-	-	-	-													
Oreg.	6	1	N	N	4	1	-	-													
Calif.	6	16	2	5	-	19	-	9													
Alaska	-	-	-	-	1	-	2	10													
Hawaii	-	4	-	2	-	4	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	6													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


