
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2009 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2009
Chlamydia† cummulative for 2008
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2009
Coccidioidomycosis cummulative for 2008
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2009
Cryptosporidiosis cummulative for 2008

tab delimited data:
test
UNITED STATES	8,775	21,446	41,534	97,183	119,813	99	125	336	808	866	36	104	459	307	390						
NEW ENGLAND	911	709	1,636	4,552	3,423	-	0	0	-	1	1	5	20	8	58						
Conn.	290	215	1,282	971	467	N	0	0	N	N	-	0	3	3	38						
Maine	51	51	72	341	298	N	0	0	N	N	-	1	6	2	-						
Mass.	462	327	1,018	2,663	2,026	N	0	0	N	N	-	1	9	-	9						
N.H.	1	40	64	127	264	-	0	0	-	1	-	1	4	2	4						
R.I.	54	53	208	321	352	-	0	0	-	-	-	0	3	-	-						
Vt.	53	17	52	129	16	N	0	0	N	N	1	1	7	1	7						
MID. ATLANTIC	1,271	2,755	5,086	14,456	14,162	-	0	0	-	-	4	13	34	38	51						
N.J.	296	414	642	1,490	2,641	N	0	0	N	N	-	0	2	-	2						
N.Y. (Upstate)	609	542	2,858	2,698	1,916	N	0	0	N	N	3	4	17	18	8						
N.Y. City	-	1,099	3,410	6,230	4,686	N	0	0	N	N	-	1	6	5	15						
Pa.	366	789	1,074	4,038	4,919	N	0	0	N	N	1	5	15	15	26						
E.N. CENTRAL	1,472	3,065	24,584	12,481	19,548	-	1	3	1	5	7	25	125	62	81						
Ill.	-	631	22,152	2,519	3,833	N	0	0	N	N	-	2	13	2	11						
Ind.	330	376	713	2,018	2,460	N	0	0	N	N	-	3	13	5	6						
Mich.	942	843	1,226	5,234	5,098	-	0	3	-	4	1	5	13	15	21						
Ohio	53	812	1,346	1,593	5,430	-	0	2	1	1	6	6	59	30	23						
Wis.	147	295	488	1,117	2,727	N	0	0	N	N	-	9	46	10	20						
W.N. CENTRAL	779	1,273	1,696	6,508	7,234	-	0	2	-	-	-	16	68	31	44						
Iowa	-	178	239	910	984	N	0	0	N	N	-	4	30	5	15						
Kans.	378	181	529	1,127	631	N	0	0	N	N	-	1	8	3	5						
