
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 25, 1999 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 1999
Malaria cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998
Salmonellosis, NETSS cummulative for 1999
Salmonellosis, NETSS cummulative for 1998
Salmonellosis, PHLIS cummulative for 1999
Salmonellosis, PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	913	1,073	4,298	5,600	25,403	29,663	20,240	25,434													
NEW ENGLAND	48	46	659	1,118	1,232	1,841	1,361	1,760													
Maine	3	3	121	186	108	132	75	49													
N.H.	2	5	44	54	102	145	110	179													
Vt.	4	-	81	50	71	99	66	76													
Mass.	15	16	153	395	871	1,028	718	1,043													
R.I.	4	4	73	71	80	106	52	33													
Conn.	20	18	187	362	U	331	340	380													
MID. ATLANTIC	207	324	801	1,208	2,953	4,857	2,887	4,623													
Upstate N.Y.	54	69	592	849	941	1,157	860	1,093													
N.Y. City	88	185	U	U	977	1,489	785	1,252													
N.J.	44	45	136	151	508	1,061	535	1,040													
Pa.	21	25	73	208	527	1,150	707	1,238													
E.N. CENTRAL	87	118	122	92	3,678	4,773	2,448	3,631													
Ohio	18	11	29	50	838	1,131	702	905													
Ind.	14	10	12	9	376	523	299	419													
Ill.	20	50	9	N	1,189	1,483	399	1,109													
Mich.	30	38	69	30	712	870	687	797													
Wis.	5	9	3	3	563	766	361	401													
W.N. CENTRAL	49	71	563	564	1,668	1,737	1,630	1,782													
Minn.	21	39	83	94	484	410	545	480													
Iowa	12	7	131	122	200	297	158	236													
Mo.	12	14	12	31	489	487	688	658													
N. Dak.	-	2	119	108	38	48	4	62													
S. Dak.	-	-	129	129	72	92	58	97													
Nebr.	-	1	2	6	166	128	-	30													
Kans.	4	8	87	74	219	275	177	219													
S. ATLANTIC	264	211	1,544	1,865	6,002	5,663	3,879	4,392													
Del.	1	3	34	34	107	63	120	100													
Md.	73	63	298	357	638	677	662	668													
D.C.	15	14	-	-	59	56	U	U													
Va.	55	41	406	439	987	775	739	688													
W. Va.	1	2	87	62	117	116	113	115													
N.C.	23	18	310	471	905	788	947	993													
S.C.	12	5	117	111	450	400	323	386													
Ga.	21	30	145	242	933	1,133	651	1,039													
Fla.	63	35	147	149	1,806	1,655	324	403													
E.S. CENTRAL	18	25	206	221	1,297	1,623	747	1,202													
Ky.	6	5	31	27	304	285	-	124													
Tenn.	7	13	75	119	326	431	386	531													
Ala.	4	5	100	73	420	498	308	447													
Miss.	1	2	-	2	247	409	53	100													
W.S. CENTRAL	14	29	82	26	2,310	3,155	2,333	2,290													
Ark.	1	1	14	26	388	381	120	277													
La.	10	11	-	-	334	424	438	552													
Okla.	2	3	68	N	287	340	212	160													
Tex.	1	14	-	-	1,301	2,010	1,563	1,301													
MOUNTAIN	37	52	151	205	2,258	1,846	1,473	1,630													
Mont.	4	1	50	46	47	67	1	39													
Idaho	3	7	-	N	71	85	56	75													
Wyo.	1	-	36	54	41	52	22	48													
Colo.	14	15	1	32	580	434	537	404													
N. Mex.	2	12	8	5	265	235	202	204													
Ariz.	7	8	45	37	719	551	577	571													
Utah	3	1	6	25	389	267	25	122													
Nev.	3	8	5	6	146	155	53	167													
PACIFIC	189	197	170	301	4,005	4,168	3,482	4,124													
Wash.	18	17	-	-	464	369	617	498													
Oreg.	16	14	1	4	345	230	402	256													
Calif.	147	160	162	274	2,890	3,325	2,233	3,133													
Alaska	1	2	7	23	35	48	6	29													
Hawaii	7	4	-	-	271	196	224	208													
Guam	-	2	-	-	20	26	U	U													
P.R.	-	-	47	37	255	542	U	U													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


