
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2012 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	4	11	94	72	65	11	26	137	103	137	-	3	12	10	21						
NEW ENGLAND	-	0	1	3	2	3	4	28	38	34	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	-	1	1	0	3	11	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	12	-	0	0	-	-						
N.H.	-	0	1	-	-	-	0	5	8	1	-	0	1	-	-						
R.I.	-	0	1	3	1	1	0	15	17	20	-	0	1	-	-						
Vt.	-	0	0	-	-	1	0	1	2	-	-	0	0	-	-						
MID. ATLANTIC	-	1	13	7	12	8	10	44	52	16	-	0	4	2	2						
N.J.	-	1	9	-	10	-	2	8	-	11	-	0	2	-	1						
N.Y. (Upstate)	-	0	4	5	2	8	4	41	45	3	-	0	2	2	-						
N.Y. City	-	0	1	2	-	-	1	5	7	2	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	-	-	0	2	-	1						
E.N. CENTRAL	-	0	5	-	7	-	7	62	3	49	-	1	6	2	14						
Ill.	-	0	4	-	5	-	0	2	3	-	-	0	0	-	2						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	-	6						
Mich.	-	0	2	-	-	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	1	-	1	-	7	61	-	49	-	0	4	-	5						
W.N. CENTRAL	1	2	17	17	13	-	3	42	-	23	-	0	6	-	1						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	-	1	-	0	1	-	-	-	0	1	-	-						
Minn.	-	0	1	-	-	-	2	40	-	21	-	0	0	-	-						
