
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 17, 2007 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	53	97	261	4,238	4,685	16	29	108	1,355	1,182											
NEW ENGLAND	3	5	28	349	316	-	2	11	109	109											
Conn.	2	0	23	114	83	-	0	6	15	31											
Maine	1	0	3	25	17	-	0	1	2	-											
Mass.	-	3	12	155	160	-	2	6	72	64											
N.H.	-	0	4	33	35	-	0	2	10	9											
R.I.	-	0	12	6	7	-	0	2	8	5											
Vt.	-	0	2	16	14	-	0	1	2	-											
MID. ATLANTIC	4	17	41	787	847	1	4	37	228	169											
N.J.	-	2	10	113	137	-	1	4	31	56											
N.Y. (Upstate)	-	5	27	258	270	1	2	15	92	85											
N.Y. City	-	4	13	182	151	-	1	35	105	28											
Pa.	4	5	11	234	289	N	0	0	N	N											
E.N. CENTRAL	9	16	34	720	886	3	4	14	189	312											
Ill.	-	4	13	199	268	-	1	6	39	87											
Ind.	2	2	12	108	106	-	0	10	18	47											
Mich.	3	4	10	178	187	3	1	4	65	70											
Ohio	4	4	14	204	215	-	1	7	55	65											
Wis.	-	0	6	31	110	-	0	2	12	43											
W.N. CENTRAL	11	5	32	302	315	2	2	8	108	102											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	30	50	-	0	1	3	11											
Minn.	5	0	29	149	143	-	1	6	70	64											
Mo.	3	2	6	72	71	-	0	2	20	14											
Nebr.	-	0	3	23	29	2	0	1	14	10											
N. Dak.	3	0	2	18	12	-	0	2	1	3											
S. Dak.	-	0	2	10	10	-	0	0	-	-											
S. ATLANTIC	20	22	52	1,119	1,067	4	4	14	242	76											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	15	-	0	1	-	1											
Fla.	11	6	16	287	271	2	1	5	61	-											
Ga.	4	5	13	226	230	-	0	5	44	-											
Md.	3	4	10	192	195	2	1	5	57	63											
N.C.	-	1	22	150	148	-	0	0	-	-											
S.C.	-	1	7	85	57	-	1	4	42	-											
Va.	2	2	11	136	116	-	0	4	31	-											
W. Va.	-	0	3	25	25	-	0	4	7	12											
E.S. CENTRAL	-	4	13	189	187	1	2	6	82	17											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	35	41	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	3	17											
Tenn.	-	3	13	154	146	1	1	6	79	-											
W.S. CENTRAL	2	6	90	271	351	1	4	43	197	193											
Ark.	-	0	2	17	24	-	0	2	10	20											
La.	-	0	4	16	16	-	0	4	27	22											
Okla.	-	1	23	64	94	-	1	13	48	51											
Tex.	2	3	64	174	217	1	2	27	112	100											
MOUNTAIN	4	10	22	472	598	4	4	12	174	180											
Ariz.	1	4	11	184	309	2	2	7	100	97											
Colo.	2	3	8	132	109	2	1	4	43	51											
Idaho	-	0	2	16	8	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	51	112	-	0	4	21	27											
Utah	1	2	7	82	56	-	0	2	7	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	-	1	9	29	118	-	0	2	26	24											
Alaska	-	0	3	29	N	-	0	2	26	N											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	9	-	118	-	1	2	-	24											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


