
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 11, 1999 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	30,285	31,313	400,737	400,618	1,334	2,664	1,898	1,930	1,218	1,568											
NEW ENGLAND	1,532	1,171	13,681	14,040	88	115	210	253	220	211											
Maine	51	22	739	671	19	25	24	29	-	-											
N.H.	36	25	645	674	10	12	24	34	24	38											
Vt.	11	17	333	288	25	20	22	11	12	8											
Mass.	1,005	582	6,363	5,721	33	53	118	122	115	122											
R.I.	73	92	1,597	1,602	1	5	22	11	6	1											
Conn.	356	433	4,004	5,084	-	-	U	46	63	42											
MID. ATLANTIC	7,780	8,838	47,120	42,019	219	395	116	209	46	74											
Upstate N.Y.	890	1,014	N	N	93	229	104	144	-	-											
N.Y. City	4,062	4,969	21,963	18,454	107	150	6	11	13	12											
N.J.	1,476	1,638	6,935	8,078	9	16	6	54	32	43											
Pa.	1,352	1,217	18,222	15,487	10	-	N	N	1	19											
E.N. CENTRAL	1,980	2,269	58,067	67,232	257	512	372	320	248	276											
Ohio	291	490	17,240	18,087	33	51	139	81	103	51											
Ind.	247	376	7,004	7,365	24	41	58	71	30	40											
Ill.	933	880	19,583	18,226	17	61	104	92	33	64											
Mich.	405	389	14,240	14,106	33	26	71	76	45	52											
Wis.	104	134	U	9,448	150	333	N	N	37	69											
W.N. CENTRAL	678	595	23,139	23,810	150	206	432	285	216	260											
Minn.	114	118	4,704	4,776	58	73	178	106	121	121											
Iowa	62	51	2,878	2,968	41	49	83	67	37	46											
Mo.	340	280	8,595	8,639	20	18	32	35	38	48											
N. Dak.	4	4	325	684	14	25	10	10	1	13											
S. Dak.	13	13	1,100	1,070	6	19	37	21	13	24											
Nebr.	45	56	2,082	1,883	10	18	71	25	-	-											
Kans.	100	73	3,455	3,790	1	4	21	21	6	8											
S. ATLANTIC	8,314	7,901	86,636	76,881	235	199	218	157	125	128											
Del.	112	104	1,866	1,721	-	3	5	-	3	2											
Md.	889	912	7,256	5,208	11	14	12	27	-	14											
D.C.	321	634	N	N	8	5	-	1	-	-											
Va.	508	649	10,058	9,020	17	11	52	-	42	45											
W. Va.	46	60	1,204	1,655	-	1	8	8	4	6											
N.C.	552	536	15,777	15,160	6	-	48	40	42	37											
S.C.	764	503	8,311	12,412	-	-	17	8	14	5											
Ga.	1,235	855	21,374	15,811	97	70	23	54	-	-											
Fla.	3,887	3,648	20,790	15,894	96	95	53	19	20	19											
E.S. CENTRAL	1,363	1,268	31,473	28,198	21	19	90	88	45	51											
Ky.	201	193	4,876	4,374	5	8	24	27	-	-											
Tenn.	540	431	9,721	9,178	6	6	43	37	28	32											
Ala.	337	372	8,675	7,052	8	-	19	19	13	17											
Miss.	285	272	8,201	7,594	2	5	4	5	4	2											
W.S. CENTRAL	3,201	3,787	58,853	60,977	48	814	61	67	69	77											
Ark.	123	136	3,963	2,673	1	6	9	7	7	8											
La.	596	651	10,879	9,968	22	14	9	3	11	4											
Okla.	94	224	5,418	6,820	4	-	15	12	11	6											
Tex.	2,388	2,776	38,593	41,516	21	794	28	45	40	59											
MOUNTAIN	1,174	1,050	22,148	22,337	70	98	178	258	80	198											
Mont.	7	20	1,099	808	10	9	11	12	-	5											
Idaho	16	19	1,155	1,370	7	16	21	30	8	19											
Wyo.	6	1	484	453	1	-	10	51	5	54											
Colo.	208	209	4,566	5,566	10	14	66	49	40	45											
N. Mex.	67	166	2,733	2,453	27	37	8	17	3	15											
Ariz.	607	384	8,703	7,834	9	14	23	31	14	25											
Utah	102	91	1,441	1,508	-	-	28	55	8	21											
Nev.	161	160	1,967	2,345	6	8	11	13	2	14											
PACIFIC	4,263	4,434	59,620	65,124	246	306	221	293	169	293											
Wash.	250	300	8,044	7,601	-	-	74	60	64	83											
Oreg.	136	129	3,910	3,683	80	44	50	83	50	84											
Calif.	3,803	3,878	44,460	50,831	166	259	93	146	48	114											
Alaska	13	17	1,280	1,306	-	-	-	4	-	-											
Hawaii	61	110	1,926	1,703	-	3	4	-	7	12											
Guam	5	-	226	272	-	-	N	N	U	U											
P.R.	936	1,243	U	U	-	-	5	5	U	U											
V.I.	25	19	N	N	U	U	N	N	U	U											
Amer. Samoa	-	-	U	U	U	U	N	N	U	U											
C.N.M.I.	-	-	N	N	U	U	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


