
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 1, 2007 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	62	97	261	4,392	4,840	40	31	108	1,469	1,239											
NEW ENGLAND	4	5	28	354	322	-	2	11	107	118											
Conn.	3	0	23	116	85	-	0	6	12	33											
Maine	-	0	3	26	18	-	0	1	3	-											
Mass.	-	3	12	155	162	-	1	6	72	67											
N.H.	-	0	4	34	35	-	0	2	10	11											
R.I.	-	0	12	6	8	-	0	1	8	7											
Vt.	1	0	2	17	14	-	0	1	2	-											
MID. ATLANTIC	3	16	41	817	878	6	4	37	249	182											
N.J.	-	2	10	121	139	-	1	4	31	58											
N.Y. (Upstate)	2	5	27	263	282	6	2	15	102	92											
N.Y. City	-	4	13	191	153	-	1	35	116	32											
Pa.	1	5	11	242	304	N	0	0	N	N											
E.N. CENTRAL	10	16	34	740	913	3	4	14	196	329											
Ill.	-	4	13	203	282	-	1	5	39	93											
Ind.	4	2	12	112	107	1	0	10	19	51											
Mich.	1	4	10	183	190	-	1	4	67	72											
Ohio	5	4	14	211	220	2	1	7	58	68											
Wis.	-	0	5	31	114	-	0	2	13	45											
W.N. CENTRAL	7	5	32	316	332	6	2	8	120	104											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	30	52	-	0	1	3	12											
Minn.	4	0	29	153	149	5	1	6	76	64											
Mo.	1	2	6	80	79	1	0	2	25	15											
Nebr.	1	0	3	24	30	-	0	2	15	10											
N. Dak.	-	0	3	18	12	-	0	2	1	3											
S. Dak.	1	0	2	11	10	-	0	0	-	-											
S. ATLANTIC	21	22	52	1,152	1,097	5	5	14	261	79											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	17	-	0	1	-	1											
Fla.	2	6	16	292	273	2	1	5	63	-											
Ga.	5	5	13	235	244	-	0	5	44	-											
Md.	4	4	10	198	201	1	1	5	59	66											
N.C.	5	1	22	156	149	-	0	0	-	-											
S.C.	5	1	7	91	58	2	1	4	52	-											
Va.	-	2	11	136	119	-	0	4	36	-											
W. Va.	-	0	3	26	26	-	0	4	7	12											
E.S. CENTRAL	-	4	13	192	193	-	2	6	88	18											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	36	42	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	3	18											
Tenn.	-	3	13	156	151	-	2	6	85	-											
W.S. CENTRAL	7	6	90	282	363	17	4	43	231	198											
Ark.	-	0	2	17	24	-	0	2	11	20											
La.	-	0	4	16	16	-	0	4	29	23											
Okla.	1	1	23	66	99	4	1	13	56	52											
Tex.	6	3	64	183	224	13	2	27	135	103											
MOUNTAIN	10	11	22	502	617	2	4	12	187	186											
Ariz.	2	4	11	189	318	1	2	8	110	101											
Colo.	3	3	8	142	112	1	1	3	45	52											
Idaho	1	0	2	18	8	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	58	115	-	0	4	22	28											
Utah	4	2	7	88	60	-	0	2	7	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	-	1	4	37	125	1	0	3	30	25											
Alaska	-	0	3	30	N	1	0	3	30	N											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	0	4	7	125	-	0	1	-	25											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


