
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2007 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	100	88	217	1,632	2,024	20	24	93	466	426											
NEW ENGLAND	18	2	15	45	69	-	1	4	9	21											
Conn.	17	0	0	17	-	-	0	0	-	-											
Maine	-	0	2	7	8	-	0	2	-	-											
Mass.	-	0	5	-	52	-	0	4	-	21											
N.H.	1	0	9	11	2	-	0	4	5	-											
R.I.	-	0	6	-	4	-	0	3	3	-											
Vt.	-	0	2	10	3	-	0	1	1	-											
MID. ATLANTIC	17	17	39	318	415	6	3	20	42	71											
N.J.	-	2	6	28	72	-	0	4	-	24											
N.Y. (Upstate)	13	5	26	117	126	6	2	14	42	47											
N.Y. City	-	3	9	66	79	-	0	3	-	-											
Pa.	4	6	11	107	138	N	0	0	N	N											
E.N. CENTRAL	20	14	31	282	471	1	6	14	73	128											
Ill.	-	4	11	63	149	-	1	6	9	33											
Ind.	8	2	12	42	50	-	0	10	8	17											
Mich.	3	3	10	72	102	1	1	5	31	31											
Ohio	9	4	14	105	114	-	1	7	24	25											
Wis.	-	1	6	-	56	-	0	2	1	22											
W.N. CENTRAL	3	4	32	135	154	3	2	10	44	31											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	3	19	32	-	0	3	3	8											
Minn.	-	0	29	60	67	3	1	6	25	10											
Mo.	-	2	6	38	28	-	0	3	12	8											
Nebr.	1	0	2	7	16	-	0	2	3	4											
N. Dak.	-	0	2	8	6	-	0	1	1	1											
S. Dak.	-	0	2	3	5	-	0	0	-	-											
S. ATLANTIC	25	20	42	400	390	1	2	11	91	18											
Del.	-	0	2	-	4	-	0	0	-	-											
D.C.	-	0	2	4	4	-	0	1	-	-											
Fla.	9	5	16	96	95	-	0	5	21	-											
Ga.	6	5	11	94	104	1	0	5	31	-											
Md.	4	4	10	71	45	-	1	6	26	13											
N.C.	6	0	26	51	59	-	0	0	-	-											
S.C.	-	1	5	26	28	-	0	3	9	-											
Va.	-	2	10	52	43	-	0	1	2	-											
W. Va.	-	0	6	6	8	-	0	3	2	5											
E.S. CENTRAL	1	4	11	66	89	1	0	6	28	5											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	4	16	26	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	5											
Tenn.	1	3	7	50	63	1	0	6	26	-											
W.S. CENTRAL	7	6	61	112	161	4	4	39	88	66											
Ark.	-	0	2	10	13	-	0	2	7	12											
La.	-	0	2	3	2	-	0	4	18	2											
Okla.	1	2	5	36	50	-	1	12	21	14											
Tex.	6	3	56	63	96	4	1	24	42	38											
MOUNTAIN	8	11	42	236	244	3	4	11	79	83											
Ariz.	4	5	34	97	138	2	2	7	46	52											
Colo.	4	3	9	67	46	-	1	4	19	21											
Idaho	-	0	1	5	4	1	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	1	-	0	1	1	-											
N. Mex.	-	1	4	19	31	-	0	4	11	9											
Utah	-	1	7	45	22	-	0	0	-	-											
Wyo.	-	0	1	2	2	-	0	0	-	-											
PACIFIC	1	3	9	38	31	1	0	4	12	3											
Alaska	-	0	2	8	N	1	0	2	10	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	30	31	-	0	2	2	3											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


