
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2007 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	75	84	214	342	546	19	22	64	101	101											
NEW ENGLAND	1	3	15	7	21	-	1	4	3	4											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	2	1	3	-	0	2	-	-											
Mass.	-	1	5	-	15	-	0	4	-	4											
N.H.	1	0	9	2	2	-	0	4	2	-											
R.I.	-	0	4	-	-	-	0	3	-	-											
Vt.	-	0	2	4	1	-	0	1	1	-											
MID. ATLANTIC	10	16	40	48	102	2	3	13	14	16											
N.J.	-	2	8	-	24	-	1	4	-	8											
N.Y. (Upstate)	6	5	23	20	16	2	2	13	14	7											
N.Y. City	-	2	8	3	22	-	0	2	-	1											
Pa.	4	6	13	25	40	N	0	0	N	N											
E.N. CENTRAL	12	13	44	65	124	3	6	14	22	30											
Ill.	-	2	12	5	43	-	2	6	1	6											
Ind.	4	2	11	9	13	1	0	10	3	3											
Mich.	1	3	11	11	26	-	1	5	9	8											
Ohio	7	4	19	40	31	2	2	7	8	8											
Wis.	-	1	4	-	11	-	0	2	1	5											
W.N. CENTRAL	4	5	57	23	28	-	2	10	6	4											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	5	15	-	0	3	2	3											
Minn.	-	0	52	-	-	-	1	7	-	-											
Mo.	3	2	5	15	6	-	0	2	4	1											
Nebr.	1	0	2	1	6	-	0	2	-	-											
N. Dak.	-	0	2	-	1	-	0	1	-	-											
S. Dak.	-	0	2	2	-	-	0	0	-	-											
S. ATLANTIC	28	21	45	97	125	4	1	7	20	10											
Del.	-	0	2	-	1	-	0	0	-	-											
D.C.	-	0	2	-	3	-	0	1	-	-											
Fla.	5	5	16	24	31	-	0	1	2	-											
Ga.	5	5	12	28	33	1	0	2	6	-											
Md.	4	4	12	21	25	2	1	5	9	8											
N.C.	13	0	26	13	13	-	0	0	-	-											
S.C.	-	1	6	5	9	1	0	1	2	-											
Va.	1	2	9	6	10	-	0	1	1	-											
W. Va.	-	0	6	-	-	-	0	2	-	2											
E.S. CENTRAL	2	3	11	19	19	2	0	6	9	3											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	5	5	2	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	-	3											
Tenn.	2	3	9	14	17	2	0	6	9	-											
W.S. CENTRAL	4	7	18	20	32	4	3	29	10	10											
Ark.	1	0	5	3	1	1	0	2	2	3											
La.	-	0	2	-	-	-	0	1	1	-											
Okla.	2	2	8	10	13	2	1	12	5	6											
Tex.	1	4	14	7	18	1	2	14	2	1											
MOUNTAIN	13	11	42	56	79	4	4	12	16	24											
Ariz.	4	5	34	20	43	2	2	9	12	17											
Colo.	4	2	7	17	18	2	1	4	3	5											
Idaho	1	0	1	2	1	-	0	1	-	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	1	0	3	3	-	-	0	0	-	-											
N. Mex.	1	1	5	6	7	-	0	3	1	2											
Utah	2	1	5	7	9	-	0	0	-	-											
Wyo.	-	0	1	1	1	-	0	0	-	-											
PACIFIC	1	2	9	7	16	-	0	1	1	-											
Alaska	-	0	1	1	N	-	0	1	1	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	6	16	-	0	1	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


