
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 10, 2011 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	1	7	109	672	627	17	14	56	744	1,713	-	2	13	103	89						
NEW ENGLAND	-	0	1	4	8	4	2	28	262	115	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	41	-	0	0	-	-						
Maine	-	0	1	1	4	2	0	3	22	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	172	-	-	0	0	-	-						
N.H.	-	0	1	2	3	1	0	4	17	20	-	0	1	1	2						
R.I.	-	0	1	1	1	-	0	15	44	35	-	0	0	-	-						
Vt.	-	0	0	-	-	1	0	1	7	2	-	0	0	-	-						
MID. ATLANTIC	-	1	7	58	84	13	5	31	335	267	-	0	2	10	14						
N.J.	-	0	1	-	51	-	0	2	-	72	-	0	0	-	1						
N.Y. (Upstate)	-	0	7	47	26	13	3	27	284	183	-	0	2	10	10						
N.Y. City	-	0	2	11	5	-	0	5	47	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	5	31	44	-	0	3	20	507	-	0	5	43	45						
Ill.	-	0	4	21	16	-	0	2	9	9	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	34	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	7	-	0	1	8	2	-	0	1	1	-						
Wis.	-	0	0	-	19	-	0	3	3	492	-	0	1	1	27						
W.N. CENTRAL	-	1	19	159	120	-	0	8	35	733	-	0	11	15	10						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	5	6	-	0	1	2	1	-	0	1	1	-						
Minn.	-	0	12	-	-	-	0	2	1	720	-	0	11	-	-						
Mo.	-	1	19	152	112	-	0	7	29	12	-	0	7	13	10						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	1	2	33	238	250	-	1	8	65	63	-	0	2	13	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	15	8	-	0	3	10	3	-	0	0	-	-						
Ga.	-	0	3	18	20	-	0	2	9	1	-	0	1	2	1						
Md.	-	0	3	28	22	-	0	2	7	15	-	0	1	1	2						
N.C.	1	0	17	65	99	-	0	6	20	28	-	0	0	-	-						
S.C.	-	0	1	2	5	-	0	0	-	1	-	0	1	1	-						
Va.	-	1	13	95	76	-	0	3	18	11	-	0	1	8	3						
W. Va.	-	0	0	-	3	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	-	1	8	73	87	-	0	2	16	20	-	0	3	14	9						
Ala.	-	0	2	4	11	-	0	1	4	7	N	0	0	N	N						
Ky.	-	0	3	13	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	1	1	2	-	0	0	-	1						
Tenn.	-	0	5	53	57	-	0	2	11	11	-	0	3	14	7						
W.S. CENTRAL	-	0	87	109	33	-	0	9	8	8	-	0	0	-	1						
Ark.	-	0	13	50	14	-	0	3	6	4	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	57	15	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	2	3	-	0	1	-	2	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	5	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	4	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	1	3	-	-	0	1	2	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	2	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	3	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


