
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 6, 1999 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	67	110	942	1,611	378	760	-	7	-	2	9	1									
NEW ENGLAND	3	9	10	43	4	10	-	-	-	-	-	1									
Maine	-	-	1	5	-	-	-	-	-	-	-	-									
N.H.	1	1	1	3	-	1	-	-	-	-	-	-									
Vt.	1	-	-	1	-	-	-	-	-	-	-	-									
Mass.	1	8	5	11	2	5	-	-	-	-	-	1									
R.I.	-	-	-	2	2	-	-	-	-	-	-	-									
Conn.	-	-	3	21	-	4	-	-	-	-	-	-									
MID. ATLANTIC	11	12	47	110	39	114	-	-	-	-	-	-									
Upstate N.Y.	9	4	9	27	13	23	-	-	-	-	-	-									
N.Y. City	-	4	5	43	1	27	-	-	-	-	-	-									
N.J.	2	4	15	19	8	22	-	-	-	-	-	-									
Pa.	-	-	18	21	17	42	-	-	-	-	-	-									
E.N. CENTRAL	9	20	134	320	17	219	-	-	-	-	-	-									
Ohio	8	8	56	49	12	9	-	-	-	-	-	-									
Ind.	-	2	27	41	4	106	-	-	-	-	-	-									
Ill.	1	9	4	88	-	30	-	-	-	-	-	-									
Mich.	-	-	47	123	1	58	U	-	U	-	-	-									
Wis.	-	1	-	19	-	16	U	-	U	-	-	-									
W.N. CENTRAL	3	-	15	162	4	45	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	1	-	5	53	1	8	-	-	-	-	-	-									
Mo.	-	-	3	99	-	34	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	1	-	-	1	-	1	-	-	-	-	-	-									
Nebr.	-	-	4	2	2	-	-	-	-	-	-	-									
Kans.	1	-	3	7	1	2	-	-	-	-	-	-									
S. ATLANTIC	25	18	111	82	66	45	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	15	7	35	32	17	17	-	-	-	-	-	-									
D.C.	-	-	6	2	-	1	-	-	-	-	-	-									
Va.	-	3	8	14	6	5	-	-	-	-	-	-									
W. Va.	-	1	-	-	-	-	-	-	-	-	-	-									
N.C.	2	1	10	9	26	16	-	-	-	-	-	-									
S.C.	1	-	-	5	7	-	-	-	-	-	-	-									
Ga.	-	6	21	11	2	5	-	-	-	-	-	-									
Fla.	7	-	31	9	8	1	-	-	-	-	-	-									
E.S. CENTRAL	2	9	38	49	19	42	-	-	-	-	-	-									
Ky.	-	2	-	2	-	1	U	-	U	-	-	-									
Tenn.	2	2	21	23	12	31	-	-	-	-	-	-									
Ala.	-	5	16	12	7	10	-	-	-	-	-	-									
Miss.	-	-	1	12	-	-	-	-	-	-	-	-									
W.S. CENTRAL	3	4	34	107	13	50	-	-	-	2	2	-									
Ark.	-	-	3	1	5	10	-	-	-	-	-	-									
La.	1	2	2	2	-	1	-	-	-	-	-	-									
Okla.	1	1	2	36	-	3	-	-	-	-	-	-									
Tex.	1	1	27	68	8	36	-	-	-	2	2	-									
MOUNTAIN	6	24	100	293	53	81	-	1	-	-	1	-									
Mont.	-	-	-	6	-	1	-	-	-	-	-	-									
Idaho	-	-	1	15	4	3	-	-	-	-	-	-									
Wyo.	-	-	-	3	-	1	U	-	U	-	-	-									
Colo.	-	1	34	26	14	10	-	1	-	-	1	-									
N. Mex.	2	-	5	19	24	27	-	-	-	-	-	-									
Ariz.	-	14	50	176	6	20	-	-	-	-	-	-									
Utah	4	1	10	19	5	8	-	-	-	-	-	-									
Nev.	-	8	-	29	-	11	U	-	U	-	-	-									
PACIFIC	5	14	453	445	163	154	-	6	-	-	6	-									
Wash.	-	-	5	38	-	12	-	-	-	-	-	-									
Oreg.	4	7	6	35	4	12	-	6	-	-	6	-									
Calif.	-	6	440	367	157	126	-	-	-	-	-	-									
Alaska	1	-	1	-	2	1	-	-	-	-	-	-									
Hawaii	-	1	1	5	-	3	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	4	2	3	35	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	6	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


