
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 4, 2009 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	74	242	1,697	5,426	3,827	40	69	122	1,624	1,974	33	28	179	516	551						
NEW ENGLAND	-	17	35	232	439	4	8	15	166	186	-	0	2	4	3						
Conn.	-	0	4	13	32	-	3	10	73	92	-	0	0	-	-						
Maine	-	1	10	57	14	3	1	5	26	28	-	0	2	4	-						
Mass.	-	11	30	105	346	-	0	0	-	-	-	0	1	-	1						
N.H.	-	1	6	38	13	-	1	7	19	17	-	0	0	-	1						
R.I.	-	1	6	11	28	1	0	3	20	16	-	0	2	-	1						
Vt.	-	0	2	8	6	-	1	6	28	33	-	0	0	-	-						
MID. ATLANTIC	13	24	64	486	437	15	16	30	310	407	1	1	29	21	50						
N.J.	-	3	12	56	85	-	0	0	-	-	-	0	6	-	34						
N.Y. (Upstate)	6	6	41	95	135	15	8	20	192	207	1	0	29	2	4						
N.Y. City	-	0	21	47	45	-	0	2	-	10	-	0	4	12	6						
Pa.	7	11	33	288	172	-	7	17	118	190	-	0	2	7	6						
E.N. CENTRAL	12	44	238	1,170	698	4	2	28	69	71	-	1	15	21	38						
Ill.	-	14	45	234	82	4	1	20	26	27	-	1	10	9	27						
Ind.	-	3	158	104	22	-	0	6	6	1	-	0	3	1	1						
Mich.	-	9	21	242	95	-	1	9	22	26	-	0	1	3	2						
Ohio	12	15	57	535	453	-	0	7	15	17	-	0	3	8	8						
Wis.	-	4	10	55	46	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	-	32	872	917	336	1	5	17	126	124	-	3	33	58	135						
Iowa	-	5	21	81	48	-	0	5	9	10	-	0	1	1	5						
Kans.	-	3	12	94	30	-	1	6	49	39	-	0	1	1	-						
Minn.	-	0	808	165	95	-	0	11	20	18	-	0	0	-	-						
Mo.	-	14	51	479	121	-	1	8	17	14	-	3	32	52	125						
Nebr.	-	4	32	86	30	-	0	2	-	18	-	0	4	4	2						
N. Dak.	-	0	24	1	1	-	0	9	4	13	-	0	1	-	-						
S. Dak.	-	0	10	11	11	1	0	4	27	12	-	0	0	-	3						
S. ATLANTIC	31	26	71	758	366	13	25	95	714	929	16	15	72	271	138						
Del.	-	0	3	6	5	-	0	0	-	-	-	0	5	3	7						
D.C.	-	0	2	-	1	-	0	0	-	-	-	0	1	-	3						
Fla.	6	8	33	256	87	-	0	79	79	138	-	0	3	4	3						
Ga.	-	3	9	79	33	-	5	52	154	201	-	1	5	16	31						
Md.	2	3	10	49	50	-	6	13	146	234	1	1	7	23	22						
N.C.	21	0	65	199	76	N	4	4	N	N	13	10	55	188	22						
S.C.	1	3	14	93	51	-	0	0	-	-	-	1	9	12	14						
Va.	-	3	24	70	57	10	11	24	276	298	1	2	15	23	31						
W. Va.	1	0	2	6	6	3	1	6	59	58	1	0	1	2	5						
E.S. CENTRAL	5	12	33	344	131	-	3	7	63	88	2	4	23	87	91						
Ala.	-	3	19	124	19	-	0	0	-	-	1	1	7	18	25						
Ky.	1	4	15	106	25	-	1	4	29	16	-	0	0	-	1						
Miss.	-	1	5	23	56	-	0	2	-	2	-	0	3	4	4						
Tenn.	4	2	14	91	31	-	2	6	34	70	1	3	19	65	61						
W.S. CENTRAL	-	40	389	764	432	-	0	9	27	52	13	2	161	45	80						
Ark.	-	2	38	34	40	-	0	5	22	34	8	0	61	22	8						
La.	-	2	7	43	24	-	0	0	-	-	-	0	2	2	3						
Okla.	-	0	45	15	13	-	0	9	4	16	5	0	98	10	54						
Tex.	-	33	304	672	355	-	0	1	1	2	-	1	6	11	15						
MOUNTAIN	11	15	31	402	463	-	2	9	48	32	-	1	3	7	14						
Ariz.	-	3	8	93	134	N	0	0	N	N	-	0	2	2	5						
Colo.	10	4	12	148	74	-	0	0	-	-	-	0	1	-	-						
Idaho	-	1	5	39	20	-	0	2	-	2	-	0	1	-	-						
Mont.	-	0	4	9	60	-	0	4	13	1	-	0	1	3	2						
Nev.	1	0	3	7	18	-	0	5	1	3	-	0	2	-	-						
N. Mex.	-	1	10	30	25	-	0	2	15	18	-	0	1	1	1						
Utah	-	4	19	75	124	-	0	6	2	2	-	0	1	1	2						
Wyo.	-	0	2	1	8	-	0	4	17	6	-	0	2	-	4						
PACIFIC	2	21	98	353	525	3	4	13	101	85	1	0	1	2	2						
Alaska	-	3	21	28	44	-	0	2	9	12	N	0	0	N	N						
Calif.	-	5	19	58	278	3	4	12	92	71	1	0	1	2	-						
Hawaii	-	0	3	16	6	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	3	14	110	81	-	0	2	-	2	-	0	1	-	2						
Wash.	2	6	76	141	116	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	1	-	1	1	5	17	29	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


