
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 31, 2001 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	705	713	1	32	117	52	1,189	1,212	-	2	13										
NEW ENGLAND	48	41	-	-	2	1	207	343	-	-	5										
Maine	-	3	-	-	-	-	-	9	-	-	-										
N.H.	4	3	-	-	-	-	16	48	-	-	1										
Vt.	4	2	-	-	-	-	22	56	-	-	-										
Mass.	27	25	-	-	-	1	163	216	-	-	3										
R.I.	1	2	-	-	1	-	-	5	-	-	-										
Conn.	12	6	-	-	1	-	6	9	-	-	1										
MID. ATLANTIC	58	65	-	-	5	4	72	85	-	1	2										
Upstate N.Y.	25	13	-	-	3	2	62	59	-	1	2										
N.Y. City	13	19	-	-	-	-	-	-	-	-	-										
N.J.	19	16	-	-	-	2	2	-	-	-	-										
Pa.	1	17	-	-	2	-	8	26	-	-	-										
E.N. CENTRAL	55	119	-	5	13	1	130	177	-	1	-										
Ohio	28	19	-	1	4	-	102	108	-	-	-										
Ind.	2	16	-	-	-	-	5	8	-	-	-										
Ill.	-	34	-	3	3	-	7	16	-	1	-										
Mich.	16	36	-	1	6	1	15	9	-	-	-										
Wis.	9	14	-	-	-	-	1	36	-	-	-										
W.N. CENTRAL	47	42	-	2	5	2	39	34	-	-	1										
Minn.	1	3	-	-	-	-	-	14	-	-	-										
Iowa	13	10	-	-	3	-	3	6	-	-	-										
Mo.	19	23	-	-	1	2	23	5	-	-	-										
N. Dak.	2	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	2	-	-	-	-	2	1	-	-	-										
Nebr.	2	2	-	-	1	-	-	2	-	-	1										
Kans.	8	1	-	2	-	-	11	5	-	-	-										
S. ATLANTIC	149	106	-	4	14	8	56	84	-	-	2										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	21	11	-	2	5	-	12	22	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	16	17	-	1	2	-	6	5	-	-	-										
W. Va.	4	3	-	-	-	-	1	-	-	-	-										
N.C.	36	20	-	-	2	4	23	28	-	-	-										
S.C.	13	6	-	1	4	1	7	12	-	-	1										
Ga.	18	20	-	-	-	1	1	9	-	-	-										
Fla.	41	29	-	-	1	2	6	7	-	-	1										
E.S. CENTRAL	49	48	-	-	1	-	24	31	-	-	-										
Ky.	8	10	-	-	-	-	6	21	-	-	-										
Tenn.	19	21	-	-	-	-	13	2	-	-	-										
Ala.	18	12	-	-	1	-	2	7	-	-	-										
Miss.	4	5	-	-	-	-	3	1	-	-	-										
W.S. CENTRAL	106	80	1	3	13	6	15	21	-	-	3										
Ark.	7	5	-	1	1	-	2	5	-	-	-										
La.	34	23	-	1	3	-	-	2	-	-	-										
Okla.	13	9	-	-	-	-	1	-	-	-	-										
Tex.	52	43	1	1	9	6	12	14	-	-	3										
MOUNTAIN	40	43	-	4	7	25	571	218	-	-	-										
Mont.	-	1	-	-	1	-	3	1	-	-	-										
Idaho	3	6	-	-	-	3	151	32	-	-	-										
Wyo.	-	-	U	1	-	U	-	-	U	-	-										
Colo.	16	12	-	1	1	4	121	131	-	-	-										
N. Mex.	7	7	-	2	1	1	15	35	-	-	-										
Ariz.	7	11	-	-	-	16	271	11	-	-	-										
Utah	4	5	-	-	2	-	9	5	-	-	-										
Nev.	3	1	-	-	2	1	1	3	-	-	-										
PACIFIC	153	169	-	14	57	5	75	219	-	-	-										
Wash.	22	15	-	-	2	5	27	56	-	-	-										
Oreg.	21	23	N	N	N	-	5	20	-	-	-										
Calif.	109	127	-	13	50	-	43	132	-	-	-										
Alaska	1	1	-	1	-	-	-	3	-	-	-										
Hawaii	-	3	-	-	5	-	-	8	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	3	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


