
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 26, 2005 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	5,673	6,450	179,783	207,563	947	1,172	350	620													
NEW ENGLAND	171	230	5,873	6,893	-	-	24	32													
Maine	3	5	517	448	N	N	1	5													
N.H.	2	10	429	402	-	-	4	8													
Vt.	-	8	225	271	-	-	8	3													
Mass.	61	82	3,328	3,066	-	-	7	10													
R.I.	14	33	776	843	-	-	1	1													
Conn.	91	92	598	1,863	N	N	3	5													
MID. ATLANTIC	1,105	1,059	21,692	25,678	-	-	53	108													
Upstate N.Y.	103	78	4,398	4,683	N	N	16	19													
N.Y. City	637	304	6,467	8,388	-	-	11	34													
N.J.	196	285	2,414	4,223	N	N	3	8													
Pa.	169	392	8,413	8,384	N	N	23	47													
E.N. CENTRAL	534	627	23,871	38,006	1	4	50	151													
Ohio	83	157	3,073	9,330	N	N	25	39													
Ind.	84	81	4,657	4,324	N	N	4	21													
Ill.	273	279	7,620	11,064	-	-	-	23													
Mich.	72	61	4,850	9,106	1	4	9	27													
Wis.	22	49	3,671	4,182	N	N	12	41													
W.N. CENTRAL	117	199	11,387	12,944	3	2	46	59													
Minn.	52	44	1,886	2,672	N	N	11	24													
Iowa	18	9	2,083	1,621	N	N	10	8													
Mo.	20	82	4,741	4,817	-	1	17	14													
N. Dak.	-	11	254	404	N	N	-	-													
S. Dak.	3	-	639	549	-	-	2	5													
Nebr.	-	8	404	1,174	-	1	-	-													
Kans.	24	45	1,380	1,707	N	N	6	8													
S. ATLANTIC	2,033	2,263	37,374	39,364	-	-	77	123													
Del.	16	41	715	698	N	N	-	-													
Md.	205	335	3,953	4,582	-	-	5	7													
D.C.	80	99	869	851	-	-	1	2													
Va.	104	133	5,775	5,224	-	-	9	9													
W. Va.	16	24	591	679	N	N	4	2													
N.C.	219	226	8,181	6,488	N	N	10	24													
S.C.	60	160	5,134	4,134	-	-	1	4													
Ga.	364	327	2,336	7,437	-	-	21	42													
Fla.	969	918	9,820	9,271	N	N	26	33													
E.S. CENTRAL	397	353	12,982	12,417	-	2	8	31													
Ky.	48	40	2,963	1,368	N	N	1	6													
Tenn.	157	148	4,808	5,187	N	N	2	12													
Ala.	121	75	721	3,254	-	-	4	9													
Miss.	71	90	4,490	2,608	-	2	1	4													
W.S. CENTRAL	672	797	22,353	26,724	-	2	12	24													
Ark.	41	42	1,975	1,829	-	1	-	7													
La.	60	148	1,034	5,880	-	1	2	-													
Okla.	71	36	2,361	2,182	N	N	6	7													
Tex.	500	571	16,983	16,833	N	N	4	10													
MOUNTAIN	246	254	11,946	11,018	600	739	23	27													
Mont.	3	-	421	39	N	N	-	2													
Idaho	3	2	391	751	N	N	1	1													
Wyo.	-	3	256	242	-	-	2	2													
Colo.	14	47	2,656	2,817	N	N	7	15													
N. Mex.	35	20	748	1,450	2	7	1	1													
Ariz.	113	104	5,004	3,939	575	713	3	5													
Utah	12	19	917	591	2	4	4	-													
Nev.	66	59	1,553	1,189	21	15	5	1													
PACIFIC	398	668	32,305	34,519	343	423	57	65													
Wash.	58	65	4,528	3,933	N	N	5	3													
Oreg.	32	50	1,734	1,833	-	-	6	7													
Calif.	297	515	24,308	26,573	343	423	46	54													
Alaska	6	7	847	788	-	-	-	-													
Hawaii	5	31	888	1,392	-	-	-	1													
Guam	1	-	-	208	-	-	-	-													
P.R.	1	141	899	474	N	N	N	N													
V.I.	4	2	32	102	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


