
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 5, 2011 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	1	6	109	629	595	15	16	54	643	1,599	1	1	13	97	84						
NEW ENGLAND	-	0	2	4	5	-	2	26	223	96	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	3	-	0	2	15	17	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	17	150	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	14	16	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	15	40	29	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	4	2	-	0	0	-	-						
MID. ATLANTIC	-	1	7	55	81	15	5	29	292	237	-	0	2	11	12						
N.J.	-	0	1	-	48	-	0	3	-	65	-	0	0	-	1						
N.Y. (Upstate)	-	0	7	46	26	15	3	25	248	160	-	0	2	11	8						
N.Y. City	-	0	1	9	5	-	0	5	40	11	-	0	0	-	-						
Pa.	-	0	0	-	2	-	0	1	4	1	-	0	0	-	3						
E.N. CENTRAL	-	0	3	26	41	-	0	8	16	487	-	1	5	41	43						
Ill.	-	0	2	16	15	-	0	2	7	8	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	32	15						
Mich.	-	0	2	4	2	-	0	0	-	4	-	0	2	5	-						
Ohio	-	0	1	6	6	-	0	1	6	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	7	3	473	-	0	1	1	25						
W.N. CENTRAL	-	1	19	152	119	-	0	20	33	700	-	0	11	15	10						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	3	6	-	0	1	2	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	687	-	0	11	-	-						
Mo.	-	1	19	147	111	-	0	7	27	12	-	0	7	14	10						
Nebr.	-	0	1	1	2	-	0	1	1	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	1	2	33	220	239	-	1	8	54	57	1	0	1	9	6						
Del.	-	0	2	15	17	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	14	8	-	0	3	9	3	-	0	0	-	-						
Ga.	-	0	3	17	20	-	0	2	7	1	-	0	1	1	1						
Md.	-	0	3	27	21	-	0	2	6	14	-	0	0	-	2						
N.C.	1	0	17	58	94	-	0	6	17	23	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	0	-	1	-	0	1	1	-						
Va.	-	1	13	88	72	-	0	3	14	11	1	0	1	6	3						
W. Va.	-	0	1	-	3	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	-	0	8	69	87	-	0	2	15	19	-	0	3	14	8						
Ala.	-	0	2	4	11	-	0	1	4	7	N	0	0	N	N						
Ky.	-	0	3	12	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	1	1	2	-	0	0	-	1						
Tenn.	-	0	5	50	57	-	0	2	10	10	-	0	3	14	6						
W.S. CENTRAL	-	0	87	103	22	-	0	9	7	3	-	0	0	-	1						
Ark.	-	0	13	45	4	-	0	2	5	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	57	14	-	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	1	-	0	0	-	1						
