
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2007 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	157	735	1,355	157	897	3	55	141	3	84	89	254	477	89	185						
NEW ENGLAND	-	20	487	-	487	-	2	73	-	73	-	3	70	-	70						
Conn.	-	0	479	-	479	-	0	72	-	72	-	0	64	-	64						
Maine	-	2	10	-	1	-	0	8	-	-	-	0	2	-	-						
Mass.	-	15	53	-	7	-	1	9	-	1	-	2	11	-	6						
N.H.	-	4	25	-	-	-	0	3	-	-	-	0	2	-	-						
R.I.	-	1	10	-	-	-	0	2	-	-	-	0	3	-	-						
Vt.	-	1	6	-	-	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	9	83	189	9	64	-	6	61	-	1	1	15	43	1	9						
N.J.	-	14	48	-	14	-	0	4	-	-	-	3	35	-	3						
N.Y. (Upstate)	6	26	64	6	1	-	0	4	-	-	1	4	10	1	-						
N.Y. City	3	23	50	3	20	-	0	4	-	-	-	4	13	-	5						
Pa.	-	28	67	-	29	-	2	46	-	1	-	1	6	-	1						
E.N. CENTRAL	13	94	192	13	76	-	9	56	-	3	3	19	38	3	11						
Ill.	-	23	56	-	28	-	1	7	-	-	-	7	21	-	7						
Ind.	-	15	55	-	-	-	1	8	-	-	-	2	17	-	-						
Mich.	-	18	35	-	11	-	1	6	-	-	-	3	8	-	1						
Ohio	13	23	56	13	21	-	3	18	-	-	3	3	14	3	-						
Wis.	-	17	27	-	16	-	2	39	-	3	-	3	9	-	3						
W.N. CENTRAL	5	47	109	5	27	-	11	35	-	2	2	36	77	2	27						
Iowa	-	9	26	-	10	-	2	22	-	1	-	2	13	-	1						
Kans.	-	7	16	-	2	-	0	4	-	-	-	2	11	-	1						
Minn.	-	11	60	-	-	-	4	27	-	-	-	3	24	-	-						
Mo.	-	14	35	-	9	-	0	0	-	-	-	9	69	-	18						
Nebr.	4	3	9	4	3	-	0	8	-	-	-	1	14	-	4						
N. Dak.	-	0	5	-	-	-	0	0	-	-	-	0	18	-	-						
S. Dak.	1	3	7	1	3	-	0	5	-	-	2	6	24	2	3						
S. ATLANTIC	68	209	397	68	124	3	9	27	3	-	64	59	152	64	27						
Del.	-	2	10	-	1	-	0	3	-	-	-	0	2	-	-						
D.C.	-	1	4	-	2	-	0	1	-	-	-	0	2	-	1						
Fla.	27	92	176	27	40	-	2	9	-	-	32	27	76	32	14						
Ga.	23	31	77	23	32	2	1	7	2	-	31	22	64	31	8						
Md.	1	13	31	1	4	1	2	8	1	-	1	2	10	1	3						
N.C.	17	32	130	17	37	-	2	11	-	2	-	1	21	-	-						
S.C.	-	17	51	-	8	-	0	2	-	-	-	1	9	-	1						
Va.	-	20	57	-	-	-	0	0	-	-	-	2	9	-	-						
W. Va.	-	1	16	-	-	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	15	60	153	15	29	-	1	12	-	1	5	15	83	5	17						
Ala.	1	24	93	1	9	-	0	5	-	-	1	4	74	1	1						
Ky.	8	8	23	8	1	-	1	12	-	1	2	3	15	2	11						
Miss.	-	12	42	-	9	-	0	0	-	-	-	2	9	-	5						
Tenn.	6	15	32	6	10	-	0	4	-	-	2	2	12	2	-						
W.S. CENTRAL	1	66	179	1	12	-	1	21	-	-	3	35	71	3	3						
Ark.	-	15	47	-	1	-	0	7	-	-	-	2	9	-	-						
La.	-	13	42	-	7	-	0	0	-	-	-	1	25	-	-						
Okla.	1	8	40	1	-	-	0	17	-	-	-	2	9	-	-						
Tex.	-	31	102	-	4	-	2	13	-	-	3	29	53	3	3						
MOUNTAIN	21	50	88	21	23	-	4	17	-	1	4	25	87	4	6						
Ariz.	4	17	41	4	2	-	2	13	-	-	3	12	35	3	-						
Colo.	16	12	30	16	12	-	1	8	-	1	1	3	15	1	1						
Idaho	-	3	9	-	-	-	1	7	-	-	-	0	3	-	-						
Mont.	-	2	10	-	1	-	0	0	-	-	-	0	13	-	-						
Nev.	-	3	20	-	1	-	0	5	-	-	-	1	20	-	-						
N. Mex.	-	4	15	-	5	-	0	1	-	-	-	2	15	-	4						
Utah	1	5	15	1	2	-	1	14	-	-	-	1	6	-	1						
Wyo.	-	1	4	-	-	-	0	3	-	-	-	0	19	-	-						
PACIFIC	25	114	181	25	55	-	4	17	-	3	7	37	87	7	15						
Alaska	1	1	7	1	1	-	0	0	-	-	-	0	2	-	-						
Calif.	22	88	158	22	47	-	0	0	-	-	5	30	76	5	13						
Hawaii	-	5	16	-	1	-	0	2	-	-	-	1	4	-	2						
Oreg.	2	8	16	2	6	-	0	1	-	-	2	1	32	2	-						
Wash.	-	10	39	-	-	-	2	12	-	-	-	2	13	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	4	18	-	-	-	0	0	-	-	-	0	2	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


