
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 12, 1999 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,213	1,416	8	165	386	30	2,253	2,039	22	71	275										
NEW ENGLAND	61	64	-	3	1	3	189	373	-	5	36										
Maine	4	4	-	-	-	-	-	5	-	-	-										
N.H.	9	4	-	1	-	-	53	26	-	-	-										
Vt.	4	1	-	-	-	-	10	31	-	-	-										
Mass.	35	29	-	2	1	3	115	295	-	5	8										
R.I.	2	3	-	-	-	-	3	3	-	-	-										
Conn.	7	23	-	-	-	-	8	13	-	-	28										
MID. ATLANTIC	107	140	1	20	166	1	546	258	1	13	125										
Upstate N.Y.	30	34	1	5	3	1	487	117	1	10	103										
N.Y. City	26	17	-	3	153	-	10	13	-	-	9										
N.J.	23	36	U	-	3	U	-	8	U	-	12										
Pa.	28	53	-	12	7	-	49	120	-	3	1										
E.N. CENTRAL	186	235	1	21	45	2	162	201	-	-	-										
Ohio	79	78	-	6	19	1	99	66	-	-	-										
Ind.	33	41	-	2	4	-	10	49	-	-	-										
Ill.	50	67	-	6	6	-	33	17	-	-	-										
Mich.	23	25	1	7	16	1	20	31	-	-	-										
Wis.	1	24	U	-	-	U	-	38	U	-	-										
W.N. CENTRAL	136	112	-	5	20	2	58	149	6	13	27										
Minn.	28	16	-	1	10	1	25	79	-	-	-										
Iowa	26	16	-	3	6	-	17	40	6	13	-										
Mo.	56	48	-	1	3	1	13	12	-	-	2										
N. Dak.	3	-	-	-	1	-	-	-	-	-	-										
S. Dak.	6	6	-	-	-	-	2	4	-	-	-										
Nebr.	5	4	-	-	-	-	1	6	-	-	-										
Kans.	12	22	-	-	-	-	-	8	-	-	25										
S. ATLANTIC	211	217	2	32	24	8	127	112	15	17	4										
Del.	3	1	-	-	-	-	-	1	-	-	-										
Md.	32	22	-	3	-	1	36	25	-	1	-										
D.C.	1	-	U	2	-	U	-	1	U	-	-										
Va.	25	21	-	8	4	-	13	6	-	-	-										
W. Va.	4	7	-	-	-	-	1	1	-	-	-										
N.C.	25	31	-	5	7	1	28	42	15	16	3										
S.C.	24	34	-	3	4	-	8	13	-	-	-										
Ga.	36	48	-	1	1	1	16	3	-	-	-										
Fla.	61	53	2	10	8	5	25	20	-	-	1										
E.S. CENTRAL	100	111	-	1	7	-	42	50	-	1	-										
Ky.	27	16	-	-	-	-	3	18	-	-	-										
Tenn.	33	39	-	-	-	-	25	16	-	-	-										
Ala.	23	37	-	1	4	-	10	14	-	1	-										
Miss.	17	19	U	-	3	U	4	2	U	-	-										
W.S. CENTRAL	91	163	1	21	31	-	58	133	-	5	65										
Ark.	19	22	-	-	-	-	4	14	-	-	-										
La.	34	35	1	3	2	-	3	1	-	-	-										
Okla.	15	26	-	1	-	-	7	15	-	-	-										
Tex.	23	80	-	17	29	-	44	103	-	5	65										
MOUNTAIN	85	78	-	12	23	7	237	404	-	14	5										
Mont.	2	2	-	-	-	-	2	1	-	-	-										
Idaho	8	3	-	1	3	-	92	134	-	-	-										
Wyo.	3	3	U	-	1	U	2	7	U	-	-										
Colo.	22	17	-	3	3	4	58	99	-	-	-										
N. Mex.	10	13	N	N	N	1	20	62	-	-	1										
Ariz.	28	28	-	-	4	-	29	64	-	13	1										
Utah	7	8	-	5	3	2	32	20	-	-	2										
Nev.	5	4	-	3	9	-	2	17	-	1	1										
PACIFIC	236	296	3	50	69	7	834	359	-	3	13										
Wash.	35	35	1	2	5	5	479	131	-	-	9										
Oreg.	40	50	N	N	N	2	17	26	-	-	-										
Calif.	153	206	2	42	48	-	328	195	-	3	2										
Alaska	4	1	-	1	2	-	3	2	-	-	-										
Hawaii	4	4	-	5	14	-	7	5	-	-	2										
Guam	-	2	U	-	2	U	-	-	U	-	-										
P.R.	4	5	-	-	1	1	8	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


