
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 1, 2005 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	30,659	682,254	689,085	3,455	4,289	4,900	2,726													
NEW ENGLAND	778	974	24,208	22,768	-	-	227	143													
Maine	11	20	1,588	1,539	N	N	16	17													
N.H.	20	36	1,381	1,283	-	-	25	27													
Vt.	4	14	691	849	-	-	32	21													
Mass.	368	337	11,010	10,074	-	-	89	52													
R.I.	68	109	2,470	2,568	-	-	7	4													
Conn.	307	458	7,068	6,455	N	N	58	22													
MID. ATLANTIC	4,352	6,898	85,085	84,705	-	-	2,112	394													
Upstate N.Y.	800	772	16,924	16,972	N	N	1,796	92													
N.Y. City	2,327	3,892	26,766	26,316	-	-	82	103													
N.J.	574	1,143	13,658	13,304	N	N	40	39													
Pa.	651	1,091	27,737	28,113	N	N	194	160													
E.N. CENTRAL	1,938	2,673	106,026	121,901	7	11	1,038	851													
Ohio	312	504	25,449	30,523	N	N	567	185													
Ind.	236	285	14,717	13,800	N	N	48	65													
Ill.	983	1,267	32,842	35,719	-	-	73	134													
Mich.	322	485	18,976	27,695	7	11	75	125													
Wis.	85	132	14,042	14,164	N	N	275	342													
W.N. CENTRAL	463	626	42,140	42,369	5	6	449	318													
Minn.	123	148	8,236	8,862	3	N	95	106													
Iowa	50	50	5,263	5,187	N	N	88	63													
Mo.	198	267	16,752	15,594	1	3	212	59													
N. Dak.	5	15	837	1,380	N	N	1	10													
S. Dak.	10	8	2,050	1,866	-	-	16	33													
Nebr.	18	44	3,767	3,883	1	3	6	24													
Kans.	59	94	5,235	5,597	N	N	31	23													
S. ATLANTIC	6,473	9,345	133,637	129,334	1	-	504	408													
Del.	100	118	2,498	2,159	N	N	3	-													
Md.	812	1,251	13,922	14,310	1	-	29	16													
D.C.	467	621	2,944	2,652	-	-	9	13													
Va.	307	506	15,986	16,744	-	-	48	44													
W. Va.	36	63	1,991	2,112	N	N	12	5													
N.C.	531	471	24,468	21,769	N	N	67	64													
S.C.	386	534	16,653	14,134	-	-	14	18													
Ga.	1,103	1,298	22,885	24,173	-	-	87	143													
Fla.	2,731	4,483	32,290	31,281	N	N	235	105													
E.S. CENTRAL	1,093	1,515	51,048	45,030	-	5	141	114													
Ky.	135	183	6,707	4,192	N	N	94	36													
Tenn.	434	617	17,600	16,819	N	N	29	31													
Ala.	295	350	11,132	10,258	-	-	16	21													
Miss.	229	365	15,609	13,761	-	5	2	26													
W.S. CENTRAL	2,206	3,548	80,022	84,554	1	3	93	81													
Ark.	72	175	6,507	6,037	-	1	4	13													
La.	436	704	12,572	16,936	1	2	3	3													
Okla.	167	147	8,325	8,273	N	N	34	17													
Tex.	1,531	2,522	52,618	53,308	N	N	52	48													
MOUNTAIN	789	1,126	39,912	42,053	2,387	2,665	100	141													
Mont.	4	5	1,474	1,871	N	N	16	34													
Idaho	9	16	1,826	2,125	N	N	9	21													
Wyo.	2	14	837	795	3	2	2	3													
Colo.	163	247	10,023	10,706	N	N	36	48													
N. Mex.	72	148	4,171	6,776	9	19	3	14													
Ariz.	329	403	13,431	12,051	2,339	2,583	10	15													
Utah	33	51	3,249	2,784	5	16	15	4													
Nev.	177	242	4,901	4,945	31	45	9	2													
PACIFIC	2,313	3,954	120,176	116,371	1,054	1,599	236	276													
Wash.	229	309	13,936	13,217	N	N	38	33													
Oreg.	136	236	6,100	6,193	-	-	57	29													
Calif.	1,874	3,283	94,431	89,962	1,054	1,599	137	212													
Alaska	14	32	3,000	2,875	-	-	3	-													
Hawaii	60	94	2,709	4,124	-	-	1	2													
Guam	1	1	-	801	-	-	-	-													
P.R.	537	594	2,759	2,629	N	N	N	N													
V.I.	10	10	119	272	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


