
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	218	339	84	297	110	65	73	21	1	3											
NEW ENGLAND	3	12	-	1	1	7	-	3	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	N	N											
Vt.	1	-	-	-	-	1	-	1	-	-											
Mass.	2	12	-	1	1	4	N	N	N	N											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	-	2	-	2	U	U											
MID. ATLANTIC	14	49	6	31	8	15	3	1	1	-											
Upstate N.Y.	3	-	2	-	3	-	1	-	1	-											
N.Y. City	-	15	-	11	-	2	U	U	U	U											
N.J.	5	17	2	15	1	3	N	N	N	N											
Pa.	6	17	2	5	4	10	2	1	-	-											
E.N. CENTRAL	24	61	5	18	22	17	11	-	-	2											
Ohio	16	19	3	2	13	5	11	-	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	27	-	12	-	5	-	-	-	-											
Mich.	8	3	2	1	9	2	N	N	N	N											
Wis.	-	12	-	3	-	5	N	N	-	2											
W.N. CENTRAL	3	9	-	13	-	5	-	8	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	3	3	-	-	N	N	N	N	N	N											
Mo.	-	3	-	11	-	4	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	1	-	-	-	1	-	-	-	-											
Nebr.	-	-	-	2	-	-	-	-	N	N											
Kans.	-	2	-	-	-	-	-	8	N	N											
S. ATLANTIC	121	104	59	159	47	3	57	6	-	-											
Del.	-	-	-	10	-	-	-	-	N	N											
Md.	11	8	2	18	3	1	-	-	-	-											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	N	N	N	N											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	18	22	10	-	-	-	N	N	U	U											
S.C.	-	-	-	-	-	-	-	-	N	N											
Ga.	33	26	16	74	36	1	39	3	N	N											
Fla.	59	48	31	57	8	1	18	3	N	N											
E.S. CENTRAL	11	17	1	16	10	1	2	-	-	-											
Ky.	-	-	-	1	-	-	-	-	N	N											
Tenn.	11	4	1	2	10	1	2	-	N	N											
Ala.	-	7	-	9	-	-	-	-	N	N											
Miss.	-	6	-	4	-	-	-	-	-	-											
W.S. CENTRAL	1	35	4	27	-	12	-	3	-	1											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	5	-	1	-	-	-	3	-	-											
Okla.	1	-	4	-	-	-	N	N	-	-											
Tex.	-	30	-	26	-	12	N	N	-	1											
MOUNTAIN	1	10	-	6	4	4	-	-	-	-											
Mont.	-	1	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	N	N	N	N											
Wyo.	-	-	-	1	1	-	-	-	-	-											
Colo.	-	3	-	-	-	-	-	-	-	-											
N. Mex.	-	2	-	5	3	2	-	-	-	-											
Ariz.	-	-	-	-	-	2	-	-	N	N											
Utah	1	-	-	-	-	-	-	-	-	-											
Nev.	-	4	-	-	-	-	-	-	-	-											
PACIFIC	40	42	9	26	18	1	-	-	-	-											
Wash.	-	-	-	-	-	-	-	-	N	N											
Oreg.	-	-	-	-	N	N	N	N	N	N											
Calif.	35	40	8	25	16	-	N	N	N	N											
Alaska	1	-	-	-	-	-	-	-	N	N											
Hawaii	4	2	1	1	2	1	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


