
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2001 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	55,257	73,139	311	700	117	135	60	418	854												
NEW ENGLAND	1,170	1,376	4	5	2	13	6	116	127												
Maine	28	17	-	-	-	2	-	-	-												
N.H.	26	20	-	-	-	2	-	42	15												
Vt.	19	10	2	2	1	-	-	1	-												
Mass.	545	552	2	3	1	7	4	14	30												
R.I.	155	115	-	-	-	-	-	-	-												
Conn.	397	662	-	-	-	2	2	59	82												
MID. ATLANTIC	4,446	7,248	18	133	7	24	6	195	591												
Upstate N.Y.	1,295	1,131	11	10	5	11	3	161	189												
N.Y. City	1,898	2,347	-	-	1	-	1	-	18												
N.J.	476	1,553	-	116	-	-	-	-	84												
Pa.	777	2,217	7	7	1	13	2	34	300												
E.N. CENTRAL	6,974	14,784	40	64	39	41	8	10	21												
Ohio	185	3,737	4	-	20	17	2	10	2												
Ind.	1,042	1,227	-	-	4	5	-	-	1												
Ill.	1,815	4,869	-	8	-	4	-	-	1												
Mich.	3,316	3,377	36	56	11	8	5	-	-												
Wis.	616	1,574	-	-	4	7	1	U	17												
W.N. CENTRAL	2,455	3,342	44	96	10	5	2	10	14												
Minn.	395	648	-	-	1	1	-	7	6												
Iowa	202	193	-	-	2	2	-	-	-												
Mo.	1,013	1,643	41	93	4	2	1	3	3												
N. Dak.	9	10	-	-	-	-	-	-	-												
S. Dak.	43	57	-	-	-	-	-	-	-												
Nebr.	218	244	2	1	2	-	-	-	1												
Kans.	575	547	1	2	1	-	1	-	4												
S. ATLANTIC	16,092	20,474	16	16	22	26	8	69	82												
Del.	345	322	-	1	-	2	-	-	11												
Md.	1,713	1,654	5	2	7	8	1	61	58												
D.C.	667	467	-	-	1	-	-	3	-												
Va.	1,865	2,103	-	-	2	3	1	2	5												
W. Va.	96	119	-	1	N	N	1	-	4												
N.C.	3,396	3,625	4	7	2	3	-	2	4												
S.C.	2,065	4,385	2	-	-	2	-	-	-												
Ga.	2,496	3,164	-	-	1	-	2	-	-												
Fla.	3,449	4,635	5	5	9	8	3	1	-												
E.S. CENTRAL	6,377	7,480	43	103	8	3	4	2	-												
Ky.	732	682	1	10	5	1	1	2	-												
Tenn.	2,007	2,311	11	21	2	1	2	-	-												
Ala.	2,139	2,594	-	3	1	1	1	-	-												
Miss.	1,499	1,893	31	69	-	-	-	-	-												
W.S. CENTRAL	10,226	11,050	100	226	1	4	1	-	3												
Ark.	1,183	502	1	3	-	-	1	-	-												
La.	2,568	2,822	51	124	1	2	-	-	2												
Okla.	1,023	830	1	-	-	-	-	-	-												
Tex.	5,452	6,896	47	99	-	2	-	-	1												
MOUNTAIN	2,032	2,240	17	18	7	8	5	1	-												
Mont.	18	2	-	-	-	-	-	-	-												
Idaho	18	22	1	-	-	1	-	-	-												
Wyo.	15	16	3	-	-	-	-	-	-												
Colo.	751	763	5	9	3	4	1	-	-												
N. Mex.	184	186	6	4	1	-	1	-	-												
Ariz.	732	903	-	4	2	-	1	-	-												
Utah	24	70	-	-	-	3	-	-	-												
Nev.	290	278	2	1	1	-	2	1	-												
PACIFIC	5,485	5,145	29	39	21	11	20	15	16												
Wash.	645	495	7	4	4	5	-	-	-												
Oreg.	196	110	4	9	N	N	2	2	1												
Calif.	4,471	4,391	18	26	17	6	18	13	15												
Alaska	55	59	-	-	-	-	-	-	-												
Hawaii	118	90	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	263	97	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


