
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 23, 2002 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	383	834	64	39	939	1,261	774	1,245													
NEW ENGLAND	33	46	4	-	166	151	142	107													
Maine	2	-	-	-	3	-	10	15													
N.H.	4	3	3	-	1	16	2	2													
Vt.	3	4	-	-	28	22	28	23													
Mass.	19	27	1	-	134	107	43	26													
R.I.	2	-	-	-	-	-	4	11													
Conn.	3	12	-	-	-	6	55	30													
MID. ATLANTIC	25	100	7	2	32	89	44	78													
Upstate N.Y.	2	24	1	1	16	58	23	-													
N.Y. City	4	18	1	1	5	10	5	1													
N.J.	6	38	1	-	-	-	-	26													
Pa.	13	20	4	-	11	21	16	51													
E.N. CENTRAL	55	96	8	5	167	150	2	8													
Ohio	25	28	3	1	107	100	1	-													
Ind.	11	1	-	-	12	5	1	1													
Ill.	-	27	2	4	22	10	-	-													
Mich.	13	25	3	-	18	16	-	3													
Wis.	6	15	-	-	8	19	-	4													
W.N. CENTRAL	38	45	6	1	121	39	65	72													
Minn.	7	1	-	-	30	-	7	12													
Iowa	5	11	-	-	43	7	7	13													
Mo.	20	20	3	-	29	20	1	5													
N. Dak.	-	2	-	-	-	-	-	11													
S. Dak.	2	2	-	-	5	2	16	11													
Nebr.	-	2	-	-	-	-	-	-													
Kans.	4	7	3	1	14	10	34	20													
S. ATLANTIC	77	142	9	4	79	53	391	430													
Del.	3	-	-	-	1	-	3	-													
Md.	1	18	1	2	9	10	38	74													
D.C.	-	-	-	-	-	-	-	-													
Va.	8	14	2	1	21	6	123	78													
W. Va.	-	4	-	-	1	1	31	32													
N.C.	11	36	1	-	11	19	120	121													
S.C.	10	10	1	1	18	6	17	18													
Ga.	10	25	2	-	9	7	59	68													
Fla.	34	35	2	-	9	4	-	39													
E.S. CENTRAL	19	49	4	-	34	26	29	113													
Ky.	2	8	1	-	11	9	6	4													
Tenn.	6	16	1	-	21	11	18	106													
Ala.	9	19	1	-	2	3	5	3													
Miss.	2	6	1	-	-	3	-	-													
W.S. CENTRAL	17	178	4	3	92	31	23	304													
Ark.	7	7	-	1	5	3	-	-													
La.	3	34	-	2	-	1	-	2													
Okla.	6	11	-	-	10	1	23	15													
Tex.	1	126	4	-	77	26	-	287													
MOUNTAIN	34	33	3	4	140	542	31	53													
Mont.	1	-	-	-	2	3	-	5													
Idaho	-	3	1	-	21	144	-	-													
Wyo.	-	-	-	1	3	-	1	15													
Colo.	11	12	-	1	76	121	-	-													
N. Mex.	1	5	-	2	19	15	-	1													
Ariz.	10	6	-	-	10	250	30	32													
Utah	4	4	2	-	7	9	-	-													
Nev.	7	3	-	-	2	-	-	-													
PACIFIC	85	145	19	20	108	180	47	80													
Wash.	14	22	-	-	66	20	-	-													
Oreg.	17	4	N	N	14	3	-	-													
Calif.	49	113	15	12	24	148	27	52													
Alaska	2	1	-	1	2	-	20	28													
Hawaii	3	5	4	7	2	9	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	1	-	-	-	1	16	24													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


