
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending April 11, 2009 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	37	57	108	1,035	1,172	9	8	22	147	140	74	255	384	3,115	3,295						
NEW ENGLAND	1	1	48	19	19	-	0	5	1	1	3	5	15	92	79						
Conn.	-	0	48	-	-	-	0	5	-	-	-	1	5	21	3						
Maine	-	0	2	3	7	-	0	1	-	-	-	0	2	1	2						
Mass.	-	0	1	1	-	-	0	1	1	-	3	4	11	59	64						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	7	4						
R.I.	-	0	4	4	7	-	0	1	-	-	-	0	5	4	3						
Vt.	1	0	2	6	5	-	0	1	-	1	-	0	2	-	3						
MID. ATLANTIC	1	4	14	47	113	1	0	3	10	10	30	33	51	490	466						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	58	68						
N.Y. (Upstate)	1	1	8	19	20	1	0	2	6	2	2	2	8	26	29						
N.Y. City	-	1	5	1	45	-	0	0	-	-	27	23	37	328	281						
Pa.	-	1	10	27	48	-	0	1	4	8	1	5	11	78	88						
E.N. CENTRAL	12	9	28	181	262	2	1	6	26	30	7	26	47	229	411						
Ill.	N	0	0	N	N	N	0	0	N	N	-	5	14	36	124						
Ind.	-	2	19	26	93	-	0	3	4	11	2	2	10	42	40						
Mich.	-	0	3	9	7	-	0	1	-	1	5	4	18	67	50						
Ohio	12	7	18	146	162	2	1	4	22	18	-	11	27	71	183						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	13	14						
W.N. CENTRAL	2	2	8	39	88	1	0	2	10	6	-	7	14	79	120						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	7	4						
