
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis cummulative for 2005
Pertussis cummulative for 2004
Rabies, animal cummulative for 2005
Rabies, animal cummulative for 2004
Rocky Mountain Spotted Fever cummulative for 2005
Rocky Mountain Spotted Fever cummulative for 2004
Salmonellosis cummulative for 2005
Salmonellosis cummulative for 2004
Shigellosis cummulative for 2005
Shigellosis cummulative for 2004

tab delimited data:
test
UNITED STATES	309	275	92	385	14	15	562	978	165	399											
NEW ENGLAND	9	96	23	5	-	3	24	55	4	15											
Maine	-	-	1	-	-	-	1	2	-	-											
N.H.	-	-	-	-	-	-	1	1	-	-											
Vt.	6	-	-	-	-	-	5	2	-	-											
Mass.	3	93	17	5	-	3	12	43	4	12											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	3	5	-	-	-	5	7	-	3											
MID. ATLANTIC	26	59	6	20	-	3	30	118	3	41											
Upstate N.Y.	8	18	5	5	-	-	5	9	-	14											
N.Y. City	-	6	1	1	-	1	10	43	1	11											
N.J.	-	13	-	-	-	-	5	34	2	10											
Pa.	18	22	-	14	-	2	10	32	-	6											
E.N. CENTRAL	114	48	1	1	1	-	36	158	8	48											
Ohio	110	19	1	1	1	-	29	39	4	9											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	1	-	-	-	-	-	66	-	28											
Mich.	4	3	-	-	-	-	7	21	4	6											
Wis.	-	25	-	-	-	-	-	32	-	5											
W.N. CENTRAL	30	26	2	14	2	-	40	49	15	19											
Minn.	-	-	-	3	-	-	1	7	1	1											
Iowa	-	4	-	2	-	-	12	4	3	2											
Mo.	9	19	2	1	2	-	16	17	10	6											
N. Dak.	6	-	-	-	-	-	2	1	-	1											
S. Dak.	1	-	-	3	-	-	1	3	-	-											
Nebr.	7	-	-	-	-	-	4	3	-	-											
Kans.	7	3	-	5	-	-	4	14	1	9											
S. ATLANTIC	17	7	33	269	11	4	242	210	41	106											
Del.	-	-	-	-	-	-	-	-	-	1											
Md.	7	5	5	13	1	-	17	16	5	5											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	2	6	6	-	-	2	1	-	-											
W. Va.	-	-	-	3	-	-	-	-	-	-											
N.C.	-	-	16	26	5	2	65	33	-	14											
S.C.	5	-	-	-	-	2	9	1	-	2											
Ga.	-	-	-	14	3	-	60	51	21	33											
Fla.	5	-	6	207	2	-	89	108	15	51											
E.S. CENTRAL	3	6	1	40	-	5	17	60	6	11											
Ky.	-	-	-	1	-	-	2	2	-	-											
Tenn.	-	4	-	36	-	2	5	13	4	2											
Ala.	3	1	1	3	-	1	10	25	2	7											
Miss.	-	1	-	-	-	2	-	20	-	2											
W.S. CENTRAL	2	3	20	30	-	-	13	117	13	89											
Ark.	1	2	5	-	-	-	3	4	2	-											
La.	-	1	-	-	-	-	2	12	3	8											
Okla.	-	-	2	2	-	-	3	14	6	8											
Tex.	1	-	13	28	-	-	5	87	2	73											
MOUNTAIN	102	16	4	4	-	-	44	60	19	17											
Mont.	6	3	-	-	-	-	1	3	-	-											
Idaho	2	2	-	-	-	-	2	12	-	-											
Wyo.	1	1	-	-	-	-	3	1	-	1											
Colo.	84	5	-	-	-	-	16	21	5	5											
N. Mex.	-	4	-	-	-	-	-	10	-	11											
Ariz.	7	-	4	4	-	-	17	-	10	-											
Utah	2	1	-	-	-	-	2	4	-	-											
Nev.	-	-	-	-	-	-	3	9	4	-											
PACIFIC	6	14	2	2	-	-	116	151	56	53											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	5	14	-	-	-	-	1	23	1	6											
Calif.	-	-	2	2	-	-	109	113	54	41											
Alaska	1	-	-	-	-	-	3	9	1	-											
Hawaii	-	-	-	-	-	-	3	6	-	6											
Guam	-	-	-	-	-	-	-	-	-	1											
P.R.	-	-	2	1	N	N	-	3	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


