
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 23, 2000 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	1,548	1,825	5	265	271	140	4,292	4,529	-	123	233										
NEW ENGLAND	96	84	-	4	6	4	959	539	-	12	7										
Maine	9	5	-	-	-	1	33	-	-	-	-										
N.H.	11	11	-	-	1	-	83	78	-	2	-										
Vt.	2	4	-	-	1	1	179	50	-	-	-										
Mass.	55	48	-	1	4	2	611	372	-	8	7										
R.I.	8	4	-	1	-	-	14	24	-	1	-										
Conn.	11	12	-	2	-	-	39	15	-	1	-										
MID. ATLANTIC	149	169	-	19	35	10	390	739	-	9	30										
Upstate N.Y.	50	47	-	8	7	10	186	580	-	2	18										
N.Y. City	30	49	-	4	10	-	44	42	-	7	5										
N.J.	33	39	-	3	1	-	34	20	-	-	4										
Pa.	36	34	U	4	17	U	126	97	U	-	3										
E.N. CENTRAL	264	330	-	27	36	16	504	396	-	1	2										
Ohio	69	114	-	7	11	10	265	156	-	-	-										
Ind.	37	47	-	1	4	5	75	54	-	-	1										
Ill.	64	86	-	6	9	1	54	67	-	1	1										
Mich.	74	50	-	13	8	-	55	41	-	-	-										
Wis.	20	33	-	-	4	-	55	78	-	-	-										
W.N. CENTRAL	136	178	1	18	10	27	367	298	-	1	126										
Minn.	17	39	-	-	1	17	217	133	-	-	5										
Iowa	25	32	1	7	5	2	40	46	-	-	30										
Mo.	73	64	-	5	1	-	49	57	-	-	2										
N. Dak.	2	3	-	-	-	-	3	4	-	-	-										
S. Dak.	5	11	-	-	-	-	3	5	-	-	-										
Nebr.	7	9	-	3	-	8	24	4	-	1	89										
Kans.	7	20	-	3	3	-	31	49	-	-	-										
S. ATLANTIC	251	306	1	40	40	5	349	324	-	73	35										
Del.	-	8	-	-	-	-	8	4	-	-	-										
Md.	24	44	1	10	3	1	81	102	-	-	1										
D.C.	-	3	-	-	2	-	3	-	-	-	-										
Va.	35	40	-	8	8	4	66	17	-	-	-										
W. Va.	11	5	-	-	-	-	1	2	-	-	-										
N.C.	32	35	-	5	8	-	77	86	-	64	34										
S.C.	19	38	-	10	4	-	23	15	-	7	-										
Ga.	38	51	-	2	4	-	34	33	-	-	-										
Fla.	92	82	U	5	11	U	56	65	U	2	-										
E.S. CENTRAL	107	128	-	7	11	1	86	78	-	5	2										
Ky.	24	26	-	1	-	-	41	22	-	1	-										
Tenn.	44	53	-	2	-	1	26	34	-	1	-										
Ala.	29	30	-	2	8	-	18	19	-	3	2										
Miss.	10	19	-	2	3	-	1	3	-	-	-										
W.S. CENTRAL	105	183	-	23	36	29	256	166	-	4	11										
Ark.	12	31	-	2	-	1	31	19	-	-	3										
La.	29	55	-	3	10	-	3	9	-	-	-										
Okla.	23	27	-	-	1	-	14	32	-	-	1										
Tex.	41	70	-	18	25	28	208	106	-	4	7										
MOUNTAIN	109	110	1	19	14	33	584	544	-	2	16										
Mont.	4	2	-	1	-	1	33	2	-	-	-										
Idaho	6	8	-	-	1	-	52	131	-	-	-										
Wyo.	-	4	U	2	-	U	6	2	U	-	-										
Colo.	30	30	-	1	5	18	321	204	-	1	1										
N. Mex.	7	13	-	1	N	1	77	77	-	-	-										
Ariz.	52	33	-	4	-	11	69	69	-	1	13										
Utah	7	13	-	4	3	1	16	54	-	-	1										
Nev.	3	7	1	6	5	1	10	5	-	-	1										
PACIFIC	331	337	2	108	83	15	797	1,445	-	16	4										
Wash.	43	56	2	10	2	14	286	570	-	7	-										
Oreg.	55	58	N	N	N	1	101	40	-	-	-										
Calif.	218	211	-	77	68	-	362	799	-	9	4										
Alaska	7	6	-	7	1	-	19	4	-	-	-										
Hawaii	8	6	-	14	12	-	29	32	-	-	-										
Guam	-	1	U	-	1	U	-	2	U	-	-										
P.R.	8	10	-	-	-	1	6	21	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


