
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2007 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	91	88	220	1,969	2,464	30	26	98	575	531											
NEW ENGLAND	13	3	21	72	134	1	1	7	12	43											
Conn.	13	0	17	35	50	-	0	6	-	18											
Maine	-	0	2	8	8	-	0	2	1	-											
Mass.	-	0	5	-	65	-	0	3	-	25											
N.H.	-	1	9	18	3	-	0	4	6	-											
R.I.	-	0	6	-	4	-	0	3	3	-											
Vt.	-	0	2	11	4	1	0	1	2	-											
MID. ATLANTIC	13	17	39	392	484	2	3	19	51	81											
N.J.	-	2	6	28	87	-	0	4	-	28											
N.Y. (Upstate)	7	5	26	146	147	2	2	14	51	49											
N.Y. City	-	3	10	87	89	-	0	3	-	4											
Pa.	6	6	11	131	161	N	0	0	N	N											
E.N. CENTRAL	15	14	31	329	538	4	6	14	93	149											
Ill.	-	4	10	71	173	-	1	6	9	36											
Ind.	2	2	12	48	54	-	0	10	10	20											
Mich.	5	3	10	86	112	-	1	4	37	38											
Ohio	8	4	14	122	136	4	1	7	35	31											
Wis.	-	1	6	2	63	-	0	2	2	24											
W.N. CENTRAL	11	5	32	174	172	3	2	10	50	41											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	3	22	35	-	0	3	1	9											
Minn.	6	0	29	82	78	3	1	6	32	18											
Mo.	3	2	6	47	31	-	0	3	13	8											
Nebr.	2	0	2	10	17	-	0	2	3	4											
N. Dak.	-	0	2	9	6	-	0	1	1	2											
S. Dak.	-	0	2	4	5	-	0	0	-	-											
S. ATLANTIC	18	19	42	472	476	5	2	11	111	25											
Del.	1	0	2	3	5	-	0	0	-	-											
D.C.	-	0	3	7	5	-	0	1	-	-											
Fla.	5	5	16	112	114	2	0	5	30	-											
Ga.	-	4	11	94	123	-	0	5	31	-											
Md.	3	4	8	85	64	1	1	6	34	20											
N.C.	5	0	26	56	61	-	0	0	-	-											
S.C.	1	1	6	43	37	2	0	3	11	-											
Va.	3	2	10	63	58	-	0	1	3	-											
W. Va.	-	0	6	9	9	-	0	3	2	5											
E.S. CENTRAL	3	4	11	84	106	1	0	6	36	9											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	4	19	28	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	9											
Tenn.	2	3	7	65	78	1	0	6	34	-											
W.S. CENTRAL	8	6	61	137	180	8	4	39	112	76											
Ark.	-	0	2	12	16	-	0	2	7	13											
La.	-	0	2	4	2	-	0	4	24	2											
Okla.	1	2	5	41	53	5	1	12	27	16											
Tex.	7	3	56	80	109	3	1	24	54	45											
MOUNTAIN	7	11	42	261	337	5	4	12	96	104											
Ariz.	4	5	34	106	186	4	2	7	58	64											
Colo.	-	2	9	70	53	1	1	4	23	24											
Idaho	-	0	1	6	6	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	1	-	0	1	1	-											
N. Mex.	1	1	6	24	61	-	0	4	12	15											
Utah	2	1	7	50	28	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	3	3	9	48	37	1	0	4	14	3											
Alaska	2	0	2	12	N	1	0	2	12	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	36	37	-	0	2	2	3											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


