
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 1996 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	1	8	8	8	11	12	12	12	-	-	-										
NEW ENGLAND	-	2	-	-	-	-	-	1	-	-	-										
Maine	-	-	-	-	-	-	-	-	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	-	1	-	-	-										
Mass.	-	-	-	-	-	-	-	-	-	-	-										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	-	-	-	-	-	-	-	-	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	-	-	-	-	-	-	-	-	-	-										
N.J.	-	-	U	-	-	U	-	-	U	-	-										
Pa.	-	-	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	-	-	1	1	2	3	3	1	-	-	-										
Ohio	-	-	-	-	1	-	-	-	-	-	-										
Ind.	-	-	U	-	-	U	-	-	U	-	-										
Ill.	-	-	U	-	-	U	-	-	U	-	-										
Mich.	-	-	1	1	1	3	3	-	-	-	-										
Wis.	-	-	-	-	-	-	-	1	-	-	-										
W.N. CENTRAL	-	-	-	-	6	-	-	1	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	1	-	-	-	-	-	-										
Mo.	-	-	-	-	5	-	-	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	-	-	1	1	-	-	-	-	-	-	-										
Del.	-	-	U	-	-	U	-	-	U	-	-										
Md.	-	-	-	-	-	-	-	-	-	-	-										
D.C.	-	-	U	-	-	U	-	-	U	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	-	-	-	-	-	-	-										
S.C.	-	-	1	1	-	-	-	-	-	-	-										
Ga.	-	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	-	-	-	1	-	-	1	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	-	1	-	-	1	-	-	-										
Miss.	-	-	-	-	-	-	-	-	N	N	N										
W.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	-										
Ark.	-	-	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	1	6	6	6	1	4	4	3	-	-	-										
Mont.	-	-	U	-	-	U	-	-	U	-	-										
Idaho	-	-	U	-	-	U	-	-	U	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	4	-	-	-	-	-	3	-	-	-										
N. Mex.	-	2	N	N	N	1	1	-	-	-	-										
Ariz.	-	-	-	-	-	-	-	-	-	-	-										
Utah	-	-	-	-	-	-	-	-	-	-	-										
Nev.	1	-	6	6	1	3	3	-	-	-	-										
PACIFIC	-	-	-	-	1	5	5	5	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	-	-	N	N	N	5	5	-	-	-	-										
Calif.	-	-	-	-	1	-	-	5	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	U	-	-	U	-	-	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


