
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 24, 1999 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	700	669	8,494	12,463	3,577	5,318	2	32	-	16	48	44									
NEW ENGLAND	52	43	108	164	61	112	-	5	-	4	9	3									
Maine	5	2	4	13	1	2	-	-	-	-	-	-									
N.H.	12	7	8	8	8	10	-	-	-	1	1	-									
Vt.	4	2	4	13	1	4	-	-	-	-	-	1									
Mass.	18	30	31	58	28	42	-	4	-	2	6	2									
R.I.	1	2	10	10	23	35	-	-	-	-	-	-									
Conn.	12	-	51	62	-	19	-	1	-	1	2	-									
MID. ATLANTIC	102	100	549	956	407	714	-	-	-	2	2	11									
Upstate N.Y.	53	31	143	188	115	138	-	-	-	2	2	2									
N.Y. City	18	30	100	338	90	243	-	-	-	-	-	-									
N.J.	30	32	57	194	40	124	-	-	-	-	-	8									
Pa.	1	7	249	236	162	209	U	-	U	-	-	1									
E.N. CENTRAL	101	111	1,652	1,777	343	815	-	1	-	1	2	15									
Ohio	39	35	410	194	51	43	-	-	-	-	-	1									
Ind.	18	27	102	93	27	65	-	1	-	-	1	3									
Ill.	37	43	287	439	-	144	-	-	-	-	-	-									
Mich.	7	1	827	917	264	245	U	-	U	1	1	10									
Wis.	-	5	26	134	1	318	U	-	U	-	-	1									
W.N. CENTRAL	58	59	437	962	266	235	-	-	-	-	-	-									
Minn.	17	45	42	78	25	21	-	-	-	-	-	-									
Iowa	14	1	82	361	105	40	-	-	-	-	-	-									
Mo.	20	8	233	422	104	143	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	U	-	U	-	-	-									
S. Dak.	1	-	8	17	1	1	-	-	-	-	-	-									
Nebr.	3	-	38	16	11	10	-	-	-	-	-	-									
Kans.	3	5	33	65	20	16	-	-	-	-	-	-									
S. ATLANTIC	163	123	1,109	977	648	518	-	1	-	3	4	6									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	45	41	214	239	96	84	-	-	-	-	-	1									
D.C.	4	-	37	30	14	6	-	-	-	-	-	-									
Va.	12	13	90	137	51	56	-	1	-	2	3	2									
W. Va.	4	4	20	1	15	3	-	-	-	-	-	-									
N.C.	23	18	76	59	131	118	-	-	-	-	-	-									
S.C.	2	3	22	18	39	22	U	-	U	-	-	-									
Ga.	42	24	288	262	75	94	-	-	-	-	-	1									
Fla.	31	20	360	228	227	135	-	-	-	1	1	1									
E.S. CENTRAL	50	42	249	245	270	231	-	-	-	-	-	2									
Ky.	6	7	39	15	26	28	-	-	-	-	-	-									
Tenn.	28	23	130	140	141	161	-	-	-	-	-	1									
Ala.	14	10	38	48	51	42	-	-	-	-	-	1									
Miss.	2	2	42	42	52	-	U	-	U	-	-	-									
W.S. CENTRAL	38	35	1,509	2,200	361	1,179	2	3	-	3	6	-									
Ark.	2	-	30	55	30	56	-	-	-	-	-	-									
La.	7	16	59	46	72	57	U	-	U	-	-	-									
Okla.	26	17	295	329	81	48	-	-	-	-	-	-									
Tex.	3	2	1,125	1,770	178	1,018	2	3	-	3	6	-									
MOUNTAIN	65	81	808	1,880	368	490	-	2	-	-	2	-									
Mont.	1	-	12	63	16	3	-	-	-	-	-	-									
Idaho	1	-	27	157	16	19	U	-	U	-	-	-									
Wyo.	1	1	4	24	8	2	-	-	-	-	-	-									
Colo.	10	17	143	146	51	61	-	-	-	-	-	-									
N. Mex.	15	4	31	88	125	195	-	-	-	-	-	-									
Ariz.	30	39	484	1,146	98	114	-	1	-	-	1	-									
Utah	5	3	30	124	20	42	-	1	-	-	1	-									
Nev.	2	17	77	132	34	54	-	-	-	-	-	-									
PACIFIC	71	75	2,073	3,302	853	1,024	-	20	-	3	23	7									
Wash.	2	5	184	631	39	58	-	-	-	-	-	1									
Oreg.	28	31	149	253	52	106	-	8	-	-	8	-									
Calif.	33	31	1,728	2,372	743	845	-	11	-	3	14	6									
Alaska	5	1	3	14	12	7	-	-	-	-	-	-									
Hawaii	3	7	9	32	7	8	-	1	-	-	1	-									
Guam	-	-	2	-	2	2	U	1	U	-	1	-									
P.R.	1	2	100	32	88	149	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	41	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


