
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending January 16, 2010 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2010
Varicella (chickenpox) cummulative for 2009
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2010
West Nile virus disease † Neuroinvasive cummulative for 2009
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2010
West Nile virus disease † Non-neuroinvasive § cummulative for 2009

tab delimited data:
test
UNITED STATES	93	281	653	202	822	-	0	44	-	-	-	0	48	-	-						
NEW ENGLAND	1	6	19	5	19	-	0	0	-	-	-	0	0	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	12	-	-	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	2	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	1	3	10	5	13	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	7	-	5	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	18	28	55	27	84	-	0	2	-	-	-	0	1	-	-						
N.J.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
Pa.	18	28	55	27	84	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	44	115	232	100	355	-	0	4	-	-	-	0	3	-	-						
Ill.	-	31	73	-	64	-	0	3	-	-	-	0	0	-	-						
Ind.	-	6	30	-	20	-	0	1	-	-	-	0	1	-	-						
Mich.	17	40	84	38	117	-	0	1	-	-	-	0	0	-	-						
Ohio	27	35	88	61	127	-	0	0	-	-	-	0	2	-	-						
Wis.	-	8	57	1	27	-	0	1	-	-	-	0	0	-	-						
W.N. CENTRAL	5	14	62	9	43	-	0	5	-	-	-	0	11	-	-						
Iowa	N	0	0	N	N	-	0	0	-	-	-	0	1	-	-						
Kans.	-	3	19	-	5	-	0	1	-	-	-	0	2	-	-						
Minn.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
Mo.	5	8	51	9	30	-	0	2	-	-	-	0	1	-	-						
Nebr.	N	0	0	N	N	-	0	2	-	-	-	0	6	-	-						
N. Dak.	-	0	26	-	8	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	-	-	-	0	3	-	-	-	0	2	-	-						
S. ATLANTIC	21	25	109	37	62	-	0	3	-	-	-	0	1	-	-						
Del.	-	0	2	-	1	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	3	-	-	-	0	0	-	-	-	0	0	-	-						
Fla.	15	14	61	23	44	-	0	1	-	-	-	0	1	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Md.	N	0	0	N	N	-	0	0	-	-	-	0	1	-	-						
N.C.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S.C.	-	0	54	-	2	-	0	2	-	-	-	0	0	-	-						
Va.	-	0	9	-	6	-	0	1	-	-	-	0	0	-	-						
W. Va.	6	9	32	14	9	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	9	29	-	20	-	0	6	-	-	-	0	4	-	-						
Ala.	-	9	27	-	20	-	0	0	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	2	-	-	-	0	5	-	-	-	0	4	-	-						
Tenn.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
W.S. CENTRAL	-	71	260	-	109	-	0	17	-	-	-	0	6	-	-						
Ark.	-	0	23	-	14	-	0	1	-	-	-	0	0	-	-						
La.	-	1	7	-	3	-	0	2	-	-	-	0	4	-	-						
Okla.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
Tex.	-	69	244	-	92	-	0	14	-	-	-	0	4	-	-						
MOUNTAIN	4	19	62	24	124	-	0	12	-	-	-	0	17	-	-						
Ariz.	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Colo.	-	9	33	17	34	-	0	7	-	-	-	0	14	-	-						
Idaho	N	0	0	N	N	-	0	3	-	-	-	0	5	-	-						
Mont.	-	0	16	-	20	-	0	1	-	-	-	0	1	-	-						
Nev.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N. Mex.	-	0	20	-	32	-	0	2	-	-	-	0	1	-	-						
Utah	4	8	32	7	38	-	0	1	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	1	-	-	-	0	2	-	-						
PACIFIC	-	1	6	-	6	-	0	12	-	-	-	0	12	-	-						
Alaska	-	1	5	-	5	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	-	-	0	8	-	-	-	0	6	-	-						
Hawaii	-	0	4	-	1	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Wash.	N	0	0	N	N	-	0	6	-	-	-	0	3	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	6	26	-	6	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


