
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 6, 1999 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	178	329	14	29	28	31	185	346	-	3	14										
NEW ENGLAND	14	24	-	1	-	2	32	75	-	-	-										
Maine	2	1	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	-	1	7	-	-	-										
Vt.	1	1	-	-	-	2	7	17	-	-	-										
Mass.	11	8	-	-	-	-	24	46	-	-	-										
R.I.	-	3	-	-	-	-	-	-	-	-	-										
Conn.	-	10	-	-	-	-	-	1	-	-	-										
MID. ATLANTIC	18	32	-	2	1	3	7	22	-	-	11										
Upstate N.Y.	3	5	-	-	1	3	7	19	-	-	10										
N.Y. City	4	6	-	-	-	-	-	-	-	-	-										
N.J.	7	13	-	-	-	-	-	3	-	-	1										
Pa.	4	8	-	2	-	-	-	-	-	-	-										
E.N. CENTRAL	27	56	1	1	4	4	40	48	-	-	-										
Ohio	16	25	1	1	3	3	39	18	-	-	-										
Ind.	6	6	-	-	-	1	1	1	-	-	-										
Ill.	5	17	-	-	-	-	-	-	-	-	-										
Mich.	-	3	U	-	1	U	-	8	U	-	-										
Wis.	-	5	U	-	-	U	-	21	U	-	-										
W.N. CENTRAL	11	22	-	1	-	1	3	15	-	-	-										
Minn.	-	-	-	-	-	-	-	6	-	-	-										
Iowa	3	2	-	1	-	-	1	4	-	-	-										
Mo.	3	10	-	-	-	1	1	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	3	3	-	-	-	-	1	-	-	-	-										
Nebr.	-	1	-	-	-	-	-	2	-	-	-										
Kans.	2	6	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	36	46	1	4	7	4	22	28	-	3	1										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	6	7	-	-	-	-	9	5	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	2	6	-	-	-	-	1	-	-	-	-										
W. Va.	-	2	-	-	-	-	-	-	-	-	-										
N.C.	3	4	-	1	4	3	10	23	-	3	1										
S.C.	5	5	1	2	2	1	2	-	-	-	-										
Ga.	2	16	-	-	-	-	-	-	-	-	-										
Fla.	18	6	-	1	1	-	-	-	-	-	-										
E.S. CENTRAL	14	28	-	-	-	1	7	10	-	-	-										
Ky.	-	7	U	-	-	U	-	-	U	-	-										
Tenn.	7	9	-	-	-	1	4	2	-	-	-										
Ala.	7	10	-	-	-	-	3	8	-	-	-										
Miss.	-	2	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	5	20	6	8	5	1	9	8	-	-	1										
Ark.	-	4	-	-	-	-	3	2	-	-	-										
La.	4	4	-	-	-	-	-	-	-	-	-										
Okla.	-	11	-	-	-	-	-	-	-	-	-										
Tex.	1	1	6	8	5	1	6	6	-	-	1										
MOUNTAIN	16	26	2	2	2	13	59	87	-	-	-										
Mont.	-	1	-	-	-	-	-	1	-	-	-										
Idaho	2	1	-	-	-	5	36	36	-	-	-										
Wyo.	-	1	U	-	-	U	-	-	U	-	-										
Colo.	3	10	1	1	-	1	2	13	-	-	-										
N. Mex.	3	3	N	N	N	1	6	34	-	-	-										
Ariz.	5	8	-	-	1	1	2	-	-	-	-										
Utah	3	1	1	1	-	5	13	2	-	-	-										
Nev.	-	1	U	-	1	U	-	1	U	-	-										
PACIFIC	37	75	4	10	9	2	6	53	-	-	1										
Wash.	3	8	-	-	-	-	2	5	-	-	-										
Oreg.	3	22	N	N	N	1	3	8	-	-	-										
Calif.	27	44	3	8	3	-	-	40	-	-	1										
Alaska	3	-	1	1	2	1	1	-	-	-	-										
Hawaii	1	1	-	1	4	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


