
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 23, 2012 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	163	266	426	5,193	5,014	1	3	20	63	65	24	53	350	919	402						
NEW ENGLAND	-	3	22	37	102	-	0	1	-	-	-	0	1	4	4						
Conn.	-	0	4	13	20	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	8	2	14	-	0	0	-	-	-	0	1	2	-						
Mass.	-	2	20	21	61	-	0	0	-	-	-	0	1	-	2						
N.H.	-	0	1	1	1	-	0	1	-	-	-	0	1	-	1						
R.I.	-	0	2	-	4	-	0	0	-	-	-	0	1	2	1						
Vt.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	10	43	89	1,130	293	-	0	2	10	1	-	3	11	26	44						
N.J.	-	18	48	546	53	-	0	1	-	1	-	1	8	-	40						
N.Y. (Upstate)	9	9	41	227	83	-	0	1	3	-	-	0	3	4	2						
N.Y. City	-	13	28	297	108	-	0	0	-	-	-	0	2	8	-						
Pa.	1	2	11	60	49	-	0	2	7	-	-	0	3	14	2						
E.N. CENTRAL	12	18	42	450	351	1	0	2	3	5	1	2	11	41	45						
Ill.	-	3	16	34	85	-	0	0	-	-	-	1	3	13	23						
Ind.	-	1	6	21	37	1	0	1	3	2	1	1	5	19	16						
Mich.	-	4	11	82	76	-	0	0	-	-	-	0	1	1	-						
Ohio	12	8	27	313	116	-	0	2	-	1	-	0	2	8	5						
Wis.	-	0	4	-	37	-	0	0	-	2	-	0	2	-	1						
W.N. CENTRAL	1	6	15	100	201	-	0	4	8	2	-	4	25	122	77						
Iowa	-	0	3	11	6	-	0	0	-	-	-	0	1	4	3						
Kans.	-	2	8	28	31	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	6	-	33	-	0	0	-	-	-	0	3	-	1						
Mo.	-	1	7	36	123	-	0	2	8	2	-	4	20	116	72						
Nebr.	1	0	7	24	4	-	0	3	-	-	-	0	1	2	1						
N. Dak.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
S. Dak.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	52	75	135	1,428	1,710	-	1	12	27	42	16	10	71	261	88						
Del.	-	0	2	1	1	-	0	0	-	-	-	0	4	12	9						
D.C.	1	0	5	14	7	-	0	0	-	1	-	0	1	1	-						
Fla.	44	48	77	948	1,215	-	0	1	1	2	-	0	5	14	2						
Ga.	-	14	24	247	250	-	1	9	20	34	-	0	0	-	-						
Md.	2	2	15	112	41	-	0	1	-	2	-	0	3	13	4						
N.C.	3	2	9	58	127	-	0	4	-	-	-	0	49	79	25						
S.C.	1	1	54	15	25	-	0	2	3	3	-	0	2	4	10						
Va.	1	1	7	32	40	-	0	1	3	-	16	5	21	138	36						
W. Va.	-	0	1	1	4	-	0	0	-	-	-	0	1	-	2						
E.S. CENTRAL	7	21	52	532	372	-	0	2	1	2	7	7	35	273	106						
Ala.	5	6	22	151	96	-	0	1	1	-	2	1	8	44	21						
Ky.	-	5	21	180	132	-	0	1	-	-	-	0	3	10	-						
Miss.	-	5	24	115	63	-	0	0	-	1	-	0	2	2	6						
Tenn.	2	4	11	86	81	-	0	2	-	1	5	5	30	217	79						
W.S. CENTRAL	38	60	189	964	1,191	-	0	6	2	-	-	10	292	162	12						
Ark.	1	2	5	22	42	-	0	3	1	-	-	8	63	130	2						
La.	-	7	25	68	184	-	0	0	-	-	-	0	2	2	1						
Okla.	-	5	55	129	41	-	0	5	-	-	-	0	260	3	4						
Tex.	37	42	122	745	924	-	0	1	1	-	-	1	13	27	5						
MOUNTAIN	4	11	41	164	351	-	0	3	7	13	-	1	6	25	25						
Ariz.	4	6	28	115	110	-	0	3	7	12	-	0	5	16	20						
Colo.	-	1	8	19	36	-	0	0	-	-	-	0	1	2	1						
Idaho	-	0	3	2	8	-	0	0	-	-	-	0	2	3	-						
Mont.	-	0	5	5	100	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	4	2	10	-	0	0	-	-	-	0	1	-	-						
N. Mex.	-	1	7	14	59	-	0	0	-	-	-	0	1	1	-						
Utah	-	0	3	7	27	-	0	1	-	1	-	0	1	2	2						
Wyo.	-	0	1	-	1	-	0	0	-	-	-	0	2	1	2						
PACIFIC	39	18	45	388	443	-	0	2	5	-	-	0	3	5	1						
Alaska	-	0	2	6	3	N	0	0	N	N	N	0	0	N	N						
Calif.	38	13	41	301	344	-	0	2	5	-	-	0	2	4	1						
Hawaii	1	0	3	10	30	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	6	31	25	-	0	0	-	-	-	0	1	1	-						
Wash.	-	1	10	40	41	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	0	-	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	3	-	6	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	1	-	1	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

