
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2001 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2001
Shigellosis NETSS cummulative for 2000
Shigellosis PHLIS cummulative for 2001
Shigellosis PHLIS cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Primary and Secondary) cummulative for 2000
Tuberculosis cummulative for 2001
Tuberculosis cummulative for 2000

tab delimited data:
test
UNITED STATES	325	559	98	345	164	272	133	304													
NEW ENGLAND	4	18	3	13	3	5	2	3													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	1	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	4	15	-	9	2	3	2	1													
R.I.	-	-	-	3	-	1	-	-													
Conn.	-	2	3	1	1	1	-	2													
MID. ATLANTIC	48	45	2	43	8	9	8	27													
Upstate N.Y.	40	2	-	7	-	-	-	-													
N.Y. City	8	18	2	15	5	3	-	10													
N.J.	-	23	-	10	1	4	5	11													
Pa.	-	2	-	11	2	2	3	6													
E.N. CENTRAL	50	164	9	35	12	56	11	9													
Ohio	21	10	-	-	2	6	1	1													
Ind.	4	5	-	2	7	20	4	1													
Ill.	5	75	-	-	3	24	6	7													
Mich.	20	61	8	31	-	-	-	-													
Wis.	-	13	1	2	-	6	-	-													
W.N. CENTRAL	55	27	48	20	-	5	4	4													
Minn.	6	4	29	7	-	1	4	1													
Iowa	6	6	-	5	-	-	-	-													
Mo.	28	14	15	4	-	4	-	1													
N. Dak.	-	-	1	-	-	-	-	-													
S. Dak.	1	1	-	-	-	-	-	-													
Nebr.	5	1	-	2	-	-	-	1													
Kans.	9	1	3	2	-	-	-	1													
S. ATLANTIC	39	18	5	27	55	86	10	20													
Del.	-	-	-	-	-	1	-	-													
Md.	3	3	-	2	6	26	-	3													
D.C.	3	-	U	U	2	1	3	-													
Va.	2	1	-	10	-	12	-	-													
W. Va.	-	-	4	-	-	-	1	1													
N.C.	16	4	-	2	17	19	-	-													
S.C.	6	1	1	1	7	8	-	16													
Ga.	-	-	-	7	7	1	6	-													
Fla.	9	9	-	5	16	18	-	-													
E.S. CENTRAL	35	31	8	24	63	36	10	11													
Ky.	14	5	6	4	2	1	-	-													
Tenn.	-	6	1	17	9	27	-	4													
Ala.	12	2	-	1	8	8	10	7													
Miss.	9	18	1	2	44	-	-	-													
W.S. CENTRAL	8	100	9	121	14	42	8	91													
Ark.	7	1	-	-	-	1	8	-													
La.	1	19	9	10	8	7	-	-													
Okla.	-	-	-	2	3	10	-	-													
Tex.	-	80	-	109	3	24	-	91													
MOUNTAIN	23	52	14	34	2	7	2	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	2	-	1	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	11	7	10	-	-	1	-													
N. Mex.	12	8	-	8	-	-	-	3													
Ariz.	10	20	6	13	2	7	1	-													
Utah	-	2	1	2	-	-	-	-													
Nev.	-	9	-	-	-	-	-	9													
PACIFIC	63	104	-	28	7	26	78	127													
Wash.	-	2	-	15	3	2	8	6													
Oreg.	8	7	-	11	-	-	-	-													
Calif.	55	91	-	-	4	24	68	117													
Alaska	-	1	-	-	-	-	2	-													
Hawaii	-	3	-	2	-	-	-	4													
Guam	-	-	U	U	-	-	-	-													
P.R.	-	1	U	U	16	15	-	-													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


