
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 3, 2003 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	537	746	4	10	80	130	14	9	1,798	3,479											
NEW ENGLAND	43	52	-	-	2	4	3	2	66	138											
Maine	2	1	-	-	-	-	1	-	2	4											
N.H.	6	4	-	-	-	-	-	-	4	7											
Vt.	5	3	-	-	-	-	-	-	2	-											
Mass.	18	26	-	-	2	2	1	2	39	66											
R.I.	2	8	-	-	-	-	1	-	9	18											
Conn.	10	10	-	-	-	2	-	-	10	43											
MID. ATLANTIC	86	135	-	1	12	22	3	-	246	455											
Upstate N.Y.	34	52	-	1	6	7	-	-	35	66											
N.Y. City	14	32	-	-	4	7	-	-	108	160											
N.J.	16	32	-	-	2	5	-	-	36	72											
Pa.	22	19	-	-	-	3	3	-	67	157											
E.N. CENTRAL	59	141	1	1	10	26	-	-	194	424											
Ohio	25	41	-	-	5	5	-	-	36	104											
Ind.	13	16	-	-	1	5	-	-	12	21											
Ill.	14	54	-	-	3	11	-	-	63	146											
Mich.	7	6	1	1	1	-	-	-	70	89											
Wis.	-	24	-	-	-	5	-	-	13	64											
W.N. CENTRAL	42	20	-	-	5	2	4	2	61	129											
Minn.	18	14	-	-	5	2	-	1	14	19											
Iowa	-	1	-	-	-	-	-	-	15	26											
Mo.	15	3	-	-	-	-	4	1	16	28											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	3	6											
Kans.	8	1	-	-	-	-	-	-	13	46											
S. ATLANTIC	128	193	-	3	12	28	-	1	479	992											
Del.	-	-	-	-	-	-	-	-	3	8											
Md.	30	41	-	-	4	1	-	-	54	108											
D.C.	-	-	-	-	-	-	-	-	14	33											
Va.	12	9	-	-	2	2	-	-	30	29											
W. Va.	3	2	-	-	-	-	-	-	5	9											
N.C.	10	14	-	-	-	2	-	-	26	105											
S.C.	3	3	-	-	-	1	-	-	18	25											
Ga.	25	33	-	-	3	7	-	-	181	203											
Fla.	45	91	-	3	3	15	-	1	148	472											
E.S. CENTRAL	43	25	1	1	6	6	-	-	49	111											
Ky.	2	3	-	-	-	-	-	-	11	26											
Tenn.	23	12	-	-	4	3	-	-	25	44											
Ala.	16	5	1	1	1	2	-	-	9	13											
Miss.	2	5	-	-	1	1	-	-	4	28											
W.S. CENTRAL	27	27	-	2	4	5	-	-	136	231											
Ark.	4	1	-	-	1	-	-	-	2	17											
La.	6	2	-	-	1	-	-	-	13	18											
Okla.	17	22	-	-	2	5	-	-	6	13											
Tex.	-	2	-	2	-	-	-	-	115	183											
MOUNTAIN	84	81	2	2	22	17	3	2	128	217											
Mont.	-	-	-	-	-	-	-	-	1	7											
Idaho	-	1	-	-	-	-	-	-	-	18											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	15	16	-	-	4	2	-	-	15	32											
N. Mex.	11	15	-	-	3	4	1	-	7	6											
Ariz.	47	35	2	1	11	8	-	1	78	113											
Utah	7	10	-	1	4	2	-	-	11	14											
Nev.	4	3	-	-	-	1	2	1	15	25											
PACIFIC	25	72	-	-	7	20	1	2	439	782											
Wash.	3	1	-	-	2	1	1	-	21	54											
Oreg.	18	30	-	-	3	4	-	-	27	38											
Calif.	2	23	-	-	2	12	-	2	387	669											
Alaska	-	1	-	-	-	1	-	-	4	7											
Hawaii	2	17	-	-	-	2	-	-	-	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	50											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


