
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2007 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	9,125	19,921	22,110	119,065	143,627	116	151	393	1,176	1,314	25	67	304	309	394						
NEW ENGLAND	712	608	1,244	4,576	3,875	-	0	0	-	-	-	3	22	14	55						
Conn.	299	136	713	834	537	N	0	0	N	N	-	0	3	3	36						
Maine	39	45	72	344	290	-	0	0	-	-	-	1	6	5	4						
Mass.	275	298	604	2,465	2,067	-	0	0	-	-	-	0	14	-	11						
N.H.	11	40	69	292	262	-	0	0	-	-	-	1	5	4	2						
R.I.	67	63	108	473	514	-	0	0	-	-	-	0	5	-	-						
Vt.	21	21	45	168	205	N	0	0	N	N	-	0	5	2	2						
MID. ATLANTIC	1,784	2,397	3,865	15,894	16,657	-	0	0	-	-	3	10	32	37	65						
N.J.	113	378	555	1,706	2,804	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	375	502	2,563	2,664	2,163	N	0	0	N	N	1	3	13	8	9						
N.Y. City	802	748	1,566	5,772	5,936	N	0	0	N	N	-	3	12	8	19						
Pa.	494	778	1,005	5,752	5,754	N	0	0	N	N	2	4	17	21	36						
E.N. CENTRAL	1,240	3,162	4,106	16,957	25,542	-	1	3	4	4	8	16	110	62	80						
Ill.	692	1,024	1,355	5,759	8,160	-	0	0	-	-	-	2	22	-	10						
Ind.	-	378	586	2,841	3,301	-	0	0	-	-	1	1	18	3	3						
Mich.	406	668	1,225	4,803	3,957	-	1	3	3	2	-	2	9	11	13						
Ohio	12	633	1,424	1,508	6,699	-	0	2	1	2	7	5	33	35	32						
Wis.	130	365	527	2,046	3,425	N	0	0	N	N	-	5	53	13	22						
W.N. CENTRAL	622	1,187	1,445	7,951	9,598	-	0	1	2	-	2	12	77	45	40						
Iowa	89	163	223	1,255	1,388	N	0	0	N	N	-	2	28	9	3						
Kans.	170	145	275	1,044	1,372	N	0	0	N	N	1	1	8	6	7						
Minn.	-	246	321	1,066	1,994	-	0	0	-	-	-	3	21	8	15						
Mo.	226	447	628	3,313	3,422	-	0	1	2	-	-	2	21	7	9						
Nebr.	64	97	180	673	722	N	0	0	N	N	-	1	16	3	3						
N. Dak.	24	31	64	207	313	N	0	0	N	N	1	0	1	1	-						
