
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 1998 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	24	42	2	2	1	41	41	100	-	-	-										
NEW ENGLAND	4	4	-	-	-	1	1	24	-	-	-										
Maine	-	-	U	-	-	U	-	3	U	-	-										
N.H.	-	-	-	-	-	-	-	2	-	-	-										
Vt.	-	-	-	-	-	-	-	9	-	-	-										
Mass.	2	4	-	-	-	1	1	10	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	2	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	-	4	-	-	1	-	-	-	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	-	-	-	-	-	-	-	-	-	-										
N.J.	-	1	U	-	1	U	-	-	U	-	-										
Pa.	-	3	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	3	8	-	-	-	5	5	5	-	-	-										
Ohio	3	3	-	-	-	5	5	2	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	3	-	-	-	-	-	-	-	-	-										
Mich.	-	1	-	-	-	-	-	1	-	-	-										
Wis.	-	1	-	-	-	-	-	2	-	-	-										
W.N. CENTRAL	-	6	-	-	-	-	-	-	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	1	-	-	-	-	-	-	-	-	-										
Mo.	-	5	U	-	-	U	-	-	U	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	U	-	-	U	-	-	U	-	-										
S. ATLANTIC	9	5	1	1	-	2	2	-	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	2	-	1	1	-	2	2	-	-	-	-										
D.C.	-	1	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	2	-	-	-	-	-	-	-	-	-	-										
S.C.	2	4	-	-	-	-	-	-	-	-	-										
Ga.	3	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	1	3	-	-	-	-	-	-	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	1	-	-	-	-	-	-	-	-	-	-										
Ala.	-	3	-	-	-	-	-	-	-	-	-										
Miss.	-	-	U	-	-	U	-	-	U	-	-										
W.S. CENTRAL	1	-	-	-	-	-	-	-	-	-	-										
Ark.	-	-	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	1	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	U	-	-	U	-	-	U	-	-										
MOUNTAIN	4	-	1	1	-	26	26	64	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	17	17	61	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	3	-	-	-	-	1	1	-	-	-	-										
N. Mex.	-	-	N	N	N	8	8	-	-	-	-										
Ariz.	1	-	1	1	-	-	-	3	-	-	-										
Utah	-	-	-	-	-	-	-	-	-	-	-										
Nev.	-	-	U	-	-	U	-	-	U	-	-										
PACIFIC	2	12	-	-	-	7	7	7	-	-	-										
Wash.	-	-	U	-	-	U	-	-	U	-	-										
Oreg.	-	5	N	N	N	-	-	-	-	-	-										
Calif.	2	7	-	-	-	7	7	7	-	-	-										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	U	-	-	U	-	-	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


