
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 28, 2006 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	22	289	1,311	121	539	15	22	46	49	92											
NEW ENGLAND	1	43	209	2	47	1	1	12	3	2											
Conn.	1	9	154	1	-	-	0	10	-	-											
Maine	-	2	25	-	3	-	0	1	-	-											
Mass.	-	12	141	-	39	-	1	4	2	2											
N.H.	-	4	17	1	4	-	0	1	-	-											
R.I.	-	0	12	-	-	-	0	1	-	-											
Vt.	-	0	5	-	1	1	0	2	1	-											
MID. ATLANTIC	15	179	913	64	367	2	6	15	7	27											
N.J.	-	38	306	-	118	-	1	7	-	8											
N.Y. (Upstate)	7	48	686	16	68	1	1	5	1	2											
N.Y. City	-	0	0	-	-	-	3	8	2	14											
Pa.	8	57	452	48	181	1	1	2	4	3											
E.N. CENTRAL	-	12	155	1	23	1	2	6	4	9											
Ill.	-	0	6	-	-	-	0	2	1	4											
Ind.	-	0	4	-	-	-	0	1	-	-											
Mich.	-	1	7	1	1	-	0	2	-	3											
Ohio	-	1	5	-	5	1	0	3	2	1											
Wis.	-	10	146	-	17	-	0	2	1	1											
W.N. CENTRAL	-	13	99	1	2	-	1	5	4	4											
Iowa	-	1	8	-	2	-	0	1	-	2											
Kans.	-	0	3	1	-	-	0	1	-	-											
Minn.	-	9	96	-	-	-	0	3	2	-											
Mo.	-	0	2	-	-	-	0	3	1	2											
Nebr.	-	0	1	-	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	3	31	125	43	92	7	6	15	16	16											
Del.	1	9	37	13	38	-	0	1	-	1											
D.C.	1	0	2	1	-	-	0	2	-	-											
Fla.	-	1	8	1	3	-	1	6	3	3											
Ga.	-	0	1	-	-	4	0	5	5	6											
Md.	-	16	86	23	45	3	1	9	5	4											
N.C.	1	0	5	5	4	-	0	8	3	1											
S.C.	-	0	3	-	1	-	0	2	-	-											
Va.	-	3	20	-	1	-	0	4	-	1											
W. Va.	-	0	6	-	-	-	0	2	-	-											
E.S. CENTRAL	-	1	4	-	2	-	0	2	-	2											
Ala.	-	0	1	-	-	-	0	1	-	1											
Ky.	-	0	1	-	-	-	0	2	-	-											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	2	-	0	2	-	1											
W.S. CENTRAL	-	1	8	-	1	1	1	9	2	5											
Ark.	-	0	2	-	-	-	0	2	-	1											
La.	-	0	2	-	1	-	0	1	-	-											
Okla.	-	0	0	-	-	1	0	6	1	-											
Tex.	-	0	7	-	-	-	1	9	1	4											
MOUNTAIN	-	0	4	-	-	1	0	6	1	7											
Ariz.	-	0	4	-	-	-	0	4	-	2											
Colo.	-	0	1	-	-	-	0	3	-	2											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	0	-	-											
Nev.	-	0	2	-	-	-	0	1	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	-	1	0	2	1	1											
Wyo.	-	0	1	-	-	-	0	1	-	1											
PACIFIC	3	2	10	10	5	2	4	12	12	20											
Alaska	-	0	1	-	-	-	0	1	1	1											
Calif.	3	2	10	10	4	2	3	9	11	18											
Hawaii	N	0	0	N	N	-	0	4	-	-											
Oreg.	-	0	2	-	1	-	0	2	-	1											
Wash.	-	0	3	-	-	-	0	4	-	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


