
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 11, 2010 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal diseases, invasive †, All groups current week
Meningococcal diseases, invasive †, All groups previous 52 weeks median 
Meningococcal diseases, invasive †, All groups previous 52 weeks maximum 
Meningococcal diseases, invasive †, All groups cummulative for 2010
Meningococcal diseases, invasive †, All groups cummulative for 2009
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2010
Pertussis cummulative for 2009
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2010
Rabies, animal cummulative for 2009

tab delimited data:
test
UNITED STATES	7	15	43	710	898	509	403	1,756	19,529	14,509	28	63	143	3,132	4,872						
NEW ENGLAND	-	0	3	18	34	2	8	22	467	604	-	4	15	212	336						
Conn.	-	0	1	3	6	-	1	8	107	54	-	0	14	59	146						
Maine	-	0	1	4	4	2	1	5	47	80	-	1	4	59	51						
Mass.	-	0	2	6	16	-	5	13	252	342	-	0	0	-	-						
N.H.	-	0	0	-	3	-	0	2	19	74	-	0	5	13	32						
R.I.	-	0	0	-	4	-	0	9	26	43	-	0	4	31	43						
Vt.	-	0	1	5	1	-	0	4	16	11	-	1	3	50	64						
MID. ATLANTIC	1	1	4	70	102	133	31	100	1,740	1,142	9	19	41	993	541						
N.J.	-	0	2	17	17	-	3	9	132	231	-	0	0	-	-						
N.Y. (Upstate)	1	0	3	12	23	80	11	69	654	223	9	9	19	483	419						
N.Y. City	-	0	2	16	17	-	0	9	78	92	-	2	12	120	22						
Pa.	-	0	2	25	45	53	12	63	876	596	-	8	24	390	100						
E.N. CENTRAL	-	2	9	121	162	72	99	174	4,830	3,011	2	2	27	226	218						
Ill.	-	0	3	19	44	-	16	34	828	615	-	1	11	114	82						
Ind.	-	0	3	26	34	-	9	26	526	366	-	0	0	-	25						
Mich.	-	0	3	22	20	5	27	55	1,336	828	2	1	5	67	65						
Ohio	-	0	2	31	42	67	29	80	1,693	1,035	-	0	12	45	46						
Wis.	-	0	3	23	22	-	8	21	447	167	-	0	0	-	-						
W.N. CENTRAL	1	1	5	51	82	22	35	627	2,275	2,076	-	4	16	243	372						
Iowa	-	0	3	10	13	-	11	27	584	224	-	0	3	26	33						
Kans.	-	0	2	7	13	-	3	9	160	235	-	1	4	59	73						
Minn.	-	0	2	2	13	-	0	601	698	421	-	0	9	26	60						
Mo.	1	0	4	25	27	20	8	44	546	985	-	1	6	66	65						
Nebr.	-	0	2	5	11	2	4	13	209	134	-	1	4	51	77						
N. Dak.	-	0	1	2	1	-	0	30	50	29	-	0	5	15	11						
S. Dak.	-	0	1	-	4	-	0	5	28	48	-	0	0	-	53						
S. ATLANTIC	-	2	7	126	159	42	29	78	1,546	1,547	17	21	73	1,041	2,031						
Del.	-	0	1	2	2	-	0	4	14	13	-	0	0	-	-						
D.C.	-	0	0	-	-	-	0	1	8	7	-	0	0	-	-						
Fla.	-	1	5	57	51	5	5	28	304	490	-	0	60	72	161						
Ga.	-	0	2	13	31	4	4	18	228	219	-	0	6	-	390						
Md.	-	0	1	8	10	-	3	8	124	141	-	6	14	344	372						
N.C.	-	0	2	15	31	-	0	32	129	196	-	0	5	-	456						
S.C.	-	0	1	10	11	3	5	19	334	248	-	0	0	-	-						
Va.	-	0	2	19	17	22	5	18	280	202	16	10	25	548	538						
W. Va.	-	0	2	2	6	8	1	21	125	31	1	1	7	77	114						
E.S. CENTRAL	-	1	3	39	34	5	15	34	737	770	-	3	7	141	136						
Ala.	-	0	1	7	11	-	4	8	188	292	-	1	4	49	-						
Ky.	-	0	2	17	6	-	5	14	263	219	-	0	4	21	45						
Miss.	-	0	1	5	3	-	1	8	71	74	-	0	1	1	4						
Tenn.	-	0	2	10	14	5	4	11	215	185	-	1	4	70	87						
W.S. CENTRAL	1	1	9	82	87	82	57	753	2,790	3,130	-	0	30	69	889						
Ark.	-	0	1	6	9	7	3	29	183	334	-	0	7	28	41						
La.	-	0	4	14	18	-	1	3	38	145	-	0	0	-	-						
Okla.	1	0	7	16	14	2	0	41	91	75	-	0	30	41	33						
Tex.	-	1	7	46	46	73	48	681	2,478	2,576	-	0	7	-	815						
MOUNTAIN	2	1	6	53	60	109	27	97	1,621	965	-	1	8	80	104						
Ariz.	-	0	2	13	13	1	7	16	387	256	-	0	5	-	-						
Colo.	1	0	4	21	21	108	4	86	545	221	-	0	0	-	-						
Idaho	-	0	1	5	7	-	3	15	183	95	-	0	2	11	8						
Mont.	-	0	1	1	5	-	1	16	98	58	-	0	3	17	25						
Nev.	-	0	1	8	4	-	0	7	32	24	-	0	2	8	6						
N. Mex.	-	0	1	3	3	-	2	11	129	76	-	0	2	13	26						
Utah	-	0	1	1	2	-	4	13	237	213	-	0	2	10	13						
Wyo.	1	0	0	1	5	-	0	2	10	22	-	0	4	21	26						
PACIFIC	2	3	16	150	178	42	45	210	3,523	1,264	-	2	12	127	245						
Alaska	-	0	1	1	6	-	0	6	38	56	-	0	2	12	12						
Calif.	1	2	13	100	110	6	31	182	2,694	660	-	2	12	102	222						
Hawaii	-	0	1	1	5	-	0	6	42	45	-	0	0	-	-						
Oreg.	-	1	2	31	41	2	6	16	311	246	-	0	2	13	11						
Wash.	1	0	7	17	16	34	5	38	438	257	-	0	0	-	-						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	2	-	0	0	-	-						
P.R.	-	0	0	-	1	-	0	1	3	1	-	1	3	40	39						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


