
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 23, 2013 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	242	262	652	2,788	2,993	12	21	40	132	220	54	291	368	1,479	2,135						
NEW ENGLAND	2	11	28	111	130	-	1	4	2	8	1	8	18	48	75						
Conn.	-	5	21	54	61	-	0	2	-	3	-	0	4	2	16						
Maine	1	2	8	26	23	-	0	1	1	1	-	0	5	-	-						
Mass.	-	0	3	1	6	-	0	2	1	3	1	6	13	36	43						
N.H.	1	1	5	13	16	-	0	1	-	1	-	1	4	3	5						
R.I.	-	0	6	-	12	-	0	1	-	-	-	0	6	5	11						
Vt.	-	1	6	17	12	-	0	0	-	-	-	0	2	2	-						
MID. ATLANTIC	42	37	64	396	435	2	2	5	19	22	17	35	51	204	263						
N.J.	-	5	20	2	141	-	0	3	-	8	-	4	8	2	30						
N.Y. (Upstate)	34	18	40	224	169	2	1	3	11	8	7	4	16	41	15						
N.Y. City	8	14	35	170	125	-	0	3	8	6	-	18	30	80	139						
Pa.	N	-	-	N	N	N	0	0	N	N	10	9	18	81	79						
E.N. CENTRAL	34	57	127	622	610	1	5	12	15	37	1	31	52	83	228						
Ill.	N	0	0	N	N	-	1	3	1	8	-	10	18	9	97						
Ind.	-	13	40	81	151	-	1	2	-	4	1	4	10	18	30						
Mich.	3	13	30	129	133	-	0	3	5	7	-	4	14	15	42						
Ohio	26	21	63	304	233	1	1	6	7	12	-	8	15	29	50						
Wis.	5	9	29	108	93	-	0	2	2	6	-	2	5	12	9						
W.N. CENTRAL	5	12	24	57	147	-	1	5	8	22	-	7	15	34	50						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	5	5						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	2	3						
Minn.	-	9	22	-	93	-	0	3	-	6	-	2	5	-	12						
Mo.	N	0	0	N	N	-	0	3	4	9	-	3	7	21	28						
Nebr.	5	2	8	32	33	-	0	2	3	1	-	0	2	4	1						
N. Dak.	-	0	4	-	2	-	0	1	-	-	-	0	1	-	1						
S. Dak.	-	2	6	25	19	-	0	1	1	6	-	0	2	2	-						
S. ATLANTIC	93	58	121	733	679	4	4	12	43	47	17	65	104	357	531						
Del.	1	0	3	5	9	-	0	1	-	-	-	0	6	3	7						
