
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2001 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	65	143	-	3	8	28	76	250	-	-	-										
NEW ENGLAND	6	7	-	-	-	2	29	80	-	-	-										
Maine	-	1	-	-	-	-	-	-	-	-	-										
N.H.	1	-	-	-	-	-	-	8	-	-	-										
Vt.	-	1	-	-	-	2	11	21	-	-	-										
Mass.	4	4	-	-	-	-	18	51	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	1	1	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	5	11	-	-	1	1	2	11	-	-	-										
Upstate N.Y.	3	1	-	-	-	1	2	2	-	-	-										
N.Y. City	2	5	-	-	1	-	-	9	-	-	-										
N.J.	-	1	U	-	-	U	-	-	U	-	-										
Pa.	-	4	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	7	31	-	-	2	16	20	63	-	-	-										
Ohio	5	4	-	-	1	16	19	54	-	-	-										
Ind.	-	3	-	-	-	-	-	-	-	-	-										
Ill.	-	10	-	-	-	-	-	2	-	-	-										
Mich.	2	8	-	-	1	-	1	4	-	-	-										
Wis.	-	6	-	-	-	-	-	3	-	-	-										
W.N. CENTRAL	4	12	-	-	1	2	10	4	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	2	2	-	-	1	1	2	2	-	-	-										
Mo.	2	9	-	-	-	-	5	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	1	-	-	-	1	3	1	-	-	-										
S. ATLANTIC	17	9	-	-	2	4	7	8	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	4	2	-	-	1	1	4	3	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	1	-	-	-	-	-	-	1	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	6	4	-	-	-	1	1	4	-	-	-										
S.C.	2	2	-	-	1	2	2	-	-	-	-										
Ga.	1	-	-	-	-	-	-	-	-	-	-										
Fla.	3	1	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	3	3	-	-	-	1	2	17	-	-	-										
Ky.	-	1	-	-	-	-	-	13	-	-	-										
Tenn.	-	-	-	-	-	-	1	1	-	-	-										
Ala.	3	1	-	-	-	1	1	2	-	-	-										
Miss.	-	1	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	4	18	-	-	1	-	-	1	-	-	-										
Ark.	-	1	-	-	-	-	-	1	-	-	-										
La.	2	10	-	-	-	-	-	-	-	-	-										
Okla.	2	-	-	-	-	-	-	-	-	-	-										
Tex.	-	7	-	-	1	-	-	-	-	-	-										
MOUNTAIN	6	4	-	-	-	2	5	42	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	3	1	-	-	-	1	4	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	-	-	30	-	-	-										
N. Mex.	2	1	-	-	N	-	-	9	-	-	-										
Ariz.	-	-	-	-	-	1	1	-	-	-	-										
Utah	1	1	-	-	-	-	-	2	-	-	-										
Nev.	-	-	-	-	-	-	-	1	-	-	-										
PACIFIC	13	48	-	3	1	-	1	24	-	-	-										
Wash.	-	3	-	-	-	-	-	1	-	-	-										
Oreg.	6	9	N	N	N	-	1	3	-	-	-										
Calif.	7	35	-	3	1	-	-	16	-	-	-										
Alaska	-	-	-	-	-	-	-	2	-	-	-										
Hawaii	-	1	-	-	-	-	-	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


