
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 9, 2005 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	10,042	8,762	218,724	249,022	1,058	1,452	400	685													
NEW ENGLAND	406	311	6,834	8,144	-	-	25	35													
Maine	3	5	620	519	N	N	1	5													
N.H.	2	10	499	467	-	-	4	9													
Vt.	1	8	281	328	-	-	8	5													
Mass.	211	84	3,890	3,694	-	-	7	10													
R.I.	34	33	908	949	-	-	1	1													
Conn.	155	171	636	2,187	N	N	4	5													
MID. ATLANTIC	1,995	1,292	25,699	30,770	-	-	59	118													
Upstate N.Y.	188	132	5,421	5,659	N	N	17	22													
N.Y. City	1,137	381	7,752	10,070	-	-	13	36													
N.J.	357	386	2,720	4,987	N	N	3	9													
Pa.	313	393	9,806	10,054	N	N	26	51													
E.N. CENTRAL	915	804	34,397	48,818	2	4	62	172													
Ohio	136	227	3,868	11,108	N	N	29	42													
Ind.	119	116	10,097	9,744	N	N	4	23													
Ill.	482	281	9,863	12,917	-	-	-	25													
Mich.	135	131	5,866	10,177	2	4	12	37													
Wis.	43	49	4,703	4,872	N	N	17	45													
W.N. CENTRAL	227	218	12,511	15,165	-	3	56	72													
Minn.	69	45	2,155	3,099	N	N	15	30													
Iowa	18	9	1,443	1,849	N	N	12	10													
Mo.	99	100	5,952	5,696	-	2	21	15													
N. Dak.	5	11	254	473	N	N	-	-													
S. Dak.	5	-	756	676	-	-	2	7													
Nebr.	2	8	404	1,425	-	1	-	1													
Kans.	29	45	1,547	1,947	N	N	6	9													
S. ATLANTIC	3,395	3,420	43,135	46,975	-	-	95	135													
Del.	51	41	868	811	N	N	-	-													
Md.	406	340	4,546	5,237	-	-	5	7													
D.C.	176	148	1,019	1,005	-	-	1	2													
Va.	177	135	6,096	6,290	-	-	10	15													
W. Va.	19	29	640	773	N	N	4	2													
N.C.	298	236	9,095	7,510	N	N	12	27													
S.C.	133	203	5,794	5,209	-	-	2	5													
Ga.	503	509	3,573	9,135	-	-	29	44													
Fla.	1,632	1,779	11,504	11,005	N	N	32	33													
E.S. CENTRAL	581	442	15,532	14,121	-	3	8	34													
Ky.	70	41	3,290	1,555	N	N	1	7													
Tenn.	232	187	5,651	5,955	N	N	2	12													
Ala.	168	124	881	3,548	-	-	4	9													
Miss.	111	90	5,710	3,063	-	3	1	6													
W.S. CENTRAL	1,021	1,290	29,753	31,087	-	2	12	24													
Ark.	69	44	2,337	2,144	-	1	-	7													
La.	170	279	4,838	6,884	-	1	2	-													
Okla.	72	36	2,829	2,772	N	N	6	7													
Tex.	710	931	19,749	19,287	N	N	4	10													
MOUNTAIN	398	253	13,984	13,269	704	950	25	29													
Mont.	3	-	568	420	N	N	-	2													
Idaho	3	2	391	870	N	N	1	2													
Wyo.	-	3	306	284	-	-	2	2													
Colo.	83	47	3,269	3,324	N	N	9	15													
N. Mex.	42	20	748	1,630	2	7	1	1													
Ariz.	166	104	5,979	4,567	677	920	3	5													
Utah	20	19	1,083	838	2	5	4	1													
Nev.	81	58	1,640	1,336	23	18	5	1													
PACIFIC	1,104	732	36,879	40,673	352	490	58	66													
Wash.	106	127	5,267	4,619	N	N	5	-													
Oreg.	66	50	2,403	2,142	-	-	6	6													
Calif.	897	517	27,123	31,272	352	490	47	59													
Alaska	7	7	1,001	1,032	-	-	-	-													
Hawaii	28	31	1,085	1,608	-	-	-	1													
Guam	1	-	-	245	-	-	-	-													
P.R.	259	142	1,114	537	N	N	N	N													
V.I.	7	2	32	114	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


