
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending September 16, 2006 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	249	240	2,153	11,340	16,457	11	24	125	844	1,016											
NEW ENGLAND	47	37	780	1,974	2,903	1	1	11	43	53											
Conn.	46	10	753	1,403	429	-	0	5	11	11											
Maine	-	2	34	108	202	-	0	1	3	4											
Mass.	-	2	41	33	2,038	-	0	3	19	30											
N.H.	1	5	50	369	173	1	0	3	9	5											
R.I.	-	0	5	-	25	-	0	8	-	2											
Vt.	-	1	9	61	36	-	0	1	1	1											
MID. ATLANTIC	176	151	1,176	6,564	9,565	1	5	13	150	278											
N.J.	-	22	141	1,295	3,001	-	1	3	28	68											
N.Y. (Upstate)	160	74	1,150	2,872	2,708	1	1	11	26	34											
N.Y. City	-	1	15	13	322	-	2	7	67	148											
Pa.	16	40	217	2,384	3,534	-	1	3	29	28											
E.N. CENTRAL	1	10	111	963	1,532	1	2	7	84	112											
Ill.	-	0	2	-	117	-	1	4	32	63											
Ind.	-	0	3	15	24	-	0	3	8	3											
Mich.	1	1	6	36	41	-	0	2	15	19											
Ohio	-	1	6	34	43	1	0	3	22	17											
Wis.	-	10	106	878	1,307	-	0	3	7	10											
W.N. CENTRAL	-	7	91	322	556	1	0	32	32	39											
Iowa	-	1	8	71	81	-	0	1	1	7											
Kans.	-	0	2	3	3	1	0	2	6	4											
Minn.	-	6	88	231	456	-	0	30	14	11											
Mo.	-	0	3	8	11	-	0	2	5	16											
Nebr.	-	0	2	8	3	-	0	2	4	1											
N. Dak.	-	0	3	-	-	-	0	1	1	-											
S. Dak.	-	0	1	1	2	-	0	1	1	-											
S. ATLANTIC	17	29	103	1,261	1,720	1	6	15	238	221											
Del.	-	8	27	360	544	-	0	1	5	3											
D.C.	4	0	7	37	8	-	0	2	3	8											
Fla.	2	1	5	26	26	-	1	6	43	37											
Ga.	-	0	1	2	5	-	1	6	65	41											
Md.	2	15	60	609	907	-	1	5	51	81											
N.C.	2	0	4	23	40	1	0	8	20	22											
S.C.	1	0	3	8	15	-	0	2	8	7											
Va.	6	3	25	189	165	-	1	9	41	21											
W. Va.	-	0	44	7	10	-	0	2	2	1											
E.S. CENTRAL	-	0	4	17	26	-	0	3	19	22											
Ala.	-	0	1	5	1	-	0	2	8	4											
Ky.	-	0	2	4	3	-	0	2	3	7											
Miss.	-	0	0	-	-	-	0	1	3	-											
Tenn.	-	0	2	8	22	-	0	2	5	11											
W.S. CENTRAL	-	0	3	10	65	-	2	31	51	89											
Ark.	-	0	1	-	4	-	0	1	1	5											
La.	-	0	0	-	3	-	0	1	1	2											
Okla.	-	0	0	-	-	-	0	6	7	3											
Tex.	-	0	3	10	58	-	1	29	42	79											
MOUNTAIN	-	0	4	19	15	1	1	9	51	42											
Ariz.	-	0	4	4	3	-	0	9	17	10											
Colo.	-	0	1	4	-	-	0	2	11	20											
Idaho	-	0	1	2	2	-	0	1	1	-											
Mont.	-	0	0	-	-	-	0	1	2	-											
Nev.	-	0	1	1	3	-	0	1	1	2											
N. Mex.	-	0	1	1	2	-	0	1	3	3											
Utah	-	0	1	6	2	1	0	2	16	5											
Wyo.	-	0	1	1	3	-	0	1	-	2											
PACIFIC	8	4	23	210	75	5	4	13	176	160											
Alaska	-	0	1	2	4	-	0	4	21	4											
Calif.	8	4	21	197	47	1	4	10	120	119											
Hawaii	N	0	0	N	N	-	0	2	4	14											
Oreg.	-	0	2	8	17	1	0	1	9	9											
Wash.	-	0	3	3	7	3	0	5	22	14											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	3											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


