
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 1998 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	138	207	5	13	10	35	155	221	2	3	2										
NEW ENGLAND	11	9	-	-	-	-	25	76	-	-	-										
Maine	1	-	-	-	-	-	-	4	-	-	-										
N.H.	1	-	-	-	-	-	-	3	-	-	-										
Vt.	-	-	-	-	-	-	5	29	-	-	-										
Mass.	5	6	-	-	-	-	20	40	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	4	3	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	11	18	-	1	1	-	-	1	1	1	-										
Upstate N.Y.	1	-	-	1	-	-	-	-	1	1	-										
N.Y. City	1	4	-	-	-	-	-	-	-	-	-										
N.J.	9	5	-	-	1	-	-	1	-	-	-										
Pa.	-	9	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	17	34	1	1	-	2	13	24	-	-	2										
Ohio	13	11	1	1	-	2	12	15	-	-	-										
Ind.	3	4	-	-	-	-	-	-	-	-	-										
Ill.	-	13	-	-	-	-	-	1	-	-	-										
Mich.	1	2	-	-	-	-	1	5	-	-	-										
Wis.	-	4	-	-	-	-	-	3	-	-	2										
W.N. CENTRAL	4	15	-	-	-	-	-	4	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	1	5	-	-	-	-	-	3	-	-	-										
Mo.	1	9	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	1	-	-	-	-	-	-	1	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	1	1	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	39	32	1	7	-	3	26	7	-	1	-										
Del.	-	2	-	-	-	-	-	-	-	-	-										
Md.	8	2	-	1	-	3	5	7	-	-	-										
D.C.	-	2	-	-	-	-	-	-	-	-	-										
Va.	3	2	-	-	-	-	-	-	-	-	-										
W. Va.	2	1	-	-	-	-	-	-	-	-	-										
N.C.	3	6	-	3	-	-	21	-	-	1	-										
S.C.	5	11	-	2	-	-	-	-	-	-	-										
Ga.	11	4	-	-	-	-	-	-	-	-	-										
Fla.	7	2	1	1	-	-	-	-	-	-	-										
E.S. CENTRAL	5	24	-	-	4	2	3	1	-	-	-										
Ky.	-	4	-	-	-	-	-	-	-	-	-										
Tenn.	5	7	-	-	1	-	-	-	-	-	-										
Ala.	-	8	-	-	1	2	3	1	-	-	-										
Miss.	-	5	U	-	2	U	-	-	U	-	-										
W.S. CENTRAL	7	3	-	-	-	-	4	1	1	1	-										
Ark.	2	2	-	-	-	-	4	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	5	1	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	1	1	1	-										
MOUNTAIN	11	13	-	1	1	27	74	88	-	-	-										
Mont.	1	1	-	-	-	-	-	-	-	-	-										
Idaho	-	-	-	-	-	13	38	69	-	-	-										
Wyo.	1	-	-	-	-	-	-	1	-	-	-										
Colo.	5	-	-	-	-	-	7	9	-	-	-										
N. Mex.	2	2	N	N	N	13	25	4	-	-	-										
Ariz.	1	5	-	1	-	-	-	4	-	-	-										
Utah	1	3	-	-	-	1	4	-	-	-	-										
Nev.	-	2	-	-	1	-	-	1	-	-	-										
PACIFIC	33	59	3	3	4	1	10	19	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	16	21	N	N	N	1	3	1	-	-	-										
Calif.	17	38	1	1	2	-	7	17	-	-	-										
Alaska	-	-	2	2	-	-	-	1	-	-	-										
Hawaii	-	-	-	-	2	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	1	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


