
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2006 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	61	103	190	1,008	1,547	2	35	99	282	151	241	866	2,095	6,252	6,571						
NEW ENGLAND	13	12	33	132	198	-	0	1	-	1	11	40	80	323	358						
Conn.	6	3	13	32	28	-	0	0	-	-	-	8	73	73	83						
Maine	2	1	4	18	13	N	0	0	N	N	-	3	8	11	25						
Mass.	4	4	22	64	137	-	0	1	-	-	10	20	41	206	191						
N.H.	1	0	3	5	2	-	0	1	-	-	1	2	12	19	23						
R.I.	-	0	4	1	3	-	0	0	-	1	-	0	17	11	15						
Vt.	-	1	7	12	15	-	0	0	-	-	-	1	10	3	21						
MID. ATLANTIC	5	19	40	192	191	-	1	8	5	10	28	93	271	601	810						
N.J.	N	0	0	N	N	-	0	2	-	1	-	16	41	45	158						
N.Y. (Upstate)	5	12	24	99	84	-	0	2	-	-	19	21	230	164	182						
N.Y. City	-	0	3	-	8	-	0	2	2	1	2	24	43	137	235						
Pa.	-	7	22	93	99	-	1	6	3	8	7	31	61	255	235						
E.N. CENTRAL	-	2	69	4	11	-	0	6	2	3	29	97	206	769	851						
Ill.	-	1	4	-	3	-	0	3	1	1	-	30	124	115	269						
Ind.	-	0	3	-	1	-	0	1	-	-	12	11	71	113	62						
Mich.	-	0	4	3	3	-	0	1	-	1	2	17	35	151	176						
Ohio	-	0	66	1	4	-	0	3	1	1	15	23	52	269	172						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	121	172						
W.N. CENTRAL	6	6	23	52	75	-	2	17	5	5	17	43	92	412	443						
Iowa	-	1	10	13	15	-	0	2	-	-	-	7	18	58	79						
Kans.	3	1	5	17	23	-	0	2	-	-	4	7	17	65	46						
Minn.	2	1	5	4	12	-	0	1	-	-	-	10	31	97	121						
Mo.	1	1	7	4	7	-	2	15	5	4	10	15	40	135	119						
Nebr.	-	0	0	-	-	-	0	2	-	-	2	2	10	32	38						
N. Dak.	-	0	4	2	4	-	0	0	-	-	1	0	5	2	9						
S. Dak.	-	1	6	12	14	-	0	2	-	1	-	2	11	23	31						
S. ATLANTIC	34	34	54	394	674	1	17	95	261	106	65	257	506	1,727	1,687						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	13	14						
D.C.	-	0	0	-	-	-	0	1	-	-	4	1	7	19	11						
Fla.	-	0	16	47	201	-	0	3	6	6	46	99	230	758	650						
Ga.	27	4	15	43	77	-	1	9	15	4	14	34	73	276	229						
Md.	-	6	16	59	82	-	2	7	13	6	-	14	39	110	134						
N.C.	7	8	19	84	117	1	4	87	219	80	-	30	114	333	313						
S.C.	-	4	11	-	42	-	1	6	4	6	1	21	146	69	140						
Va.	-	10	26	142	150	-	1	10	2	2	-	20	66	134	175						
W. Va.	-	0	13	19	5	-	0	2	-	1	-	3	13	15	21						
E.S. CENTRAL	1	2	9	39	32	-	5	24	4	6	3	56	134	328	368						
Ala.	1	1	5	16	19	-	0	9	1	1	-	13	39	127	107						
Ky.	-	0	3	4	2	-	0	1	-	-	-	7	26	65	43						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	39	54						
Tenn.	-	1	4	19	11	-	3	18	3	5	3	14	40	97	164						
W.S. CENTRAL	1	13	42	145	283	1	2	34	4	1	16	85	880	710	490						
Ark.	-	0	3	3	10	-	0	32	3	-	-	16	67	222	64						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	62	118						
Okla.	1	1	7	13	29	-	0	23	-	-	-	6	26	53	56						
Tex.	-	12	39	129	244	1	0	8	1	-	16	45	847	373	252						
MOUNTAIN	-	4	19	19	51	-	0	4	1	19	25	50	112	452	414						
Ariz.	-	2	11	19	44	-	0	4	1	13	2	13	28	137	132						
Colo.	-	0	2	-	-	-	0	1	-	-	14	11	45	141	102						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	16	23						
Mont.	-	0	3	-	-	-	0	1	-	1	3	2	16	26	19						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	23	44						
N. Mex.	-	0	1	-	1	-	0	1	-	1	-	4	13	33	41						
Utah	-	0	5	-	-	-	0	1	-	3	6	5	31	62	45						
Wyo.	-	0	2	-	6	-	0	1	-	1	-	1	12	14	8						
PACIFIC	1	4	15	31	32	-	0	2	-	-	47	99	416	930	1,150						
Alaska	-	0	3	5	1	-	0	0	-	-	3	1	5	24	13						
Calif.	1	3	15	26	31	-	0	1	-	-	39	76	286	705	900						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	47	77						
Oreg.	-	0	1	-	-	-	0	1	-	-	1	8	25	80	81						
Wash.	U	0	0	U	U	N	0	0	N	N	4	8	121	74	79						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
P.R.	2	2	4	28	23	N	0	0	N	N	1	7	23	15	91						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


