
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending November 15, 2003 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	36,277	38,884	19,375	18,766	4,677	4,101	1,821	2,148	382	316											
NEW ENGLAND	1,867	2,025	287	309	348	296	40	103	8	3											
Maine	119	132	6	8	26	20	-	-	-	-											
N.H.	100	126	5	11	21	35	-	-	N	N											
Vt.	64	71	7	1	19	9	6	5	4	2											
Mass.	1,107	1,136	193	191	166	100	N	N	N	N											
R.I.	118	153	15	17	14	15	10	13	4	1											
Conn.	359	407	61	81	102	117	24	85	U	U											
MID. ATLANTIC	4,056	5,219	2,000	1,610	824	648	114	102	85	72											
Upstate N.Y.	1,017	1,373	465	281	332	254	63	80	67	58											
N.Y. City	1,155	1,265	341	439	114	144	U	U	U	U											
N.J.	483	959	240	569	134	140	N	N	N	N											
Pa.	1,401	1,622	954	321	244	110	51	22	18	14											
E.N. CENTRAL	4,795	5,059	1,533	1,946	951	876	380	208	154	128											
Ohio	1,242	1,246	273	559	272	190	249	62	86	19											
Ind.	521	512	147	102	97	47	131	144	44	56											
Ill.	1,525	1,667	780	942	182	249	-	2	-	-											
Mich.	705	804	222	168	331	275	N	N	N	N											
Wis.	802	830	111	175	69	115	N	N	24	53											
W.N. CENTRAL	2,306	2,365	743	974	301	229	145	419	52	53											
Minn.	506	500	96	203	147	113	-	292	43	49											
Iowa	356	459	75	116	N	N	N	N	N	N											
Mo.	903	768	352	172	68	42	11	5	2	1											
N. Dak.	37	40	4	18	14	3	3	1	7	3											
S. Dak.	111	108	16	154	21	13	1	1	-	-											
Nebr.	131	166	101	223	24	23	-	25	N	N											
Kans.	262	324	99	88	27	35	130	95	N	N											
S. ATLANTIC	9,783	10,096	6,519	6,225	812	661	940	978	18	32											
Del.	87	90	154	294	6	2	1	3	N	N											
Md.	782	845	545	1,054	245	107	-	-	-	22											
D.C.	45	75	69	59	13	8	2	-	7	3											
Va.	978	1,101	400	887	93	69	N	N	N	N											
W. Va.	116	137	-	12	31	19	65	42	11	7											
N.C.	1,199	1,367	898	399	94	112	N	N	U	U											
S.C.	664	743	441	109	36	36	126	171	N	N											
Ga.	1,998	1,784	1,522	1,525	108	120	222	246	N	N											
Fla.	3,914	3,954	2,490	1,886	186	188	524	516	N	N											
E.S. CENTRAL	2,454	2,996	847	1,335	186	106	125	120	-	-											
Ky.	355	349	120	164	43	19	16	17	N	N											
Tenn.	684	748	322	115	143	87	109	103	N	N											
Ala.	498	793	242	734	-	-	-	-	N	N											
Miss.	917	1,106	163	322	-	-	-	-	-	-											
W.S. CENTRAL	4,365	4,318	4,044	2,883	322	265	53	171	60	24											
Ark.	738	998	93	184	5	7	8	7	-	-											
La.	420	742	226	439	1	1	45	164	8	9											
Okla.	436	462	765	533	80	41	N	N	32	3											
Tex.	2,771	2,116	2,960	1,727	236	216	N	N	20	12											
MOUNTAIN	2,020	2,006	1,117	822	394	507	21	47	5	4											
Mont.	103	81	2	3	2	-	-	-	-	-											
Idaho	160	135	28	13	18	9	N	N	N	N											
Wyo.	73	93	7	8	2	7	4	13	-	-											
Colo.	432	550	273	186	121	112	-	-	-	-											
N. Mex.	231	277	217	197	96	97	17	33	-	-											
Ariz.	659	505	485	339	144	252	-	-	N	N											
Utah	203	167	46	29	9	30	-	-	5	4											
Nev.	159	198	59	47	2	-	-	1	-	-											
PACIFIC	4,631	4,800	2,285	2,662	539	513	3	-	-	-											
Wash.	486	479	138	158	53	60	-	-	N	N											
Oreg.	380	314	205	97	N	N	N	N	N	N											
Calif.	3,507	3,691	1,893	2,336	380	368	N	N	N	N											
Alaska	64	75	9	5	-	-	-	-	N	N											
Hawaii	194	241	40	66	106	85	3	-	-	-											
Guam	-	39	-	32	-	-	-	4	-	-											
P.R.	321	505	8	30	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


