
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2001 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	556	551	3	24	91	94	957	947	-	2	11										
NEW ENGLAND	39	30	-	-	-	-	166	262	-	-	4										
Maine	-	2	-	-	-	-	-	7	-	-	-										
N.H.	4	3	-	-	-	-	14	35	-	-	1										
Vt.	3	1	-	-	-	-	17	43	-	-	-										
Mass.	21	17	-	-	-	-	130	169	-	-	3										
R.I.	-	1	-	-	-	-	-	4	-	-	-										
Conn.	11	6	-	-	-	-	5	4	-	-	-										
MID. ATLANTIC	40	42	-	-	6	8	52	79	-	1	4										
Upstate N.Y.	15	9	-	-	2	8	44	39	-	1	2										
N.Y. City	8	12	-	-	2	-	-	19	-	-	2										
N.J.	16	9	-	-	-	-	-	-	-	-	-										
Pa.	1	12	-	-	2	-	8	21	-	-	-										
E.N. CENTRAL	43	97	-	3	11	20	119	164	-	1	-										
Ohio	22	14	-	1	4	18	96	108	-	-	-										
Ind.	1	15	-	-	-	-	3	8	-	-	-										
Ill.	-	31	-	1	1	1	6	10	-	1	-										
Mich.	11	25	-	1	6	1	13	6	-	-	-										
Wis.	9	12	-	-	-	-	1	32	-	-	-										
W.N. CENTRAL	36	35	-	3	5	-	31	24	-	-	-										
Minn.	-	3	-	-	-	-	-	8	-	-	-										
Iowa	13	8	-	-	3	-	3	6	-	-	-										
Mo.	12	19	-	-	1	-	17	4	-	-	-										
N. Dak.	-	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	2	-	-	-	-	2	1	-	-	-										
Nebr.	2	1	-	-	1	-	-	-	-	-	-										
Kans.	7	1	-	3	-	-	9	4	-	-	-										
S. ATLANTIC	112	83	-	2	11	6	36	48	-	-	1										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	17	8	-	1	3	-	11	14	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	12	15	-	1	1	5	6	3	-	-	-										
W. Va.	3	2	-	-	-	-	1	-	-	-	-										
N.C.	26	15	-	-	2	-	10	15	-	-	-										
S.C.	6	6	-	-	4	1	5	10	-	-	-										
Ga.	14	17	-	-	-	-	-	2	-	-	-										
Fla.	34	20	-	-	1	-	3	3	-	-	1										
E.S. CENTRAL	40	27	-	-	1	-	24	28	-	-	-										
Ky.	6	6	-	-	-	-	5	20	-	-	-										
Tenn.	13	10	U	-	-	U	16	2	U	-	-										
Ala.	17	10	-	-	1	-	2	5	-	-	-										
Miss.	4	1	-	-	-	-	1	1	-	-	-										
W.S. CENTRAL	90	73	1	1	11	-	3	11	-	-	2										
Ark.	7	3	-	-	-	-	2	3	-	-	-										
La.	25	20	1	1	2	-	-	2	-	-	-										
Okla.	10	8	-	-	-	-	1	-	-	-	-										
Tex.	48	42	-	-	9	-	-	6	-	-	2										
MOUNTAIN	29	26	-	4	2	55	491	182	-	-	-										
Mont.	-	-	-	-	-	1	3	1	-	-	-										
Idaho	3	2	-	-	-	36	114	28	-	-	-										
Wyo.	-	-	-	1	-	-	-	-	-	-	-										
Colo.	11	9	-	1	-	8	104	115	-	-	-										
N. Mex.	5	4	-	2	N	2	11	23	-	-	-										
Ariz.	6	6	-	-	-	8	254	9	-	-	-										
Utah	2	4	-	-	-	-	5	4	-	-	-										
Nev.	2	1	-	-	2	-	-	2	-	-	-										
PACIFIC	127	138	2	11	44	5	35	149	-	-	-										
Wash.	20	6	-	-	2	5	13	20	-	-	-										
Oreg.	15	14	N	N	N	-	3	17	-	-	-										
Calif.	91	114	2	11	37	-	19	104	-	-	-										
Alaska	1	1	-	-	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	5	-	-	6	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


