
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2000 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	2,750	6,948	61,088	100,465	131	193	174	162	74	113											
NEW ENGLAND	289	354	2,910	3,240	5	8	15	28	14	26											
Maine	3	5	193	99	1	1	1	1	-	-											
N.H.	3	13	98	160	-	-	3	1	3	1											
Vt.	1	4	88	69	4	1	1	1	2	-											
Mass.	234	240	1,336	1,381	-	5	4	16	3	13											
R.I.	6	20	-	341	-	-	-	-	-	-											
Conn.	42	72	1,195	1,190	-	1	6	9	6	12											
MID. ATLANTIC	795	1,492	591	11,748	13	36	20	10	-	2											
Upstate N.Y.	21	76	N	N	8	14	20	7	-	-											
N.Y. City	495	835	-	5,717	4	18	-	1	-	1											
N.J.	194	370	217	1,866	-	1	-	2	-	1											
Pa.	85	211	374	4,165	1	3	N	N	-	-											
E.N. CENTRAL	143	489	11,738	16,420	12	39	17	34	4	20											
Ohio	25	97	2,554	5,471	6	6	5	20	1	6											
Ind.	26	52	1,773	1,679	3	2	1	5	1	6											
Ill.	64	231	3,290	4,095	-	5	8	4	-	3											
Mich.	19	81	3,027	3,241	3	4	3	5	1	2											
Wis.	9	28	1,094	1,934	-	22	N	N	1	3											
W.N. CENTRAL	49	161	3,050	6,233	5	11	44	28	23	15											
Minn.	11	28	870	1,229	-	4	9	10	10	10											
Iowa	7	13	396	299	-	-	9	5	1	2											
Mo.	15	84	902	2,763	2	4	23	2	8	1											
N. Dak.	-	3	-	136	-	-	1	2	1	1											
S. Dak.	1	3	248	336	1	1	-	-	-	-											
Nebr.	4	10	440	577	2	1	2	3	2	1											
Kans.	11	20	194	893	-	1	-	6	1	-											
S. ATLANTIC	588	1,833	12,383	21,727	17	20	17	14	10	8											
Del.	15	31	450	476	-	-	-	1	-	-											
Md.	92	252	839	2,076	1	3	5	1	1	-											
D.C.	22	69	302	N	-	3	-	-	U	U											
Va.	41	102	2,001	2,149	-	-	3	5	2	2											
W. Va.	4	14	76	361	-	-	1	-	1	1											
N.C.	27	125	2,560	3,613	3	1	5	2	1	3											
S.C.	35	128	669	4,214	-	-	-	1	-	1											
Ga.	97	207	1,882	4,261	7	12	1	1	3	U											
Fla.	255	905	3,604	4,577	6	1	2	3	2	1											
E.S. CENTRAL	140	300	6,549	5,963	5	2	10	14	3	4											
Ky.	20	37	1,301	1,103	-	1	4	5	U	U											
Tenn.	35	130	1,809	2,159	-	1	5	5	3	2											
Ala.	50	69	1,927	2,016	5	-	1	2	-	1											
Miss.	35	64	1,512	685	-	-	-	2	-	1											
W.S. CENTRAL	276	980	8,676	12,719	5	14	8	6	7	8											
Ark.	8	34	554	819	1	-	2	2	1	2											
La.	45	67	2,232	1,041	-	11	-	2	5	1											
Okla.	10	19	1,265	1,336	1	1	3	1	-	-											
Tex.	213	860	4,625	9,523	3	2	3	1	1	5											
MOUNTAIN	102	207	3,203	5,200	8	20	21	8	4	8											
Mont.	1	3	-	186	-	1	5	-	-	-											
Idaho	3	5	64	275	1	2	3	-	-	1											
Wyo.	1	-	82	122	-	-	2	1	-	1											
Colo.	34	56	538	1,008	1	2	6	2	1	1											
N. Mex.	8	9	334	806	1	9	-	1	-	-											
Ariz.	22	86	1,407	2,007	2	6	3	2	2	1											
Utah	12	27	343	291	3	N	1	2	1	3											
Nev.	21	21	435	505	-	-	1	-	-	1											
PACIFIC	368	1,132	11,988	17,215	61	43	22	20	9	22											
Wash.	48	58	1,912	1,928	N	N	1	1	3	8											
Oreg.	11	32	454	904	1	3	3	10	3	8											
Calif.	299	1,021	9,379	13,625	60	40	16	9	-	6											
Alaska	-	5	243	279	-	-	-	-	-	-											
Hawaii	10	16	-	479	-	-	2	-	3	-											
Guam	-	1	-	67	-	-	N	N	U	U											
P.R.	77	215	113	U	-	-	-	1	U	U											
V.I.	-	3	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


