
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 10, 2005 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	30,568	38,365	861,834	867,984	4,621	5,617	7,059	3,415													
NEW ENGLAND	1,141	1,255	29,687	28,352	-	-	323	164													
Maine	19	48	2,127	1,964	N	N	26	20													
N.H.	26	41	1,718	1,641	-	-	33	30													
Vt.	7	15	904	1,079	-	-	37	24													
Mass.	561	450	13,391	12,632	-	-	136	59													
R.I.	105	131	2,993	3,228	-	-	13	4													
Conn.	423	570	8,554	7,808	N	N	78	27													
MID. ATLANTIC	6,597	8,996	109,215	106,651	-	-	3,217	554													
Upstate N.Y.	891	1,465	21,999	21,578	N	N	2,766	176													
N.Y. City	3,522	4,756	35,225	32,674	-	-	128	133													
N.J.	956	1,360	16,987	16,545	N	N	64	44													
Pa.	1,228	1,415	35,004	35,854	N	N	259	201													
E.N. CENTRAL	2,929	3,173	145,232	153,299	11	14	1,439	1,001													
Ohio	518	585	38,564	37,263	N	N	758	216													
Ind.	348	348	18,976	17,582	N	N	82	72													
Ill.	1,504	1,473	43,509	45,124	-	-	140	151													
Mich.	439	612	26,780	35,136	11	14	105	151													
Wis.	120	155	17,403	18,194	N	N	354	411													
W.N. CENTRAL	690	780	52,755	53,792	5	6	563	397													
Minn.	176	202	9,843	11,063	3	N	138	129													
Iowa	72	63	6,783	6,563	N	N	106	86													
Mo.	299	323	21,007	20,029	1	3	244	72													
N. Dak.	9	17	1,110	1,676	N	N	1	12													
S. Dak.	13	11	2,548	2,380	-	-	29	40													
Nebr.	27	56	4,779	4,948	1	3	9	28													
Kans.	94	108	6,685	7,133	N	N	36	30													
S. ATLANTIC	9,183	11,640	161,718	162,837	2	-	701	505													
Del.	134	137	3,203	2,784	N	N	6	-													
Md.	1,370	1,361	17,318	18,424	2	-	39	23													
D.C.	474	912	3,627	3,336	-	-	16	15													
Va.	441	612	18,916	20,635	-	-	61	58													
W. Va.	51	83	2,554	2,620	N	N	14	6													
N.C.	636	1,059	28,617	28,076	N	N	88	75													
S.C.	413	693	19,310	17,527	-	-	18	23													
Ga.	1,701	1,504	28,164	29,595	-	-	121	172													
Fla.	3,963	5,279	40,009	39,840	N	N	338	133													
E.S. CENTRAL	1,546	1,799	64,648	57,543	-	5	205	142													
Ky.	198	217	7,843	6,145	N	N	141	43													
Tenn.	675	723	22,381	21,272	N	N	40	47													
Ala.	385	433	15,122	12,710	-	-	20	24													
Miss.	288	426	19,302	17,416	-	5	4	28													
W.S. CENTRAL	3,543	4,309	96,735	104,206	1	3	182	131													
Ark.	173	184	8,089	7,484	-	1	6	16													
La.	650	849	14,534	20,858	1	2	81	5													
Okla.	229	195	9,742	9,740	N	N	43	22													
Tex.	2,491	3,081	64,370	66,124	N	N	52	88													
MOUNTAIN	1,172	1,327	48,073	53,536	3,151	3,555	131	167													
Mont.	15	5	2,027	2,313	N	N	21	34													
Idaho	15	17	2,253	2,600	N	N	15	28													
Wyo.	3	16	1,112	1,023	3	2	3	4													
Colo.	260	294	11,913	13,582	N	N	49	58													
N. Mex.	115	173	5,498	8,484	14	21	11	19													
Ariz.	473	501	15,790	15,716	3,093	3,449	9	16													
Utah	55	64	4,154	3,594	9	24	14	6													
Nev.	236	257	5,326	6,224	32	59	9	2													
PACIFIC	3,767	5,086	153,771	147,768	1,451	2,034	298	354													
Wash.	352	367	17,434	16,594	N	N	47	42													
Oreg.	193	277	8,368	8,050	-	-	66	31													
Calif.	3,105	4,271	119,243	114,433	1,451	2,034	181	279													
Alaska	25	48	3,685	3,632	-	-	3	-													
Hawaii	92	123	5,041	5,059	-	-	1	2													
Guam	2	1	-	803	-	-	-	-													
P.R.	814	636	3,455	3,390	N	N	N	N													
V.I.	10	19	196	330	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


