
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2006 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	19	104	160	19	280	29	27	98	29	2	197	770	1,428	197	369						
NEW ENGLAND	2	13	33	2	14	-	0	1	-	-	-	40	76	-	17						
Conn.	-	3	13	-	2	-	0	0	-	-	-	8	25	-	-						
Maine	-	1	4	-	1	N	0	0	N	N	-	3	8	-	3						
Mass.	2	5	22	2	8	-	0	1	-	-	-	20	38	-	10						
N.H.	-	0	3	-	-	-	0	1	-	-	-	2	12	-	1						
R.I.	-	0	3	-	-	-	0	1	-	-	-	0	12	-	-						
Vt.	-	1	7	-	3	-	0	0	-	-	-	1	10	-	3						
MID. ATLANTIC	8	18	40	8	10	-	2	8	-	1	17	89	184	17	47						
N.J.	N	0	0	N	N	-	0	6	-	-	-	16	44	-	12						
N.Y. (Upstate)	8	12	24	8	-	-	0	2	-	-	1	23	56	1	1						
N.Y. City	-	0	3	-	1	-	0	2	-	-	-	22	43	-	18						
Pa.	-	7	22	-	9	-	1	6	-	1	16	30	61	16	16						
E.N. CENTRAL	-	2	19	-	-	-	0	3	-	-	24	91	243	24	29						
Ill.	-	1	4	-	-	-	0	1	-	-	-	29	160	-	-						
Ind.	-	0	3	-	-	-	0	1	-	-	-	9	71	-	-						
Mich.	-	0	4	-	-	-	0	1	-	-	1	17	35	1	13						
Ohio	-	0	13	-	-	-	0	3	-	-	22	22	52	22	16						
Wis.	-	0	3	-	-	-	0	1	-	-	1	15	45	1	-						
W.N. CENTRAL	-	7	23	-	2	-	1	16	-	1	10	40	90	10	22						
Iowa	-	1	10	-	-	-	0	2	-	-	-	7	18	-	6						
Kans.	-	1	5	-	-	-	0	2	-	-	-	7	17	-	4						
Minn.	-	1	5	-	-	-	0	1	-	-	-	10	31	-	-						
Mo.	-	1	7	-	2	-	1	14	-	1	10	13	40	10	9						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	8	-	2						
N. Dak.	-	0	4	-	-	-	0	0	-	-	-	0	5	-	-						
S. Dak.	-	1	6	-	-	-	0	2	-	-	-	2	11	-	1						
