
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 10, 2002 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	8,598	10,373	2,779	2,558	1,427	1,895	155	292													
NEW ENGLAND	165	170	137	165	9	90	1	30													
Maine	3	6	18	10	-	-	-	-													
N.H.	5	4	26	N	-	-	N	N													
Vt.	-	6	9	9	4	7	1	-													
Mass.	106	118	71	53	N	N	N	N													
R.I.	7	8	13	8	5	-	-	2													
Conn.	44	28	-	85	-	83	-	28													
MID. ATLANTIC	614	956	471	466	80	123	48	75													
Upstate N.Y.	139	340	218	201	72	121	48	75													
N.Y. City	230	262	120	134	U	U	U	U													
N.J.	148	191	91	86	N	N	N	N													
Pa.	97	163	42	45	8	2	-	-													
E.N. CENTRAL	874	2,325	509	605	158	129	64	77													
Ohio	374	1,450	160	153	29	-	-	-													
Ind.	61	142	37	48	124	129	39	39													
Ill.	250	349	105	197	2	-	-	38													
Mich.	100	185	207	156	3	-	N	N													
Wis.	89	199	-	51	N	N	25	-													
W.N. CENTRAL	691	951	180	259	151	101	36	45													
Minn.	149	284	95	110	48	49	36	38													
Iowa	73	287	-	-	N	N	N	N													
Mo.	104	168	37	56	6	9	-	-													
N. Dak.	15	16	-	11	1	4	-	7													
S. Dak.	149	92	10	7	1	3	-	-													
Nebr.	141	53	14	30	25	10	N	N													
Kans.	60	51	24	45	70	26	N	N													
S. ATLANTIC	3,347	1,347	543	438	865	1,015	1	4													
Del.	25	5	1	2	3	2	N	N													
Md.	655	73	92	N	N	N	N	N													
D.C.	37	33	6	15	48	5	1	3													
Va.	576	155	54	62	N	N	N	N													
W. Va.	4	7	13	17	34	37	-	1													
N.C.	208	225	100	115	N	N	U	U													
S.C.	58	167	28	8	135	206	N	N													
Ga.	995	169	130	143	254	291	N	N													
Fla.	789	513	119	76	391	474	N	N													
E.S. CENTRAL	780	929	71	78	100	187	-	-													
Ky.	82	348	13	28	11	22	N	N													
Tenn.	36	60	58	50	89	164	N	N													
Ala.	428	158	-	-	-	1	N	N													
Miss.	234	363	-	-	-	-	-	-													
W.S. CENTRAL	511	1,750	41	234	35	217	3	61													
Ark.	124	415	5	-	5	14	-	-													
La.	94	162	-	-	30	203	1	61													
Okla.	292	30	35	33	N	N	2	-													
Tex.	1	1,143	1	201	N	N	-	-													
MOUNTAIN	390	550	474	269	29	31	2	-													
Mont.	3	1	-	-	-	-	-	-													
Idaho	4	23	5	6	N	N	N	N													
Wyo.	4	2	7	7	9	5	-	-													
Colo.	75	140	156	112	-	-	-	-													
N. Mex.	71	69	72	56	19	24	-	-													
Ariz.	190	236	207	85	-	-	N	N													
Utah	23	39	27	3	1	-	2	-													
Nev.	20	40	-	-	-	2	-	-													
PACIFIC	1,226	1,395	353	44	-	2	-	-													
Wash.	92	122	36	-	-	-	N	N													
Oreg.	65	73	N	N	N	N	N	N													
Calif.	1,033	1,160	273	-	N	N	N	N													
Alaska	2	4	-	-	-	-	N	N													
Hawaii	34	36	44	44	-	2	-	-													
Guam	-	33	-	1	-	-	-	-													
P.R.	5	14	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	15	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


