
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2000 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	15	35	-	-	4	8	8	73	-	-	-										
NEW ENGLAND	-	5	-	-	1	-	-	13	-	-	-										
Maine	-	2	-	-	-	-	-	-	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	-	-	1	-	-	-										
Mass.	-	3	-	-	1	-	-	12	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	1	2	-	-	-	-	-	1	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	1	-	-	-	-	-	-	-	-	-										
N.J.	1	-	-	-	-	-	-	1	-	-	-										
Pa.	-	1	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	2	9	-	-	-	-	-	18	-	-	-										
Ohio	1	4	-	-	-	-	-	17	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	4	-	-	-	-	-	-	-	-	-										
Mich.	1	1	-	-	-	-	-	1	-	-	-										
Wis.	-	-	-	-	-	-	-	-	-	-	-										
W.N. CENTRAL	8	3	-	-	-	-	-	-	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	-	-	-	-	-	-	-										
Mo.	8	3	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	3	5	-	-	-	3	3	3	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	2	3	-	-	-	-	-	3	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	1	1	-	-	-	3	3	-	-	-	-										
S.C.	-	1	-	-	-	-	-	-	-	-	-										
Ga.	-	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	1	-	-	-	-	-	3	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	1	-	-	-	-	-	3	-	-	-										
Miss.	-	-	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	-										
Ark.	-	-	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	1	5	-	-	-	5	5	22	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	1	1	-	-	-	-	-	9	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	1	-	-	-	-	-	3	-	-	-										
N. Mex.	-	1	N	N	N	3	3	2	-	-	-										
Ariz.	-	1	U	-	-	U	-	1	U	-	-										
Utah	-	-	-	-	-	2	2	6	-	-	-										
Nev.	-	1	U	-	-	U	-	1	U	-	-										
PACIFIC	-	5	-	-	3	-	-	13	-	-	-										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	-	3	N	N	N	U	-	-	U	-	-										
Calif.	-	1	-	-	1	-	-	13	-	-	-										
Alaska	-	1	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	U	-	2	U	-	-	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


