
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 30, 2008 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2008
Chlamydia† cummulative for 2007
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2008
Coccidioidomycosis cummulative for 2007
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2008
Cryptosporidiosis cummulative for 2007

tab delimited data:
test
UNITED STATES	7,373	21,005	28,892	693,166	731,530	-	126	341	4,249	5,105	162	103	983	3,443	5,348						
NEW ENGLAND	350	673	1,516	23,590	23,629	-	0	1	1	2	6	5	24	220	208						
Conn.	-	205	1,093	6,831	7,118	N	0	0	N	N	-	0	22	22	42						
Maine	-	49	73	1,591	1,709	N	0	0	N	N	1	1	5	25	33						
Mass.	334	320	660	11,678	10,614	N	0	0	N	N	5	2	11	91	68						
N.H.	6	38	73	1,308	1,391	-	0	1	1	2	-	1	4	39	36						
R.I.	-	55	98	1,755	2,116	-	0	0	-	-	-	0	3	5	6						
Vt.	10	17	44	427	681	N	0	0	N	N	-	1	4	38	23						
MID. ATLANTIC	2,658	2,795	5,039	98,192	94,679	-	0	0	-	-	24	13	108	440	845						
N.J.	224	406	521	12,646	14,459	N	0	0	N	N	-	0	6	10	39						
N.Y. (Upstate)	536	575	2,177	18,261	17,216	N	0	0	N	N	19	5	20	161	120						
N.Y. City	1,342	1,012	3,099	39,043	34,024	N	0	0	N	N	-	2	8	59	62						
Pa.	556	807	1,047	28,242	28,980	N	0	0	N	N	5	6	84	210	624						
E.N. CENTRAL	1,234	3,554	4,466	114,549	119,614	-	1	3	34	24	65	23	134	908	974						
Ill.	-	1,038	1,711	31,064	34,660	N	0	0	N	N	-	2	13	55	113						
Ind.	294	379	656	13,506	14,085	N	0	0	N	N	9	3	41	125	50						
Mich.	785	779	1,226	29,900	25,217	-	0	3	25	18	1	5	9	150	125						
Ohio	155	881	1,530	28,870	32,494	-	0	1	9	6	55	6	60	332	237						
Wis.	-	365	615	11,209	13,158	N	0	0	N	N	-	8	59	246	449						
W.N. CENTRAL	545	1,233	1,700	42,251	42,111	-	0	77	1	6	17	18	111	542	816						
Iowa	-	160	240	5,614	5,811	N	0	0	N	N	11	5	61	165	335						
Kans.	237	164	529	6,212	5,389	N	0	0	N	N	3	1	15	48	62						
Minn.	-	255	373	7,960	9,009	-	0	77	-	-	-	5	34	119	109						
Mo.	308	473	567	16,214	15,539	-	0	1	1	6	-	3	13	97	95						
Nebr.	-	94	253	3,292	3,524	N	0	0	N	N	3	2	24	72	79						
N. Dak.	-	34	65	1,128	1,124	N	0	0	N	N	-	0	51	3	13						
S. Dak.	-	54	81	1,831	1,715	N	0	0	N	N	-	1	13	38	123						
S. ATLANTIC	1,364	3,848	7,609	121,793	144,118	-	0	1	2	3	29	18	65	508	667						
Del.	60	66	150	2,484	2,353	-	0	1	1	-	-	0	4	9	12						
D.C.	-	129	216	4,489	3,993	-	0	1	-	1	-	0	2	5	1						
Fla.	1,294	1,317	1,553	46,168	37,505	N	0	0	N	N	23	8	35	254	323						
Ga.	3	482	1,338	9,133	28,750	N	0	0	N	N	2	4	14	128	148						
Md.	-	458	667	14,597	14,397	-	0	1	1	2	2	0	4	11	21						
N.C.	-	163	4,783	5,901	19,457	N	0	0	N	N	-	0	18	16	55						
S.C.	-	431	3,056	16,985	18,619	N	0	0	N	N	1	1	15	27	52						
Va.	-	534	1,062	20,015	16,891	N	0	0	N	N	1	1	5	46	50						
W. Va.	7	59	96	2,021	2,153	N	0	0	N	N	-	0	5	12	5						
E.S. CENTRAL	559	1,555	2,394	53,915	55,537	-	0	0	-	-	2	4	64	95	277						
Ala.	34	473	589	15,409	17,095	N	0	0	N	N	1	2	14	41	51						
Ky.	-	232	370	7,511	5,200	N	0	0	N	N	-	1	40	21	128						
Miss.	-	369	1,048	12,795	14,918	N	0	0	N	N	-	0	11	11	48						
Tenn.	525	522	788	18,200	18,324	N	0	0	N	N	1	1	18	22	50						
W.S. CENTRAL	483	2,713	4,426	94,341	82,492	-	0	1	2	2	12	6	37	159	208						
Ark.	324	266	455	9,631	6,212	N	0	0	N	N	-	1	8	30	23						
La.	-	382	729	12,605	13,470	-	0	1	2	2	-	1	5	25	42						
Okla.	159	209	392	6,868	8,974	N	0	0	N	N	12	1	9	55	59						
Tex.	-	1,867	3,923	65,237	53,836	N	0	0	N	N	-	2	28	49	84						
MOUNTAIN	99	1,348	1,811	39,723	49,534	-	89	170	2,874	3,221	2	10	567	311	1,041						
Ariz.	-	473	650	14,678	16,696	-	86	168	2,808	3,122	-	1	9	56	30						
