
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 16, 2004 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	30,902	33,890	8,976	18,481	3,674	4,663	1,744	1,600	531	546											
NEW ENGLAND	1,680	1,725	239	267	154	401	26	79	55	7											
Maine	77	107	4	6	8	24	2	-	3	-											
N.H.	116	122	7	7	16	27	-	-	N	N											
Vt.	48	60	2	7	8	18	7	6	1	4											
Mass.	969	1,009	151	178	105	179	N	N	44	N											
R.I.	99	103	18	13	17	11	17	10	7	3											
Conn.	371	324	57	56	-	142	-	63	U	U											
MID. ATLANTIC	4,435	3,972	938	1,905	600	810	108	104	88	80											
Upstate N.Y.	989	920	370	353	199	306	44	55	60	59											
N.Y. City	1,006	1,100	305	327	83	118	U	U	U	U											
N.J.	716	665	179	306	139	154	-	-	6	2											
Pa.	1,724	1,287	84	919	179	232	64	49	22	19											
E.N. CENTRAL	3,949	4,561	811	1,524	733	1,103	382	353	131	240											
Ohio	1,064	1,116	141	257	196	262	269	231	65	77											
Ind.	467	458	179	128	86	107	113	122	30	24											
Ill.	1,072	1,570	251	822	156	278	-	-	-	96											
Mich.	708	642	106	209	252	314	N	N	N	N											
Wis.	638	775	134	108	43	142	N	N	36	43											
W.N. CENTRAL	1,656	2,002	280	626	221	287	16	13	74	59											
Minn.	479	451	52	87	126	139	-	-	54	42											
Iowa	379	309	61	57	N	N	N	N	N	N											
Mo.	519	739	131	302	54	64	11	9	12	2											
N. Dak.	37	29	3	6	11	15	-	3	2	4											
S. Dak.	98	97	9	16	15	20	5	1	-	-											
Nebr.	127	131	22	78	13	24	-	-	6	5											
Kans.	17	246	2	80	2	25	N	N	-	6											
S. ATLANTIC	8,722	8,297	2,190	5,596	816	767	925	864	40	17											
Del.	81	88	6	157	3	6	4	1	N	N											
Md.	630	683	112	516	130	188	-	18	29	-											
D.C.	50	34	32	64	9	8	5	-	3	7											
Va.	968	830	130	345	63	91	N	N	N	N											
W. Va.	172	107	5	-	20	31	90	59	8	10											
N.C.	1,254	1,019	270	825	104	92	N	N	U	U											
S.C.	765	604	275	395	37	37	69	123	N	N											
Ga.	1,587	1,607	552	1,005	261	151	274	195	N	N											
Fla.	3,215	3,325	808	2,289	189	163	483	468	N	N											
E.S. CENTRAL	2,063	2,349	634	771	184	165	114	116	2	-											
Ky.	284	329	58	106	53	41	24	15	N	N											
Tenn.	512	616	317	256	131	124	89	101	N	N											
Ala.	589	585	213	254	-	-	-	-	N	N											
Miss.	678	819	46	155	-	-	1	-	2	-											
W.S. CENTRAL	2,651	5,038	1,994	4,748	226	229	49	62	103	86											
Ark.	428	657	57	94	16	6	7	19	8	7											
La.	584	741	227	395	2	1	42	43	24	17											
Okla.	336	386	380	686	55	72	N	N	36	42											
Tex.	1,303	3,254	1,330	3,573	153	150	N	N	35	20											
MOUNTAIN	1,907	1,780	636	971	423	386	31	5	38	57											
Mont.	172	87	4	2	-	1	-	-	-	-											
Idaho	131	144	12	25	8	18	N	N	N	N											
Wyo.	46	71	5	6	7	2	9	4	-	-											
Colo.	464	403	133	242	122	110	-	-	35	44											
N. Mex.	209	216	99	194	68	93	5	-	-	9											
Ariz.	547	533	298	406	177	132	N	N	N	N											
Utah	201	179	39	39	38	28	15	1	3	4											
Nev.	137	147	46	57	3	2	2	-	-	-											
PACIFIC	3,839	4,166	1,254	2,073	317	515	93	4	-	-											
Wash.	455	453	92	139	53	56	-	-	N	N											
Oreg.	348	353	59	192	N	N	N	N	N	N											
Calif.	2,704	3,136	1,055	1,697	169	356	N	N	N	N											
Alaska	48	56	5	8	-	-	-	-	N	N											
Hawaii	284	168	43	37	95	103	93	4	-	-											
Guam	-	37	-	33	-	-	-	-	-	-											
P.R.	190	521	7	25	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


