
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 27, 2002 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	93	48	1	6	2	-	7,516	8,541													
NEW ENGLAND	-	-	-	-	-	-	438	631													
Maine	-	-	-	-	-	-	52	72													
N.H.	-	-	-	-	-	-	21	39													
Vt.	-	-	-	-	-	-	18	24													
Mass.	-	-	-	-	-	-	234	362													
R.I.	-	-	-	-	-	-	19	26													
Conn.	-	-	-	-	-	-	94	108													
MID. ATLANTIC	7	1	-	3	-	-	910	1,310													
Upstate N.Y.	2	-	-	1	-	-	307	225													
N.Y. City	-	-	-	2	-	-	349	300													
N.J.	-	-	-	-	-	-	80	468													
Pa.	5	1	-	-	-	-	174	317													
E.N. CENTRAL	3	2	-	1	-	-	1,299	1,168													
Ohio	3	-	-	-	-	-	384	387													
Ind.	-	1	-	-	-	-	96	90													
Ill.	-	1	-	1	-	-	406	301													
Mich.	-	-	-	-	-	-	258	198													
Wis.	-	-	-	-	-	-	155	192													
W.N. CENTRAL	10	9	-	1	-	-	561	472													
Minn.	-	-	-	-	-	-	123	156													
Iowa	-	1	-	1	-	-	90	72													
Mo.	10	8	-	-	-	-	242	117													
N. Dak.	-	-	-	-	-	-	9	1													
S. Dak.	-	-	-	-	-	-	26	27													
Nebr.	-	-	-	-	-	-	-	36													
Kans.	-	-	-	-	-	-	71	63													
S. ATLANTIC	65	31	1	-	-	-	1,976	1,979													
Del.	-	-	-	-	-	-	11	22													
Md.	9	2	1	-	-	-	168	183													
D.C.	-	-	-	-	-	-	25	24													
Va.	1	-	-	-	-	-	202	306													
W. Va.	-	-	-	-	-	-	19	16													
N.C.	39	10	-	-	-	-	274	325													
S.C.	6	1	-	-	-	-	102	210													
Ga.	9	15	-	-	-	-	521	435													
Fla.	1	3	-	-	-	-	654	458													
E.S. CENTRAL	7	3	-	-	1	-	437	434													
Ky.	-	-	-	-	-	-	81	75													
Tenn.	5	2	-	-	1	-	129	111													
Ala.	2	1	-	-	-	-	141	155													
Miss.	-	-	-	-	-	-	86	93													
W.S. CENTRAL	-	-	-	-	-	-	169	871													
Ark.	-	-	-	-	-	-	49	77													
La.	-	-	-	-	-	-	43	191													
Okla.	-	-	-	-	-	-	75	42													
Tex.	-	-	-	-	-	-	2	561													
MOUNTAIN	1	2	-	-	-	-	522	513													
Mont.	-	-	-	-	-	-	20	19													
Idaho	-	1	-	-	-	-	37	21													
Wyo.	-	-	-	-	-	-	12	22													
Colo.	-	-	-	-	-	-	147	150													
N. Mex.	-	-	-	-	-	-	74	60													
Ariz.	-	-	-	-	-	-	132	156													
Utah	-	1	-	-	-	-	44	54													
Nev.	1	-	-	-	-	-	56	31													
PACIFIC	-	-	-	1	1	-	1,204	1,163													
Wash.	-	-	-	-	-	-	85	106													
Oreg.	-	-	-	-	-	-	93	69													
Calif.	-	-	-	-	-	-	944	875													
Alaska	-	-	-	-	-	-	18	15													
Hawaii	-	-	-	1	1	-	64	98													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	42	247													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	10	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


