
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 26, 2003 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	7,665	9,034	6,064	4,226	1,979	1,777	905	872	133	98											
NEW ENGLAND	373	464	94	81	123	97	3	3	1	1											
Maine	25	51	4	2	13	15	-	-	-	-											
N.H.	25	23	2	3	11	20	-	-	N	N											
Vt.	9	18	2	-	11	4	3	3	1	1											
Mass.	209	260	59	56	87	52	N	N	N	N											
R.I.	19	18	3	4	1	6	-	-	-	-											
Conn.	86	94	24	16	-	-	-	-	-	-											
MID. ATLANTIC	701	1,379	342	321	256	327	39	46	32	32											
Upstate N.Y.	190	303	86	44	155	135	24	43	26	27											
N.Y. City	271	469	117	149	33	84	U	U	U	U											
N.J.	65	282	72	69	15	66	N	N	N	N											
Pa.	175	325	67	59	53	42	15	3	6	5											
E.N. CENTRAL	1,038	1,549	380	549	449	426	183	74	63	41											
Ohio	353	373	85	269	140	90	132	-	50	-											
Ind.	79	95	32	21	30	16	51	72	8	15											
Ill.	320	586	162	170	93	139	-	2	-	-											
Mich.	164	265	72	51	169	125	N	N	N	N											
Wis.	122	230	29	38	17	56	N	N	5	26											
W.N. CENTRAL	458	610	230	392	148	113	95	248	14	19											
Minn.	132	137	30	43	68	59	-	162	14	17											
Iowa	85	92	10	35	N	N	N	N	N	N											
Mo.	129	226	76	41	30	24	6	4	-	1											
N. Dak.	11	9	-	7	5	-	3	-	-	1											
S. Dak.	19	26	8	126	13	5	-	1	-	-											
Nebr.	35	36	79	92	17	9	-	20	N	N											
Kans.	47	84	27	48	15	16	86	61	N	N											
S. ATLANTIC	2,131	1,964	2,324	1,433	369	274	486	387	4	2											
Del.	16	15	86	5	4	1	-	3	N	N											
Md.	201	168	182	206	133	44	-	-	-	-											
D.C.	11	25	19	18	8	4	2	27	-	1											
Va.	178	199	87	320	22	33	N	N	N	N											
W. Va.	18	20	-	2	16	7	24	24	4	1											
N.C.	313	273	226	101	36	60	N	N	U	U											
S.C.	93	107	79	18	12	23	46	83	N	N											
Ga.	503	297	841	356	44	71	155	147	N	N											
Fla.	798	860	804	407	94	31	259	103	N	N											
E.S. CENTRAL	434	465	283	332	74	47	55	68	-	-											
Ky.	81	76	41	52	16	6	4	8	N	N											
Tenn.	145	137	89	19	58	41	51	60	N	N											
Ala.	146	138	111	134	-	-	-	-	N	N											
Miss.	62	114	42	127	-	-	-	-	-	-											
W.S. CENTRAL	576	756	1,380	365	119	79	29	25	18	1											
Ark.	83	89	19	55	2	1	7	4	-	-											
La.	62	141	72	65	1	1	22	21	7	1											
Okla.	64	76	204	88	31	14	N	N	11	-											
Tex.	367	450	1,085	157	85	63	N	N	-	-											
MOUNTAIN	523	526	284	161	221	218	13	21	1	2											
Mont.	30	20	1	1	-	-	-	-	-	-											
Idaho	61	37	6	2	10	4	N	N	N	N											
Wyo.	8	18	1	2	-	6	3	8	-	-											
Colo.	133	146	46	36	72	49	-	-	-	-											
N. Mex.	41	78	47	41	54	44	10	13	-	-											
Ariz.	166	131	154	57	78	105	-	-	N	N											
Utah	54	35	15	12	7	10	-	-	1	2											
Nev.	30	61	14	10	-	-	-	-	-	-											
PACIFIC	1,431	1,321	747	592	220	196	2	-	-	-											
Wash.	125	85	56	20	-	-	-	-	N	N											
Oreg.	128	99	25	31	N	N	N	N	N	N											
Calif.	1,092	1,051	650	522	182	178	N	N	N	N											
Alaska	34	18	4	2	-	-	-	-	N	N											
Hawaii	52	68	12	17	38	18	2	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	47	70	1	1	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


