
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 29, 2006 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	41	96	177	1,353	1,854	4	36	98	310	182	368	855	2,059	7,809	8,212						
NEW ENGLAND	4	13	26	179	276	-	0	2	-	1	22	39	95	410	504						
Conn.	-	3	13	38	49	-	0	0	-	-	-	7	88	88	102						
Maine	2	1	4	22	19	N	0	0	N	N	-	2	8	15	35						
Mass.	2	4	17	96	163	-	0	1	-	-	12	19	41	252	267						
N.H.	-	0	2	5	2	-	0	1	-	-	2	2	12	27	30						
R.I.	-	0	4	1	5	-	0	2	-	1	6	0	17	20	15						
Vt.	-	1	14	17	38	-	0	0	-	-	2	1	11	8	55						
MID. ATLANTIC	10	18	40	223	265	-	1	8	5	12	24	91	274	799	1,022						
N.J.	N	0	0	N	N	-	0	3	-	3	-	15	41	74	204						
N.Y. (Upstate)	10	11	24	130	120	-	0	2	-	-	12	22	234	210	234						
N.Y. City	-	0	3	-	10	-	0	2	2	-	-	21	44	199	287						
Pa.	-	7	22	93	135	-	1	6	3	9	12	31	60	316	297						
E.N. CENTRAL	2	2	69	9	19	1	0	6	4	4	56	97	206	1,009	1,130						
Ill.	-	0	4	-	7	-	0	3	1	1	-	28	126	170	376						
Ind.	-	0	3	-	2	1	0	1	1	-	19	11	69	143	93						
Mich.	2	0	4	7	6	-	0	1	-	1	7	18	35	193	210						
Ohio	-	0	66	2	4	-	0	3	2	2	30	23	52	329	237						
Wis.	N	0	2	N	N	-	0	1	-	-	-	15	45	174	214						
W.N. CENTRAL	3	6	23	70	118	1	2	17	8	9	25	44	90	552	548						
Iowa	-	1	10	14	22	-	0	2	-	1	-	7	18	86	103						
Kans.	1	1	5	24	32	-	0	2	-	-	2	7	17	76	59						
Minn.	1	1	5	7	19	-	0	1	1	-	9	10	30	142	140						
Mo.	1	1	7	6	12	1	2	15	7	7	13	15	40	178	149						
Nebr.	-	0	0	-	-	-	0	2	-	-	1	3	10	40	47						
N. Dak.	-	0	4	2	6	-	0	0	-	-	-	0	5	4	12						
S. Dak.	-	1	5	17	27	-	0	2	-	1	-	3	11	26	38						
S. ATLANTIC	9	28	57	486	641	2	18	94	277	123	112	261	516	2,088	2,097						
Del.	-	0	0	-	-	-	0	2	2	1	-	2	9	21	18						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	19	13						
Fla.	-	0	19	50	201	1	0	3	9	8	79	99	230	951	825						
Ga.	-	4	27	43	97	-	1	11	16	10	15	37	88	313	307						
Md.	-	6	16	59	89	-	2	7	13	10	7	14	39	123	166						
N.C.	8	8	20	101	151	-	5	87	228	82	10	30	114	373	342						
S.C.	-	3	11	33	59	-	1	6	5	7	1	21	146	98	186						
Va.	-	0	26	175	36	1	1	10	4	4	-	20	66	168	211						
W. Va.	1	0	13	25	8	-	0	2	-	1	-	3	13	22	29						
E.S. CENTRAL	3	3	9	71	35	-	5	24	10	11	11	56	135	406	461						
Ala.	-	1	5	19	19	-	0	9	5	2	-	14	39	145	120						
Ky.	-	0	3	4	3	-	0	1	-	-	7	8	26	88	65						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	49	81						
Tenn.	3	1	7	48	13	-	3	18	5	9	4	14	41	124	195						
W.S. CENTRAL	2	13	30	232	375	-	2	34	5	5	21	85	884	842	657						
Ark.	1	0	3	9	11	-	0	32	4	-	5	16	67	238	84						
La.	-	0	0	-	-	-	0	2	-	2	-	14	42	81	172						
Okla.	-	1	7	13	36	-	0	23	-	3	5	7	26	66	72						
Tex.	1	12	27	210	328	-	0	8	1	-	11	45	844	457	329						
MOUNTAIN	4	4	16	36	78	-	0	6	1	16	29	48	110	512	553						
Ariz.	4	2	11	33	67	-	0	6	1	12	7	14	67	172	167						
Colo.	-	0	3	-	1	-	0	1	-	-	12	11	45	164	138						
Idaho	-	0	12	-	-	-	0	2	-	-	2	2	15	32	49						
Mont.	-	0	3	3	-	-	0	0	-	1	2	2	16	33	25						
