
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 1, 2003 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	3,148	4,664	2,426	2,316	724	798	381	338	66	30											
NEW ENGLAND	137	220	46	41	39	40	2	1	-	1											
Maine	7	33	2	2	3	6	-	-	-	-											
N.H.	7	7	-	2	4	10	-	-	N	N											
Vt.	3	9	-	-	2	1	2	1	-	1											
Mass.	90	123	30	33	30	23	N	N	N	N											
R.I.	6	5	2	-	-	-	-	-	-	-											
Conn.	24	43	12	4	-	-	-	-	-	-											
MID. ATLANTIC	187	512	100	120	75	130	10	20	14	8											
Upstate N.Y.	59	94	35	13	61	55	10	20	14	8											
N.Y. City	102	156	41	61	9	31	U	U	U	U											
N.J.	16	172	15	30	1	39	N	N	N	N											
Pa.	10	90	9	16	4	5	-	-	-	-											
E.N. CENTRAL	479	809	168	324	190	200	82	26	34	15											
Ohio	192	229	48	163	73	34	72	-	32	-											
Ind.	27	39	9	9	7	7	10	24	2	4											
Ill.	149	355	67	99	31	73	-	2	-	-											
Mich.	80	103	34	31	78	56	N	N	N	N											
Wis.	31	83	10	22	1	30	N	N	-	11											
W.N. CENTRAL	219	333	133	230	65	33	58	68	8	5											
Minn.	64	59	11	19	24	-	-	21	8	4											
Iowa	52	45	4	14	-	-	N	N	N	N											
Mo.	52	153	38	30	14	16	3	1	-	1											
N. Dak.	4	5	-	-	3	-	2	-	-	-											
S. Dak.	11	15	8	94	7	1	-	1	-	-											
Nebr.	14	17	60	52	10	6	10	13	N	N											
Kans.	22	39	12	21	7	10	43	32	N	N											
S. ATLANTIC	1,051	1,262	1,261	870	127	142	194	171	2	1											
Del.	2	10	59	2	2	-	-	3	N	N											
Md.	102	82	115	83	50	14	-	-	-	-											
D.C.	-	13	-	6	-	2	-	3	-	1											
Va.	62	82	40	188	1	10	N	N	N	N											
W. Va.	3	6	-	2	1	-	10	4	2	-											
N.C.	196	162	143	47	20	34	N	N	U	U											
S.C.	39	62	14	9	1	7	9	33	N	N											
Ga.	279	311	484	332	16	49	54	85	N	N											
Fla.	368	534	406	201	36	26	121	43	N	N											
E.S. CENTRAL	250	236	136	154	23	24	17	34	-	-											
Ky.	45	27	23	34	5	3	1	3	N	N											
Tenn.	79	71	38	13	18	21	16	31	N	N											
Ala.	86	76	57	42	-	-	-	-	N	N											
Miss.	40	62	18	65	-	-	-	-	-	-											
W.S. CENTRAL	110	284	224	160	29	55	13	6	8	-											
Ark.	37	48	4	23	1	-	1	2	-	-											
La.	20	32	22	15	-	-	12	4	6	-											
Okla.	31	41	101	34	16	11	N	N	2	-											
Tex.	22	163	97	88	12	44	N	N	-	-											
MOUNTAIN	273	285	184	80	129	58	5	12	-	-											
Mont.	14	3	-	-	-	-	-	-	-	-											
Idaho	11	14	1	2	4	1	N	N	N	N											
Wyo.	3	8	1	1	-	1	1	6	-	-											
Colo.	83	79	27	18	44	25	-	-	-	-											
N. Mex.	18	40	26	10	25	28	4	6	-	-											
Ariz.	108	82	119	35	52	-	-	-	N	N											
Utah	21	22	4	7	4	3	-	-	-	-											
Nev.	15	37	6	7	-	-	-	-	-	-											
PACIFIC	442	723	174	337	47	116	-	-	-	-											
Wash.	47	22	16	5	-	16	-	-	N	N											
Oreg.	40	50	10	26	N	N	N	N	N	N											
Calif.	315	602	139	294	32	83	N	N	N	N											
Alaska	17	13	2	1	-	-	-	-	N	N											
Hawaii	23	36	7	11	15	17	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	1	-	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


