
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 18, 2006 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	44	104	160	599	1,106	2	34	98	255	115	251	866	1,691	4,783	5,052						
NEW ENGLAND	5	12	33	81	139	-	0	1	-	1	-	41	77	229	269						
Conn.	-	3	13	20	21	-	0	0	-	-	-	9	54	54	60						
Maine	2	1	4	11	8	N	0	0	N	N	-	3	8	7	15						
Mass.	2	4	22	36	97	-	0	1	-	-	-	20	41	141	153						
N.H.	-	0	3	2	2	-	0	1	-	-	-	2	12	16	16						
R.I.	-	0	4	1	2	-	0	1	-	1	-	0	15	9	11						
Vt.	1	1	7	11	9	-	0	0	-	-	-	1	10	2	14						
MID. ATLANTIC	11	18	40	124	126	-	1	7	3	7	29	93	237	458	596						
N.J.	N	0	0	N	N	-	0	2	-	-	-	17	41	33	116						
N.Y. (Upstate)	11	12	24	70	53	-	0	2	-	-	25	21	198	117	127						
N.Y. City	-	0	3	-	6	-	0	2	1	1	-	24	43	109	180						
Pa.	-	7	22	54	67	-	1	6	2	6	4	31	61	199	173						
E.N. CENTRAL	-	2	19	4	10	-	0	6	1	2	35	96	243	583	636						
Ill.	-	1	4	-	3	-	0	3	-	1	-	30	160	94	188						
Ind.	-	0	3	-	1	-	0	1	-	-	7	11	71	74	41						
Mich.	-	0	4	2	2	-	0	1	-	-	4	18	35	115	136						
Ohio	-	0	13	2	4	-	0	3	1	1	24	23	52	218	141						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	82	130						
W.N. CENTRAL	-	6	23	25	51	-	2	16	4	4	30	42	92	331	336						
Iowa	-	1	10	3	10	-	0	2	-	-	-	7	18	46	65						
Kans.	-	1	5	9	13	-	0	2	-	-	4	7	17	55	33						
